Time µs,Current.Ia,Current.Ib,Current.Ic,Current.In,Voltage.Va,Voltage.Vb,Voltage.Vc
1154390400000000000,-11.8444795608521,-3082.0869140625,3276.28955078125,5.91223001480103,78.8388290405273,-9893.931640625,10340.3701171875
1154390400000130048,142.133758544922,-3170.9931640625,3199.40893554688,0.0,604.431030273438,-10207.748046875,10087.1005859375
1154390400000260096,302.034240722656,-3248.04541015625,3104.78686523438,0.0,1147.54296875,-10486.6953125,9807.630859375
1154390400000389888,461.934692382813,-3319.17041015625,2998.33715820313,0.0,1716.93444824219,-10722.0576171875,9519.427734375
1154390400000519936,621.835205078125,-3384.36840820313,2885.97338867188,5.91223001480103,2312.60546875,-10896.400390625,9222.4921875
1154390400000651008,769.891174316406,-3443.63940429688,2767.69580078125,0.0,2934.55639648438,-11009.72265625,8916.822265625
1154390400000781056,929.791625976563,-3491.05615234375,2631.67651367188,0.0,3530.2275390625,-11070.7421875,8567.4853515625
1154390400000911104,1071.92541503906,-3538.47290039063,2501.5712890625,0.0,4082.09912109375,-11131.7626953125,8165.748046875
1154390400001040896,1225.90368652344,-3585.8896484375,2359.63818359375,0.0,4590.171875,-11201.4990234375,7711.6103515625
1154390400001170944,1368.03735351563,-3621.4521484375,2205.87719726563,0.0,5080.72412109375,-11245.0849609375,7222.53857421875
1154390400001302016,1516.09338378906,-3651.08764648438,2052.1162109375,0.0,5527.4775390625,-11262.51953125,6716.00048828125
1154390400001432064,1658.22717285156,-3680.72290039063,1898.35546875,0.0,5974.23095703125,-11245.0849609375,6183.26171875
1154390400001562112,1812.20532226563,-3692.5771484375,1744.59460449219,0.0,6429.744140625,-11227.650390625,5624.32275390625
1154390400001691904,1948.41687011719,-3698.50415039063,1584.91979980469,0.0,6876.49755859375,-11210.216796875,5030.4501953125
1154390400001821952,2084.62841796875,-3704.43139648438,1425.24499511719,5.91223001480103,7323.2509765625,-11140.4794921875,4427.84423828125
1154390400001953024,2208.99536132813,-3692.5771484375,1265.5703125,5.91223001480103,7752.484375,-11123.044921875,3807.77124023438
1154390400002083072,2333.36254882813,-3680.72290039063,1117.72326660156,5.91223001480103,8172.95849609375,-11053.30859375,3178.96508789063
1154390400002213120,2457.7294921875,-3639.2333984375,958.048522949219,5.91223001480103,8575.912109375,-11001.005859375,2576.35913085938
1154390400002342912,2564.32983398438,-3603.6708984375,798.373779296875,0.0,8961.3466796875,-10870.2490234375,1973.75305175781
1154390400002472960,2665.0078125,-3550.32690429688,638.699035644531,0.0,9320.5009765625,-10739.4921875,1397.34729003906
1154390400002604032,2765.68603515625,-3491.05615234375,479.024261474609,5.91223001480103,9670.896484375,-10582.583984375,838.408325195313
1154390400002734080,2854.51953125,-3414.00390625,319.349517822266,5.91223001480103,10003.771484375,-10373.373046875,296.936279296875
1154390400002864128,2937.43090820313,-3313.24340820313,141.933120727539,5.91223001480103,10319.1259765625,-10129.2939453125,-253.269195556641
1154390400002993920,3002.57568359375,-3218.40991210938,-29.5693988800049,0.0,10625.7216796875,-9850.345703125,-786.0078125
1154390400003124992,3067.72021484375,-3111.72241210938,-201.071914672852,0.0,10870.998046875,-9562.6806640625,-1344.94677734375
1154390400003255040,3126.94262695313,-2999.10766601563,-372.574432373047,5.91223001480103,11063.71484375,-9275.015625,-1921.3525390625
1154390400003385088,3180.24267578125,-2874.638671875,-538.1630859375,0.0,11195.11328125,-8987.3505859375,-2532.69189453125
1154390400003514880,3221.69848632813,-2738.31567382813,-709.665588378906,-11.8244600296021,11238.9130859375,-8673.5341796875,-3144.03125
1154390400003644928,3257.23193359375,-2590.13842773438,-875.254211425781,0.0,11282.7119140625,-8307.4150390625,-3711.70361328125
1154390400003776000,3292.76538085938,-2441.96118164063,-1034.92895507813,-5.91223001480103,11352.791015625,-7880.27685546875,-4235.708984375
1154390400003906048,3322.37646484375,-2287.85668945313,-1200.517578125,0.0,11422.8701171875,-7409.55224609375,-4716.046875
1154390400004036096,3340.14331054688,-2121.89819335938,-1366.10620117188,0.0,11484.189453125,-6903.958984375,-5187.65185546875
1154390400004165888,3357.90991210938,-1967.7939453125,-1513.95324707031,0.0,11501.708984375,-6389.64892578125,-5633.05615234375
1154390400004295936,3369.75439453125,-1789.98120117188,-1685.45581054688,0.0,11492.94921875,-5805.60205078125,-6104.66064453125
1154390400004427008,3375.6767578125,-1624.02270507813,-1845.13049316406,-5.91223001480103,11396.58984375,-5230.27197265625,-6558.798828125
1154390400004557056,3369.75439453125,-1458.06420898438,-1998.89135742188,0.0,11352.791015625,-4620.07373046875,-7004.203125
1154390400004687104,3363.83227539063,-1286.17858886719,-2146.73828125,-5.91223001480103,11300.2314453125,-4001.158203125,-7458.3408203125
1154390400004816896,3340.14331054688,-1132.07421875,-2276.84375,0.0,11230.15234375,-3408.39404296875,-7842.611328125
1154390400004946944,3304.60986328125,-966.11572265625,-2412.86303710938,0.0,11142.5537109375,-2806.91259765625,-8270.548828125
1154390400005078016,3269.07641601563,-800.157165527344,-2537.05444335938,-5.91223001480103,11037.435546875,-2214.1484375,-8672.2861328125
1154390400005208064,3215.77612304688,-634.198669433594,-2655.33203125,0.0,10906.0380859375,-1621.38439941406,-9047.8232421875
1154390400005338112,3162.47607421875,-468.240112304688,-2767.69580078125,0.0,10748.3603515625,-1054.771484375,-9405.8935546875
1154390400005467904,3079.56469726563,-290.427429199219,-2868.23168945313,0.0,10546.8828125,-496.875854492188,-9746.4970703125
1154390400005597952,2990.73120117188,-124.468894958496,-2962.85375976563,-5.91223001480103,10310.3662109375,34.868480682373,-10060.900390625
1154390400005729024,2901.8974609375,59.2709007263184,-3051.56201171875,-5.91223001480103,10047.5703125,566.61279296875,-10357.8369140625
1154390400005859072,2795.29711914063,237.083602905273,-3128.4423828125,-11.8244600296021,9740.974609375,1133.2255859375,-10619.8388671875
1154390400005989120,2682.77465820313,420.823394775391,-3199.40893554688,-11.8244600296021,9434.3798828125,1699.83837890625,-10829.44140625
1154390400006118912,2570.251953125,586.781921386719,-3264.46166992188,-11.8244600296021,9101.5048828125,2301.31982421875,-10986.642578125
1154390400006249984,2434.04052734375,770.521728515625,-3317.6865234375,-5.91223001480103,8759.869140625,2902.80102539063,-11100.177734375
1154390400006380032,2297.8291015625,942.407348632813,-3376.82543945313,-5.91223001480103,8383.1953125,3478.130859375,-11170.044921875
1154390400006510080,2155.6953125,1108.36584472656,-3424.13647460938,-5.91223001480103,7971.4814453125,4009.87524414063,-11239.912109375
1154390400006640128,2007.63928222656,1280.25146484375,-3471.44750976563,0.0,7524.72802734375,4515.46826171875,-11257.37890625
1154390400006769920,1859.58325195313,1446.2099609375,-3506.9306640625,-5.91223001480103,7016.65576171875,4977.4755859375,-11292.3125
1154390400006900992,1705.60510253906,1612.16857910156,-3536.50024414063,-5.91223001480103,6499.8232421875,5448.2001953125,-11292.3125
1154390400007031040,1545.70458984375,1772.19995117188,-3566.06958007813,0.0,5947.95166015625,5892.7734375,-11283.5791015625
1154390400007161088,1391.72631835938,1938.15844726563,-3571.9833984375,-11.8244600296021,5378.56005859375,6354.78076171875,-11257.37890625
1154390400007290880,1237.74816894531,2092.26293945313,-3583.81127929688,-5.91223001480103,4765.369140625,6799.353515625,-11239.912109375
1154390400007420928,1077.84765625,2240.44018554688,-3583.81127929688,-5.91223001480103,4143.41845703125,7243.9267578125,-11204.978515625
1154390400007552000,929.791625976563,2388.61743164063,-3577.89721679688,-5.91223001480103,3486.42797851563,7679.78271484375,-11152.578125
1154390400007682048,769.891174316406,2524.9404296875,-3554.24169921875,-11.8244600296021,2846.95751953125,8089.4873046875,-11082.7109375
1154390400007812096,621.835205078125,2655.33642578125,-3524.67236328125,-11.8244600296021,2216.2470703125,8481.7578125,-10995.3759765625
1154390400007941888,473.779174804688,2779.80517578125,-3483.27514648438,-11.8244600296021,1594.29626464844,8856.59375,-10881.841796875
1154390400008071936,319.800933837891,2886.49291992188,-3424.13647460938,0.0,1016.14489746094,9213.99609375,-10724.640625
1154390400008203008,171.74494934082,2993.18041992188,-3364.99755859375,-5.91223001480103,455.513214111328,9553.9638671875,-10558.705078125
1154390400008333056,11.8444795608521,3088.01391601563,-3294.03100585938,-5.91223001480103,-78.8388290405273,9885.2138671875,-10340.3701171875
1154390400008463104,-136.211517333984,3176.92041015625,-3205.32299804688,-5.91223001480103,-613.190856933594,10181.5966796875,-10087.1005859375
1154390400008592896,-296.111999511719,3253.97241210938,-3116.61474609375,-5.91223001480103,-1156.302734375,10460.5439453125,-9798.8974609375
1154390400008722944,-450.090209960938,3325.09765625,-3016.07861328125,-5.91223001480103,-1725.6943359375,10704.6240234375,-9519.427734375
1154390400008854016,-604.068481445313,3396.22265625,-2897.80102539063,-5.91223001480103,-2321.36547851563,10861.53125,-9213.7587890625
1154390400008984064,-763.968933105469,3449.56640625,-2773.60961914063,-5.91223001480103,-2934.55639648438,10974.8544921875,-8908.0888671875
1154390400009114112,-917.947143554688,3502.91040039063,-2643.50439453125,-5.91223001480103,-3538.9873046875,11053.30859375,-8576.21875
1154390400009243904,-1066.00317382813,3550.32690429688,-2507.48510742188,-5.91223001480103,-4099.619140625,11105.611328125,-8183.21484375
1154390400009374976,-1214.05920410156,3591.81665039063,-2365.55200195313,-11.8244600296021,-4607.69140625,11166.630859375,-7720.34375
1154390400009505024,-1362.11511230469,3627.37915039063,-2217.70483398438,-11.8244600296021,-5080.72412109375,11201.4990234375,-7231.27197265625
1154390400009635072,-1510.17114257813,3657.0146484375,-2058.0302734375,-11.8244600296021,-5536.23779296875,11218.93359375,-6716.00048828125
1154390400009765120,-1658.22717285156,3674.7958984375,-1910.18322753906,-5.91223001480103,-5991.7509765625,11210.216796875,-6191.9951171875
1154390400009894912,-1800.36083984375,3698.50415039063,-1744.59460449219,-5.91223001480103,-6438.50390625,11184.0654296875,-5633.05615234375
1154390400010025984,-1936.57238769531,3710.3583984375,-1596.74755859375,-5.91223001480103,-6876.49755859375,11166.630859375,-5039.18359375
