method,micro_f1,macro_f1,precision,recall,event_recall,n_event_windows,n_caught,false_alarm_runs,false_alarm_runs_quiet,duty_cycle,duty_cycle_quiet,latency_ms,bandwidth_reduction,n_channels,n_channels_with_events,kappa,gap,kappa_min
"v1-fixed (TH=1e7, TL=300)",0.027055150884495317,0.09367645783064538,0.23214285714285715,0.014364640883977901,0.15,40.0,6.0,10.0,8.0,0.0012907676513059753,0.0017415534656913968,18.055555555555557,777829.3787037036,36.0,24.0,,,
empirical-Q (causal),0.12954805025289606,0.2807549474100518,0.07599540581929556,0.43867403314917125,0.675,40.0,27.0,9.0,5.0,0.10934432824786437,0.08312244538317914,4.027777777777778,472256.56838812947,36.0,24.0,,,
per-channel statistical (offline oracle),0.21130914219771765,0.6953834755060005,0.11952422396286626,0.9104972375690608,0.75,40.0,30.0,1.0,1.0,0.22974774282813648,0.06752873563218391,0.5208333333333334,305580.74229349714,36.0,24.0,,,
hindsight ceiling (offline oracle),0.9328743545611016,0.9141267389737426,0.9701670644391408,0.8983425414364641,0.775,40.0,31.0,2.0,0.0,0.09893785004283719,0.0,1.388888888888889,333380.61331147794,36.0,24.0,,,
fixed margin (tuned on synthetic),0.3693864642631246,0.7835384824671089,0.22824387701928087,0.9679558011049724,0.975,40.0,39.0,5.0,2.0,0.18308240343813473,0.0030041797283176593,1.4409722222222223,305593.2684230377,36.0,24.0,3.25,,
"fixed margin (best constant, offline oracle)",0.376727596968346,0.8126846892315939,0.23596760681373918,0.9337016574585635,0.95,40.0,38.0,4.0,1.0,0.16405198805115204,0.0003918495297805643,1.753472222222222,305602.0066542362,36.0,24.0,3.5,0.5,
"ATE-Q int8, floor=hard",0.3705526963526516,0.75216942372583,0.23232323232323232,0.9149171270718232,0.925,40.0,37.0,2.0,1.0,0.1649264688509634,0.0003047718564959944,2.720959595959596,333396.5098682997,36.0,24.0,,,3.321928094887362
"ATE-S int8, floor=hard",0.3772666961521451,0.8140891702056557,0.23583079900470003,0.9425414364640884,0.975,40.0,39.0,4.0,1.0,0.1673043684188691,0.0005660048763497039,1.857638888888889,305599.56520293735,36.0,24.0,,,3.321928094887362
"ATE-M int8, floor=hard",0.3786063027075011,0.7613126408689997,0.23687864482088308,0.9425414364640884,0.925,40.0,37.0,2.0,1.0,0.16615795298849245,0.0005660048763497039,2.077020202020202,333391.35383797763,36.0,24.0,,,3.321928094887362
"ATE-Q int8, floor=learned",0.37243532560214093,0.7535829184942786,0.23330539256775637,0.9226519337016574,0.925,40.0,37.0,4.0,1.0,0.16659285378272243,0.0003047718564959944,2.531565656565657,333394.6159699478,36.0,24.0,,,3.25
"ATE-S int8, floor=learned",0.3769010359268239,0.8068927124416746,0.23540748898678415,0.9447513812154696,0.975,40.0,39.0,6.0,1.0,0.16925905042149625,0.0006095437129919888,1.857638888888889,305598.6891920725,36.0,24.0,,,3.25
"ATE-M int8, floor=learned",0.37804338202744575,0.7536116001440952,0.2363686686963742,0.943646408839779,0.925,40.0,37.0,4.0,1.0,0.16796004275825996,0.0006095437129919888,2.077020202020202,333390.6886450563,36.0,24.0,,,3.25
"ATE-Q int8, floor=none",0.3713080168776371,0.6952810654266326,0.22946544980443284,0.9723756906077348,0.95,40.0,38.0,8.0,3.0,0.18434152261361925,0.000522466039707419,0.5997474747474747,333376.3601150391,36.0,24.0,,,0.0
"ATE-S int8, floor=none",0.37116498605449477,0.7926014426245054,0.23029818956336529,0.9558011049723757,1.0,40.0,40.0,7.0,1.0,0.1795267586897106,0.0008272378962034134,1.5682870370370372,305594.9808535466,36.0,24.0,,,0.0
"ATE-M int8, floor=none",0.31467420095355814,0.6126976225224153,0.18726355611601514,0.9845303867403314,0.95,40.0,38.0,241.0,202.0,0.20844538560802187,0.014899252444738496,0.6313131313131312,305591.94823791215,36.0,24.0,,,0.0
"ATE-Q float, floor=learned",0.37243532560214093,0.7535829184942786,0.23330539256775637,0.9226519337016574,0.925,40.0,37.0,4.0,1.0,0.16659285378272243,0.0003047718564959944,2.531565656565657,333394.6159699478,36.0,24.0,,,
"ATE-S float, floor=learned",0.376817981489643,0.8066301073996579,0.23534269199009084,0.9447513812154696,0.975,40.0,39.0,6.0,1.0,0.169377758873538,0.0006095437129919888,1.857638888888889,305598.68798881443,36.0,24.0,,,
"ATE-M float, floor=learned",0.37906458797327397,0.760708786156886,0.23737796373779638,0.9403314917127071,0.925,40.0,37.0,3.0,1.0,0.16495365051029603,0.0004353883664228492,3.023989898989899,333393.7675139827,36.0,24.0,,,
ATE-M int8 (leave-one-record-out),0.3763035278455736,0.8062982628147216,0.2354247640199889,0.9370165745856354,0.9,40.0,36.0,6.0,2.0,0.16471284300867475,0.0007401602229188437,1.8518518518518519,305598.4092080827,36.0,24.0,,,
