method,mean_duty_cycle,bandwidth_reduction,event_recall
"v1-fixed (TH=1e7, TL=300)",0.0012907676513059753,774.7327716093738,0.15
fixed margin (tuned on synthetic),0.18308240343813473,5.462021369726608,0.975
"ATE-Q int8, floor=learned",0.16659285378272243,6.002658441185257,0.925
"ATE-S int8, floor=learned",0.16925905042149625,5.908103569704288,0.975
"ATE-M int8, floor=learned",0.16796004275825996,5.95379700777566,0.925
ATE-M int8 (leave-one-record-out),0.16471284300867475,6.071171996875399,0.9
empirical-Q (causal),0.10934432824786437,9.145421770145918,0.675
"fixed margin (best constant, offline oracle)",0.16405198805115204,6.095628659423476,0.95
per-channel statistical (offline oracle),0.22974774282813648,4.3525998892970765,0.75
hindsight ceiling (offline oracle),0.09893785004283719,10.107355269667062,0.775
