rid,ch,fs,duration_s,n_reports,excluded_dead_pct,n_event_reports,n_event_windows,kh_star,kl_star,b_min,b_max
45,Voltage.Va,15385.0,1.996,234,0.0,5,1,1.228783775830645,0.5849625007211579,-13.798424150447119,-8.863519178669002
45,Voltage.Vb,15385.0,1.996,234,0.0,3,1,3.5351803794952765,0.3226110267044824,-13.133269932314633,-8.686051329540856
45,Voltage.Vc,15385.0,1.996,234,0.0,5,1,2.2029394305785397,0.7701050447003354,-13.782562468560041,-5.730695090347368
45,Current.Ia,15385.0,1.996,234,0.0,5,1,0.889123445599491,0.2595896832960058,-9.052766469465753,-3.782744286317044
45,Current.Ib,15385.0,1.996,234,0.0,5,1,1.1018659475347565,0.4227770231540305,-9.230343238131518,-2.61084741063606
45,Current.Ic,15385.0,1.996,234,0.0,6,1,3.0935778629154984,1.7013579361581854,-9.16701201105229,4.208330798935748
55,Voltage.Va,15385.0,1.996,234,0.0,156,2,2.178847864136794,0.09225195071996524,-14.363734447844653,-5.492809817546426
55,Voltage.Vb,15385.0,1.996,234,0.0,72,2,3.8688803386240793,1.0646797205227196,-12.145657333151846,-4.0259576007345075
55,Voltage.Vc,15385.0,1.996,234,0.0,46,3,3.9302641808794316,2.9730009341965036,-13.6370336479728,-6.707073119055934
55,Current.Ia,15385.0,1.996,232,0.08463266169721037,147,2,0.6383689285129387,0.023752764113786292,-11.43295493444463,6.682522282975308
55,Current.Ib,15385.0,1.996,233,0.035806126102665925,176,2,1.954946224151234,0.021370711840651424,-10.17986221488584,6.877585849301205
55,Current.Ic,15385.0,1.996,212,8.307021255818496,70,2,8.478374655239714,0.12910510693750657,-11.890508440723327,1.4534459604940348
677,Voltage.Va,15360.0,15.999,1914,0.0,3,1,4.213983461734056,1.2341532051377904,-10.495356813487838,-4.680438025955905
677,Voltage.Vb,15360.0,15.999,1914,0.0,0,0,4.194632893605287,1.4077046526294594,-11.766899158485849,-4.703918761594565
677,Voltage.Vc,15360.0,15.999,1914,0.0,0,0,3.0264785240102454,0.34403857424519135,-9.292962412118719,-5.865602227354099
677,Current.Ia,15360.0,15.999,1686,11.181640625,55,5,10.735380313950847,1.343665874312661,-12.085271992691263,2.608803200783216
677,Current.Ib,15360.0,15.999,1659,12.556152343749998,56,4,10.862095077718148,1.0664558863366775,-12.026317356984755,3.9413650241521694
677,Current.Ic,15360.0,15.999,1649,13.758544921874998,36,1,3.347985956505252,1.0659198679886657,-4.705673491748575,2.734366847649973
901,Voltage.Va,15360.0,11.999,1434,0.0,0,0,1.0663639529145148,0.14374986659834904,-10.934874051405561,-10.08810428354753
901,Voltage.Vb,15360.0,11.999,1434,0.0,0,0,0.6991986880181084,0.11363565396244724,-11.14338418814296,-10.890663317856273
901,Voltage.Vc,15360.0,11.999,1434,0.0,0,0,0.7300596342136428,0.13915994198892215,-11.411320177557961,-11.02860348205295
901,Current.Ia,15360.0,11.999,1434,0.0,26,3,3.640802421996394,0.2958088788783055,-7.23750196405353,-0.5148264054400329
901,Current.Ib,15360.0,11.999,1434,0.0,0,0,1.9091250494499235,0.1878917612621594,-6.878035994494805,-5.197364065466864
901,Current.Ic,15360.0,11.999,1434,0.0,0,0,0.8887909899990487,0.1970063885251504,-7.747093986367304,-7.115652062005566
907,Voltage.Va,15360.0,9.999,1194,0.0,0,0,1.0154888392184453,0.04045529369647945,-12.6537006161062,-11.855841495141924
907,Voltage.Vb,15360.0,9.999,1194,0.0,5,1,1.5253207149240495,0.033947331923339874,-12.472307091176909,-4.005926241133054
907,Voltage.Vc,15360.0,9.999,1194,0.0,5,1,0.9787106565938277,0.03562390973072027,-12.736965594166204,-3.768061167821589
907,Current.Ia,15360.0,9.999,1194,0.0,0,0,0.8802934853943579,0.0786095365318559,-8.667365219004504,-8.050543591394945
907,Current.Ib,15360.0,9.999,1194,0.0,6,1,1.1131943261260973,0.0573331750659527,-8.148499742637922,2.4987939945234743
907,Current.Ic,15360.0,9.999,1194,0.0,6,1,2.3610646426354016,0.07179068309346093,-7.9188646407659,4.405175299349736
971,Voltage.Va,20000.0,0.234,23,0.0,0,0,0.6508555398972984,0.09331672061004284,-6.741356799386722,-6.588761598168025
971,Voltage.Vb,20000.0,0.234,23,0.0,0,0,0.5890123072783051,0.06766664992166974,-6.3012985050218155,-6.212280911103829
971,Voltage.Vc,20000.0,0.234,23,0.0,0,0,0.5536566538901193,0.037587664854457616,-6.736192881908066,-6.682480161109895
971,Current.Ia,20000.0,0.234,23,0.0,4,1,3.266290587657605,1.548501533207949,-5.500046832873217,-0.18027438718078237
971,Current.Ib,20000.0,0.234,22,0.17090365306558428,3,1,3.083634036916383,1.7473065439727455,-5.276458461780097,-0.5637274040329139
971,Current.Ic,20000.0,0.234,23,0.0,4,1,3.2143804307109822,0.9196118736335481,-5.489437536480855,-1.385016804333853
