rid,ch,n_reports,trigger_mismatches,max_abs_db_amb,max_abs_dkappa_h
45,Voltage.Va,239,0,1.7763568394002505e-15,7.105427357601002e-15
45,Voltage.Vb,239,0,1.7763568394002505e-15,3.1086244689504383e-15
45,Voltage.Vc,239,0,1.7763568394002505e-15,0.0
45,Current.Ia,239,0,0.0,0.0
45,Current.Ib,239,0,1.7763568394002505e-15,0.0
45,Current.Ic,239,0,1.7763568394002505e-15,1.7763568394002505e-15
55,Voltage.Va,239,0,1.7763568394002505e-15,0.0
55,Voltage.Vb,239,0,1.7763568394002505e-15,3.1086244689504383e-15
55,Voltage.Vc,239,0,1.7763568394002505e-15,4.440892098500626e-15
55,Current.Ia,239,0,1.7763568394002505e-15,0.0
55,Current.Ib,239,0,1.7763568394002505e-15,0.0
55,Current.Ic,239,0,1.7763568394002505e-15,0.0
677,Voltage.Va,1920,0,1.7763568394002505e-15,2.6645352591003757e-15
677,Voltage.Vb,1920,0,1.7763568394002505e-15,2.220446049250313e-15
677,Voltage.Vc,1920,0,1.7763568394002505e-15,8.881784197001252e-16
677,Current.Ia,1920,0,1.7763568394002505e-15,2.6645352591003757e-15
677,Current.Ib,1920,0,1.7763568394002505e-15,2.6645352591003757e-15
677,Current.Ic,1920,0,8.881784197001252e-16,0.0
901,Voltage.Va,1440,0,1.7763568394002505e-15,0.0
901,Voltage.Vb,1440,0,1.7763568394002505e-15,0.0
901,Voltage.Vc,1440,0,1.7763568394002505e-15,0.0
901,Current.Ia,1440,0,8.881784197001252e-16,8.881784197001252e-16
901,Current.Ib,1440,0,8.881784197001252e-16,0.0
901,Current.Ic,1440,0,1.7763568394002505e-15,0.0
907,Voltage.Va,1200,0,1.7763568394002505e-15,0.0
907,Voltage.Vb,1200,0,1.7763568394002505e-15,3.9968028886505635e-15
907,Voltage.Vc,1200,0,1.7763568394002505e-15,3.552713678800501e-15
907,Current.Ia,1200,0,1.7763568394002505e-15,0.0
907,Current.Ib,1200,0,1.7763568394002505e-15,0.0
907,Current.Ic,1200,0,1.7763568394002505e-15,0.0
971,Voltage.Va,28,0,8.881784197001252e-16,0.0
971,Voltage.Vb,28,0,8.881784197001252e-16,0.0
971,Voltage.Vc,28,0,8.881784197001252e-16,0.0
971,Current.Ia,28,0,8.881784197001252e-16,0.0
971,Current.Ib,28,0,0.0,0.0
971,Current.Ic,28,0,8.881784197001252e-16,0.0
