floor,ate_micro,ate_macro,ate_duty,ate_event_recall,ate_fa_quiet,const_micro,const_macro,const_duty,const_event_recall,const_fa_quiet
0.0,0.31467420095355814,0.6126976225224153,0.20844538560802187,0.95,202,0.08857786042869727,0.25943640388445427,0.6344273284573343,1.0,4895
0.25,0.327392981811501,0.6269618867866795,0.20332720209787855,0.95,1,0.14727420667209112,0.3773137284734333,0.37565763153682463,1.0,201
0.5,0.3282372444280715,0.6349672072119484,0.2030659965705461,0.95,1,0.15567214242710928,0.504120092242875,0.33779848220157355,1.0,10
0.75,0.35196523800118507,0.6437931106793511,0.19690094844681189,0.95,1,0.157268224867495,0.5393180626292979,0.3301569483633365,1.0,8
1.0,0.3521739130434783,0.6437996560876537,0.19685071738392257,0.95,1,0.15842450765864333,0.5659319242940529,0.32863346492919737,1.0,5
1.25,0.3543448001590774,0.6465195724643436,0.19514047420956432,0.95,1,0.20030987162461264,0.5759002586419079,0.29021495148606963,1.0,5
1.5,0.35476806689229545,0.6467295280215163,0.19503970746848623,0.95,1,0.20216687143974085,0.5789341407992675,0.2875270670565316,1.0,3
1.75,0.35534213685474186,0.6515465177089411,0.19342652174675906,0.95,1,0.20579874928936895,0.6231155537444215,0.2734001316938704,1.0,3
2.0,0.35873530603972437,0.6657410965919873,0.1910538340076965,0.95,1,0.20932115184457037,0.6379298532275124,0.26720621514430265,1.0,3
2.25,0.36269857643903447,0.6833833663692627,0.1893522683190065,0.95,1,0.21305273114211395,0.6571311973252824,0.2597298952724513,1.0,5
2.5,0.3671416596814753,0.7123170803516325,0.18633390827621993,0.95,1,0.21862052156958325,0.681683926665731,0.2520033351616653,1.0,3
2.75,0.3732364258230013,0.7349434753781826,0.1805691762478106,0.95,1,0.26692572111791957,0.7043117618116242,0.2238957732231629,1.0,2
3.0,0.37668551544149625,0.7499986486371243,0.1770892479724483,0.95,1,0.3603164942178941,0.7680368116952577,0.1940034241005388,1.0,2
3.25,0.37804338202744575,0.7536116001440952,0.16796004275825996,0.925,1,0.3693864642631246,0.7835384824671089,0.18308240343813473,0.975,2
3.5,0.37362637362637363,0.7577217650639773,0.16272144628267116,0.9,1,0.3736216216216216,0.7898451709288591,0.1774405718000291,0.95,1
3.75,0.37063887630267334,0.754671632671708,0.15761746587902303,0.85,1,0.37602300376023007,0.7910856239433478,0.16678115151325706,0.925,1
4.0,0.35664979291302346,0.7182914572321369,0.14947216646390904,0.825,1,0.37259292431706226,0.788896911543748,0.16182366874624943,0.9,1
4.25,0.3433874709976798,0.642837464281259,0.14342787973251372,0.775,1,0.3690287525469776,0.7124438536622818,0.1541806927632819,0.825,1
4.5,0.32982456140350874,0.6019960303109178,0.13763432409552023,0.75,1,0.35223605348086673,0.6541844742027215,0.14509204861213,0.775,1
4.75,0.31841733396137545,0.5593791563224956,0.1324569465147727,0.725,1,0.3383756108913195,0.5924281568387273,0.1390186080512568,0.725,1
5.0,0.30780175480199196,0.519016282691732,0.1297307935050082,0.675,1,0.3240958196336309,0.5405549202761876,0.1341028971054489,0.675,1
5.25,0.29906987836870974,0.4786083240264112,0.12521520370460865,0.65,1,0.3143464901914441,0.49942982866546265,0.12911952553052564,0.65,1
5.5,0.29337162000478584,0.4719604630003662,0.12354096657439667,0.65,1,0.3063405366896224,0.48960210687554095,0.12703657297100474,0.65,1
5.75,0.2852332852332852,0.4583771387996598,0.12143383621169986,0.625,1,0.29500358594310305,0.46977082799607,0.12429735200625015,0.625,1
6.0,0.2791596232794011,0.4415591011820381,0.12000546019672134,0.625,0,0.2890756302521008,0.45987376210879294,0.1225676114138523,0.625,0
