09-18-2026 20:58:45 RAM 3180/7486MB (lfb 51x4MB) CPU [0%@1497,30%@1497,0%@1497,10%@1497,9%@1497,16%@1497] GR3D_FREQ 14% cpu@46.812C/46.812C soc2@46.937C/46.937C soc0@47.125C/47.125C gpu@47.312C/47.312C tj@47.312C/47.312C soc1@46C/46C VDD_IN 4712mW/4712mW/4712mW VDD_CPU_GPU_CV 1036mW/1036mW/1036mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 20:58:45 RAM 3180/7486MB (lfb 51x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/46.812C soc2@46.718C/46.937C soc0@47.156C/47.156C gpu@47.125C/47.312C tj@47.156C/47.312C soc1@45.937C/46C VDD_IN 4632mW/4672mW/4712mW VDD_CPU_GPU_CV 996mW/1016mW/1036mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 20:58:46 RAM 3180/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,8%@1497,30%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/46.906C soc2@46.781C/46.937C soc0@47.25C/47.25C gpu@47.343C/47.343C tj@47.343C/47.343C soc1@46C/46C VDD_IN 4592mW/4645mW/4712mW VDD_CPU_GPU_CV 996mW/1009mW/1036mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 20:58:46 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,18%@1497,0%@1497,36%@1497,18%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.093C soc2@46.843C/46.937C soc0@47.062C/47.25C gpu@47.125C/47.343C tj@47.125C/47.343C soc1@46.125C/46.125C VDD_IN 4672mW/4652mW/4712mW VDD_CPU_GPU_CV 1036mW/1016mW/1036mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 20:58:46 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/47.093C soc2@46.906C/46.937C soc0@47.093C/47.25C gpu@47.093C/47.343C tj@47.093C/47.343C soc1@46.156C/46.156C VDD_IN 4632mW/4648mW/4712mW VDD_CPU_GPU_CV 996mW/1012mW/1036mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 20:58:46 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/47.093C soc2@46.781C/46.937C soc0@47.156C/47.25C gpu@47.25C/47.343C tj@47.25C/47.343C soc1@45.968C/46.156C VDD_IN 4552mW/4632mW/4712mW VDD_CPU_GPU_CV 956mW/1003mW/1036mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 20:58:46 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,16%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.093C soc2@46.718C/46.937C soc0@47.125C/47.25C gpu@47.062C/47.343C tj@47.125C/47.343C soc1@45.968C/46.156C VDD_IN 4512mW/4615mW/4712mW VDD_CPU_GPU_CV 917mW/990mW/1036mW VDD_SOC 1315mW/1349mW/1355mW
09-18-2026 20:58:46 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.093C soc2@46.781C/46.937C soc0@47.031C/47.25C gpu@47C/47.343C tj@47.062C/47.343C soc1@46.062C/46.156C VDD_IN 4472mW/4597mW/4712mW VDD_CPU_GPU_CV 917mW/981mW/1036mW VDD_SOC 1315mW/1345mW/1355mW
09-18-2026 20:58:46 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.093C soc2@46.812C/46.937C soc0@47.093C/47.25C gpu@47.25C/47.343C tj@47.25C/47.343C soc1@46.125C/46.156C VDD_IN 4432mW/4579mW/4712mW VDD_CPU_GPU_CV 877mW/970mW/1036mW VDD_SOC 1317mW/1342mW/1355mW
09-18-2026 20:58:46 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.718C/47.093C soc2@46.843C/46.937C soc0@47.125C/47.25C gpu@47.125C/47.343C tj@47.125C/47.343C soc1@46.125C/46.156C VDD_IN 4392mW/4560mW/4712mW VDD_CPU_GPU_CV 877mW/960mW/1036mW VDD_SOC 1317mW/1339mW/1355mW
09-18-2026 20:58:46 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/47.093C soc2@46.718C/46.937C soc0@47.093C/47.25C gpu@47.343C/47.343C tj@47.343C/47.343C soc1@46.062C/46.156C VDD_IN 4392mW/4545mW/4712mW VDD_CPU_GPU_CV 877mW/953mW/1036mW VDD_SOC 1317mW/1337mW/1355mW
09-18-2026 20:58:46 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.875C/47.093C soc2@46.718C/46.937C soc0@47.093C/47.25C gpu@47.187C/47.343C tj@47.187C/47.343C soc1@46C/46.156C VDD_IN 4353mW/4529mW/4712mW VDD_CPU_GPU_CV 878mW/947mW/1036mW VDD_SOC 1317mW/1336mW/1355mW
09-18-2026 20:58:47 RAM 3183/7486MB (lfb 51x4MB) CPU [9%@1497,0%@1497,0%@1497,16%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.093C soc2@46.781C/46.937C soc0@47.031C/47.25C gpu@47.031C/47.343C tj@47.031C/47.343C soc1@46.093C/46.156C VDD_IN 4353mW/4515mW/4712mW VDD_CPU_GPU_CV 878mW/941mW/1036mW VDD_SOC 1317mW/1334mW/1355mW
09-18-2026 20:58:47 RAM 3183/7486MB (lfb 51x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/47.093C soc2@46.843C/46.937C soc0@47.031C/47.25C gpu@47.343C/47.343C tj@47.343C/47.343C soc1@46.125C/46.156C VDD_IN 4353mW/4504mW/4712mW VDD_CPU_GPU_CV 838mW/934mW/1036mW VDD_SOC 1317mW/1333mW/1355mW
09-18-2026 20:58:47 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,0%@1497,30%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.093C soc2@46.656C/46.937C soc0@47.093C/47.25C gpu@47.187C/47.343C tj@47.187C/47.343C soc1@45.937C/46.156C VDD_IN 4392mW/4496mW/4712mW VDD_CPU_GPU_CV 877mW/930mW/1036mW VDD_SOC 1317mW/1332mW/1355mW
09-18-2026 20:58:47 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,0%@1497,54%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/47.093C soc2@46.718C/46.937C soc0@47.187C/47.25C gpu@46.968C/47.343C tj@47.187C/47.343C soc1@45.968C/46.156C VDD_IN 4432mW/4492mW/4712mW VDD_CPU_GPU_CV 917mW/929mW/1036mW VDD_SOC 1317mW/1331mW/1355mW
09-18-2026 20:58:47 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,9%@1497,45%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47.093C soc2@46.75C/46.937C soc0@47.031C/47.25C gpu@47.312C/47.343C tj@47.312C/47.343C soc1@46.031C/46.156C VDD_IN 4472mW/4491mW/4712mW VDD_CPU_GPU_CV 956mW/931mW/1036mW VDD_SOC 1315mW/1330mW/1355mW
09-18-2026 20:58:47 RAM 3183/7486MB (lfb 51x4MB) CPU [9%@1497,0%@1497,9%@1497,40%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.093C soc2@46.75C/46.937C soc0@47.062C/47.25C gpu@47.187C/47.343C tj@47.187C/47.343C soc1@46.093C/46.156C VDD_IN 4472mW/4490mW/4712mW VDD_CPU_GPU_CV 996mW/934mW/1036mW VDD_SOC 1315mW/1329mW/1355mW
09-18-2026 20:58:47 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.875C/47.093C soc2@46.906C/46.937C soc0@47.125C/47.25C gpu@47.125C/47.343C tj@47.125C/47.343C soc1@46.125C/46.156C VDD_IN 4512mW/4491mW/4712mW VDD_CPU_GPU_CV 996mW/938mW/1036mW VDD_SOC 1315mW/1328mW/1355mW
09-18-2026 20:58:47 RAM 3183/7486MB (lfb 51x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.093C soc2@46.75C/46.937C soc0@47.125C/47.25C gpu@47.281C/47.343C tj@47.281C/47.343C soc1@46C/46.156C VDD_IN 4512mW/4492mW/4712mW VDD_CPU_GPU_CV 1036mW/943mW/1036mW VDD_SOC 1315mW/1328mW/1355mW
