feeder,report,offset_bytes,n_ch,n_samples
0,27,0,6,128
0,28,3072,6,128
0,29,6144,6,128
0,30,9216,6,128
0,31,12288,6,129
0,32,15384,6,128
0,33,18456,6,128
0,34,21528,6,128
0,35,24600,6,129
0,36,27696,6,128
0,37,30768,6,128
0,38,33840,6,128
0,39,36912,6,128
0,40,39984,6,129
0,41,43080,6,128
0,42,46152,6,128
0,43,49224,6,128
0,44,52296,6,128
0,45,55368,6,129
0,46,58464,6,128
0,47,61536,6,128
0,48,64608,6,128
0,49,67680,6,128
0,50,70752,6,129
0,51,73848,6,128
0,52,76920,6,128
0,53,79992,6,128
0,54,83064,6,128
0,55,86136,6,129
0,56,89232,6,128
0,63,92304,6,128
0,64,95376,6,129
0,65,98472,6,128
0,66,101544,6,128
0,67,104616,6,128
0,68,107688,6,128
0,69,110760,6,129
0,70,113856,6,128
0,71,116928,6,128
0,72,120000,6,128
0,73,123072,6,128
0,74,126144,6,129
0,75,129240,6,128
0,76,132312,6,128
0,77,135384,6,128
0,78,138456,6,128
0,79,141528,6,129
0,80,144624,6,128
0,81,147696,6,128
0,82,150768,6,128
0,83,153840,6,129
0,84,156936,6,128
0,85,160008,6,128
0,86,163080,6,128
0,87,166152,6,128
0,88,169224,6,129
0,89,172320,6,128
0,90,175392,6,128
0,91,178464,6,128
0,92,181536,6,128
0,93,184608,6,129
0,94,187704,6,128
0,95,190776,6,128
0,96,193848,6,128
0,97,196920,6,128
0,98,199992,6,129
0,99,203088,6,128
0,100,206160,6,128
0,101,209232,6,128
0,102,212304,6,128
0,103,215376,6,129
0,104,218472,6,128
0,105,221544,6,128
0,106,224616,6,128
0,107,227688,6,129
0,108,230784,6,128
0,109,233856,6,128
0,110,236928,6,128
0,111,240000,6,128
0,112,243072,6,129
0,113,246168,6,128
0,114,249240,6,128
0,115,252312,6,128
0,116,255384,6,128
0,117,258456,6,129
0,118,261552,6,128
0,119,264624,6,128
0,120,267696,6,128
0,121,270768,6,128
0,122,273840,6,129
0,123,276936,6,128
0,124,280008,6,128
0,125,283080,6,128
0,126,286152,6,128
0,127,289224,6,129
0,128,292320,6,128
0,129,295392,6,128
0,130,298464,6,128
0,131,301536,6,129
0,132,304632,6,128
0,133,307704,6,128
0,134,310776,6,128
0,135,313848,6,128
0,136,316920,6,129
0,137,320016,6,128
0,138,323088,6,128
0,139,326160,6,128
0,140,329232,6,128
0,141,332304,6,129
0,142,335400,6,128
0,143,338472,6,128
0,144,341544,6,128
0,145,344616,6,128
0,146,347688,6,129
0,147,350784,6,128
0,148,353856,6,128
0,149,356928,6,128
0,150,360000,6,128
0,151,363072,6,129
0,152,366168,6,128
0,153,369240,6,128
0,154,372312,6,128
0,155,375384,6,128
0,156,378456,6,129
0,157,381552,6,128
0,158,384624,6,128
0,159,387696,6,128
0,160,390768,6,129
0,161,393864,6,128
0,162,396936,6,128
0,163,400008,6,128
0,164,403080,6,128
0,165,406152,6,129
0,166,409248,6,128
0,167,412320,6,128
0,168,415392,6,128
0,169,418464,6,128
0,170,421536,6,129
0,171,424632,6,128
0,172,427704,6,128
0,173,430776,6,128
0,174,433848,6,128
0,175,436920,6,129
0,176,440016,6,128
0,177,443088,6,128
0,178,446160,6,128
0,179,449232,6,129
0,180,452328,6,128
0,181,455400,6,128
0,182,458472,6,128
0,183,461544,6,128
0,184,464616,6,129
0,185,467712,6,128
0,186,470784,6,128
0,187,473856,6,128
0,188,476928,6,128
0,189,480000,6,129
0,190,483096,6,128
0,191,486168,6,128
0,192,489240,6,128
0,193,492312,6,128
0,194,495384,6,129
0,195,498480,6,128
0,196,501552,6,128
0,197,504624,6,128
0,198,507696,6,128
0,199,510768,6,129
0,200,513864,6,128
0,201,516936,6,128
0,202,520008,6,128
0,203,523080,6,129
0,204,526176,6,128
0,205,529248,6,128
0,206,532320,6,128
0,207,535392,6,128
0,208,538464,6,129
0,209,541560,6,128
0,210,544632,6,128
0,211,547704,6,128
0,212,550776,6,128
0,213,553848,6,129
0,214,556944,6,128
0,215,560016,6,128
0,216,563088,6,128
0,217,566160,6,128
0,218,569232,6,129
0,219,572328,6,128
0,220,575400,6,128
0,221,578472,6,128
0,222,581544,6,128
0,223,584616,6,129
0,224,587712,6,128
0,225,590784,6,128
0,226,593856,6,128
0,227,596928,6,129
0,228,600024,6,128
0,229,603096,6,128
0,230,606168,6,128
0,231,609240,6,128
0,232,612312,6,129
0,233,615408,6,128
0,234,618480,6,128
0,235,621552,6,128
0,236,624624,6,128
0,237,627696,6,129
0,238,630792,6,128
