report,t_s,F0.Va.rms,F0.Va.ang_rad,F0.Va.freq_hz,F0.Va.event,F0.Vb.rms,F0.Vb.ang_rad,F0.Vb.freq_hz,F0.Vb.event,F0.Vc.rms,F0.Vc.ang_rad,F0.Vc.freq_hz,F0.Vc.event,F0.Ia.rms,F0.Ia.ang_rad,F0.Ia.freq_hz,F0.Ia.event,F0.Ib.rms,F0.Ib.ang_rad,F0.Ib.freq_hz,F0.Ib.event,F0.Ic.rms,F0.Ic.ang_rad,F0.Ic.freq_hz,F0.Ic.event,F0.mode
0,0.008333,15069.2,1.555634,60.00000,0,15000.4,3.661971,60.00000,0,15167.7,-0.528008,60.00000,0,55.0043,1.596457,60.00000,0,45.9159,3.700909,60.00000,0,43.3208,-0.592208,60.00000,0,PMU
1,0.016667,15045.5,1.562330,60.00000,0,14952.6,3.657638,60.00000,0,15274.5,-0.528374,60.00000,0,55.3418,1.598471,60.00000,0,46.0859,3.697674,60.00000,0,43.8901,-0.588180,60.00000,0,PMU
2,0.025000,15072,1.556837,59.89392,0,15016.5,3.662581,60.09558,0,15183.8,-0.526299,60.03963,0,55.3597,1.598349,59.99534,0,46.4055,3.701947,60.08393,0,43.754,-0.587875,60.00583,0,PMU
3,0.033333,15045.3,1.563612,60.12939,0,14952.7,3.658981,59.93123,0,15274.3,-0.527031,59.98601,0,55.364,1.598959,60.01166,0,46.1685,3.698101,59.92656,0,43.9456,-0.587570,60.00583,0,PMU
4,0.041667,15069.8,1.558119,59.89509,0,15014.8,3.663863,60.09325,0,15181.6,-0.525017,60.03847,0,55.1041,1.597800,59.97785,0,46.1812,3.701153,60.05828,0,43.5188,-0.588607,59.98018,0,PMU
5,0.050000,15045.6,1.564955,60.13056,0,14953,3.660262,59.93123,0,15275.6,-0.525689,59.98718,0,55.065,1.598471,60.01282,0,45.8523,3.695782,59.89742,0,43.6792,-0.590072,59.97202,0,PMU
6,0.058333,15068.6,1.559400,59.89392,0,15012.5,3.665084,60.09208,0,15180.9,-0.523796,60.03614,0,54.8902,1.597800,59.98718,0,45.98,3.700116,60.08276,0,43.4012,-0.590743,59.98718,0,PMU
7,0.066667,15044,1.565992,60.12589,0,14951.2,3.661239,59.92657,0,15275.1,-0.524712,59.98251,0,55.1423,1.599570,60.03380,0,45.9237,3.696698,59.93472,0,43.8235,-0.589645,60.02098,0,PMU
8,0.075000,15068,1.560438,59.89392,0,15012.6,3.666183,60.09442,0,15180.4,-0.522698,60.03847,0,55.2542,1.599020,59.98951,0,46.4077,3.702008,60.10141,0,43.8059,-0.587203,60.04663,0,PMU
9,0.083333,15044.8,1.567030,60.12589,0,14951.3,3.662398,59.92773,0,15274,-0.523613,59.98251,0,55.3785,1.600119,60.02098,0,46.2262,3.699078,59.94405,0,44.0853,-0.586959,60.00466,0,PMU
10,0.091667,15071.6,1.562086,59.90558,0,15016.5,3.667769,60.10258,0,15185.1,-0.521050,60.04896,0,55.2572,1.598898,59.97669,0,46.4829,3.701702,60.05012,0,43.8855,-0.586227,60.01399,0,PMU
11,0.100000,15038.9,1.568373,60.12006,0,14946.4,3.663802,59.92423,0,15265.7,-0.522271,59.97669,0,54.9403,1.599204,60.00583,0,45.8098,3.699749,59.96270,0,43.5437,-0.588912,59.94871,0,PMU
12,0.108333,15071.1,1.563124,59.89975,0,15014.5,3.668990,60.09908,0,15179.3,-0.520318,60.03730,0,54.7069,1.597739,59.97202,0,45.9514,3.702435,60.05129,0,43.263,-0.587508,60.02681,0,PMU
13,0.116667,15042.6,1.569837,60.12822,0,14948.6,3.665206,59.92773,0,15270,-0.521172,59.98369,0,54.6346,1.598837,60.02098,0,45.4202,3.699444,59.94288,0,43.2372,-0.590377,59.94521,0,PMU
14,0.125000,15070.5,1.564588,59.89975,0,15013.2,3.670455,60.10025,0,15180.7,-0.518853,60.04429,0,54.6464,1.599082,60.00466,0,45.7939,3.703106,60.06994,0,43.155,-0.588668,60.03264,0,PMU
15,0.133333,15039.8,1.570840,60.11939,0,14945.3,3.666244,59.91957,0,15267.2,-0.520135,59.97552,0,54.8764,1.601767,60.05128,0,45.6774,3.701702,59.97319,0,43.5216,-0.587508,60.02215,0,PMU
16,0.141667,15071,1.565626,59.90042,0,15012.4,3.671432,60.09908,0,15181.8,-0.517876,60.04313,0,55.1681,1.602743,60.01865,0,46.3557,3.706219,60.08626,0,43.7439,-0.582992,60.08626,0,PMU
17,0.150000,15039.2,1.571877,60.11939,0,14944.2,3.667342,59.92190,0,15266.6,-0.519097,59.97669,0,55.3689,1.603415,60.01282,0,46.2007,3.704510,59.96736,0,43.9576,-0.583602,59.98834,0,PMU
18,0.158333,15070.7,1.566480,59.89693,0,15010.7,3.672347,60.09559,0,15180.8,-0.517022,60.03963,0,55.4571,1.604391,60.01865,0,46.6052,3.708233,60.07111,0,43.9419,-0.581527,60.03963,0,PMU
19,0.166667,15040.5,1.573098,60.12639,0,14946.6,3.668563,59.92773,0,15268.2,-0.517754,59.98601,0,55.4869,1.604330,59.99883,0,46.3574,3.704876,59.93589,0,44.0969,-0.581466,60.00117,0,PMU
20,0.175000,15072.3,1.567823,59.89926,0,15013.8,3.673629,60.09675,0,15182.5,-0.515618,60.04080,0,55.3051,1.604452,60.00233,0,46.447,3.707440,60.04896,0,43.8026,-0.581588,59.99767,0,PMU
21,0.183333,15042.5,1.574746,60.13222,0,14950.7,3.670028,59.93122,0,15272.4,-0.516106,59.99067,0,55.1929,1.603537,59.98251,0,46.0751,3.703045,59.91607,0,43.8713,-0.582321,59.98602,0,PMU
22,0.191667,15068.8,1.569044,59.89110,0,15011.3,3.674788,60.09092,0,15179.7,-0.514336,60.03380,0,54.9671,1.605063,60.02914,0,46.1017,3.707989,60.09442,0,43.5027,-0.582015,60.00583,0,PMU
23,0.200000,15040.2,1.575662,60.12639,0,14947.8,3.670943,59.92656,0,15269.9,-0.515191,59.98368,0,55.1778,1.606528,60.02798,0,46.0379,3.705914,59.96037,0,43.8676,-0.580673,60.02564,0,PMU
24,0.208333,15068.2,1.570020,59.89226,0,15011,3.675765,60.09209,0,15179.5,-0.513360,60.03497,0,55.2802,1.607199,60.01282,0,46.4804,3.710974,60.09664,0,43.8812,-0.577987,60.05129,0,PMU
25,0.216667,15043.8,1.576882,60.13105,0,14951.4,3.672042,59.92889,0,15274.4,-0.514031,59.98718,0,55.4591,1.607260,60.00117,0,46.3665,3.706707,59.91851,0,44.2172,-0.578720,59.98601,0,PMU
26,0.225000,15069.5,1.571572,59.89859,0,15012.1,3.677291,60.10025,0,15180.7,-0.511773,60.04313,0,55.2823,1.606283,59.98135,0,46.5888,3.709814,60.05934,0,43.8991,-0.579269,59.98951,0,PMU
27,0.233333,15041,1.578042,60.12356,0,14948.7,3.673202,59.92190,0,15271.3,-0.512810,59.98018,0,55.0938,1.606222,59.99883,0,46.0664,3.705792,59.92317,0,43.8942,-0.581039,59.96620,0,PMU
28,0.241667,15068,1.572610,59.89625,0,15010.4,3.678326,60.09788,0,15179.1,-0.510796,60.03847,0,54.923,1.606405,60.00350,0,46.1649,3.709814,60.07683,0,43.5583,-0.580246,60.01515,0,PMU
29,0.250000,15042.4,1.579385,60.12939,0,14951,3.674605,59.92893,0,15273.6,-0.511407,59.98834,0,54.949,1.607321,60.01749,0,45.9149,3.705914,59.92551,0,43.744,-0.580795,59.98951,0,PMU
30,0.258333,15066.7,1.574014,59.89742,0,15009.6,3.679730,60.09788,0,15178.2,-0.509331,60.03963,0,54.8924,1.607931,60.01166,0,46.1154,3.711035,60.09781,0,43.5096,-0.578903,60.03614,0,PMU
31,0.266667,15042,1.580666,60.12706,0,14950.6,3.675887,59.92660,0,15274.3,-0.510064,59.98601,0,55.0032,1.610251,60.04430,0,45.8963,3.707684,59.93600,0,43.8041,-0.577743,60.02215,0,PMU
32,0.275000,15067.8,1.575478,59.90092,0,15010.7,3.681134,60.10021,0,15180.9,-0.507867,60.04196,0,54.988,1.610556,60.00583,0,46.1789,3.712622,60.09431,0,43.6019,-0.576278,60.02798,0,PMU
33,0.283333,15040.2,1.581826,60.12123,0,14947.8,3.677047,59.92194,0,15271.6,-0.508904,59.98018,0,54.8437,1.612021,60.02798,0,45.7428,3.710486,59.95920,0,43.5804,-0.577316,59.98018,0,PMU
