09-18-2026 20:56:45 RAM 3156/7486MB (lfb 57x4MB) CPU [16%@1497,18%@1497,30%@1497,0%@1497,30%@1497,53%@1497] GR3D_FREQ 4% cpu@48.031C/48.031C soc2@47.5C/47.5C soc0@47.593C/47.593C gpu@47.906C/47.906C tj@48.031C/48.031C soc1@46.5C/46.5C VDD_IN 5413mW/5413mW/5413mW VDD_CPU_GPU_CV 1751mW/1751mW/1751mW VDD_SOC 1353mW/1353mW/1353mW
09-18-2026 20:56:45 RAM 3156/7486MB (lfb 57x4MB) CPU [18%@1497,0%@1497,9%@1497,20%@1497,90%@1497,20%@1497] GR3D_FREQ 18% cpu@47.593C/48.031C soc2@47.468C/47.5C soc0@47.562C/47.593C gpu@47.906C/47.906C tj@47.906C/48.031C soc1@46.687C/46.687C VDD_IN 5533mW/5473mW/5533mW VDD_CPU_GPU_CV 1788mW/1770mW/1788mW VDD_SOC 1393mW/1373mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [11%@1497,45%@1497,18%@1497,25%@1497,91%@1497,0%@1497] GR3D_FREQ 22% cpu@47.875C/48.031C soc2@47.468C/47.5C soc0@47.625C/47.625C gpu@47.812C/47.906C tj@47.875C/48.031C soc1@46.531C/46.687C VDD_IN 5612mW/5519mW/5612mW VDD_CPU_GPU_CV 1867mW/1802mW/1867mW VDD_SOC 1393mW/1380mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [25%@1497,10%@1497,18%@1497,9%@1497,100%@1497,0%@1497] GR3D_FREQ 14% cpu@47.781C/48.031C soc2@47.437C/47.5C soc0@47.562C/47.625C gpu@47.875C/47.906C tj@47.875C/48.031C soc1@46.562C/46.687C VDD_IN 5573mW/5533mW/5612mW VDD_CPU_GPU_CV 1828mW/1809mW/1867mW VDD_SOC 1393mW/1383mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,100%@1497,0%@1497] GR3D_FREQ 1% cpu@47.812C/48.031C soc2@47.468C/47.5C soc0@47.562C/47.625C gpu@47.75C/47.906C tj@47.812C/48.031C soc1@46.625C/46.687C VDD_IN 5453mW/5517mW/5612mW VDD_CPU_GPU_CV 1751mW/1797mW/1867mW VDD_SOC 1393mW/1385mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.468C/48.031C soc2@47.375C/47.5C soc0@47.593C/47.625C gpu@47.687C/47.906C tj@47.687C/48.031C soc1@46.687C/46.687C VDD_IN 5263mW/5475mW/5612mW VDD_CPU_GPU_CV 1552mW/1756mW/1867mW VDD_SOC 1353mW/1380mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,8%@1497] GR3D_FREQ 0% cpu@47.531C/48.031C soc2@47.468C/47.5C soc0@47.718C/47.718C gpu@47.593C/47.906C tj@47.718C/48.031C soc1@46.531C/46.687C VDD_IN 5063mW/5416mW/5612mW VDD_CPU_GPU_CV 1433mW/1710mW/1867mW VDD_SOC 1355mW/1376mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.562C/48.031C soc2@47.437C/47.5C soc0@47.843C/47.843C gpu@47.718C/47.906C tj@47.843C/48.031C soc1@46.531C/46.687C VDD_IN 4904mW/5352mW/5612mW VDD_CPU_GPU_CV 1273mW/1655mW/1867mW VDD_SOC 1355mW/1374mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.562C/48.031C soc2@47.437C/47.5C soc0@47.562C/47.843C gpu@47.656C/47.906C tj@47.656C/48.031C soc1@46.593C/46.687C VDD_IN 4784mW/5289mW/5612mW VDD_CPU_GPU_CV 1196mW/1604mW/1867mW VDD_SOC 1355mW/1371mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@47.562C/48.031C soc2@47.406C/47.5C soc0@47.625C/47.843C gpu@47.781C/47.906C tj@47.781C/48.031C soc1@46.75C/46.75C VDD_IN 4672mW/5227mW/5612mW VDD_CPU_GPU_CV 1116mW/1556mW/1867mW VDD_SOC 1355mW/1370mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.375C/48.031C soc2@47.343C/47.5C soc0@47.656C/47.843C gpu@47.593C/47.906C tj@47.656C/48.031C soc1@46.468C/46.75C VDD_IN 4592mW/5169mW/5612mW VDD_CPU_GPU_CV 1076mW/1512mW/1867mW VDD_SOC 1355mW/1368mW/1393mW
09-18-2026 20:56:46 RAM 3158/7486MB (lfb 57x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.468C/48.031C soc2@47.312C/47.5C soc0@47.687C/47.843C gpu@47.625C/47.906C tj@47.687C/48.031C soc1@46.468C/46.75C VDD_IN 4552mW/5118mW/5612mW VDD_CPU_GPU_CV 996mW/1469mW/1867mW VDD_SOC 1355mW/1367mW/1393mW
09-18-2026 20:56:47 RAM 3159/7486MB (lfb 57x4MB) CPU [20%@1497,20%@1497,20%@1497,10%@1497,10%@1497,0%@1497] GR3D_FREQ 0% cpu@47.625C/48.031C soc2@47.375C/47.5C soc0@47.562C/47.843C gpu@47.781C/47.906C tj@47.781C/48.031C soc1@46.5C/46.75C VDD_IN 4632mW/5080mW/5612mW VDD_CPU_GPU_CV 1076mW/1439mW/1867mW VDD_SOC 1355mW/1366mW/1393mW
09-18-2026 20:56:47 RAM 3159/7486MB (lfb 57x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.562C/48.031C soc2@47.343C/47.5C soc0@47.562C/47.843C gpu@47.656C/47.906C tj@47.656C/48.031C soc1@46.593C/46.75C VDD_IN 4552mW/5043mW/5612mW VDD_CPU_GPU_CV 1036mW/1410mW/1867mW VDD_SOC 1355mW/1366mW/1393mW
09-18-2026 20:56:47 RAM 3159/7486MB (lfb 57x4MB) CPU [0%@1497,40%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.375C/48.031C soc2@47.437C/47.5C soc0@47.562C/47.843C gpu@47.656C/47.906C tj@47.656C/48.031C soc1@46.687C/46.75C VDD_IN 4552mW/5010mW/5612mW VDD_CPU_GPU_CV 1036mW/1385mW/1867mW VDD_SOC 1355mW/1365mW/1393mW
