09-18-2026 21:02:26 RAM 3155/7486MB (lfb 52x4MB) CPU [9%@1497,36%@1497,10%@1497,20%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@46.562C/46.562C soc2@46.312C/46.312C soc0@46.593C/46.593C gpu@46.812C/46.812C tj@46.812C/46.812C soc1@45.593C/45.593C VDD_IN 4784mW/4784mW/4784mW VDD_CPU_GPU_CV 1156mW/1156mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:02:26 RAM 3155/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.25C/46.562C soc2@46.343C/46.343C soc0@46.593C/46.593C gpu@46.687C/46.812C tj@46.687C/46.812C soc1@45.593C/45.593C VDD_IN 4712mW/4748mW/4784mW VDD_CPU_GPU_CV 1076mW/1116mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:02:26 RAM 3156/7486MB (lfb 52x4MB) CPU [18%@1497,0%@1497,0%@1497,25%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@46.468C/46.562C soc2@46.187C/46.343C soc0@46.625C/46.625C gpu@46.625C/46.812C tj@46.625C/46.812C soc1@45.406C/45.593C VDD_IN 4672mW/4723mW/4784mW VDD_CPU_GPU_CV 1076mW/1103mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:02:26 RAM 3156/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,10%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.562C soc2@46.281C/46.343C soc0@46.656C/46.656C gpu@46.718C/46.812C tj@46.718C/46.812C soc1@45.468C/45.593C VDD_IN 4632mW/4700mW/4784mW VDD_CPU_GPU_CV 1036mW/1086mW/1156mW VDD_SOC 1315mW/1345mW/1355mW
09-18-2026 21:02:26 RAM 3156/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.562C soc2@46.25C/46.343C soc0@46.5C/46.656C gpu@46.625C/46.812C tj@46.625C/46.812C soc1@45.5C/45.593C VDD_IN 4552mW/4670mW/4784mW VDD_CPU_GPU_CV 996mW/1068mW/1156mW VDD_SOC 1315mW/1339mW/1355mW
09-18-2026 21:02:26 RAM 3156/7486MB (lfb 52x4MB) CPU [16%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.562C soc2@46.25C/46.343C soc0@46.593C/46.656C gpu@46.625C/46.812C tj@46.625C/46.812C soc1@45.531C/45.593C VDD_IN 4512mW/4644mW/4784mW VDD_CPU_GPU_CV 956mW/1049mW/1156mW VDD_SOC 1315mW/1335mW/1355mW
09-18-2026 21:02:26 RAM 3156/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.562C soc2@46.156C/46.343C soc0@46.625C/46.656C gpu@46.718C/46.812C tj@46.718C/46.812C soc1@45.406C/45.593C VDD_IN 4472mW/4619mW/4784mW VDD_CPU_GPU_CV 917mW/1030mW/1156mW VDD_SOC 1317mW/1332mW/1355mW
09-18-2026 21:02:26 RAM 3156/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.25C/46.562C soc2@46.187C/46.343C soc0@46.625C/46.656C gpu@46.562C/46.812C tj@46.625C/46.812C soc1@45.437C/45.593C VDD_IN 4432mW/4596mW/4784mW VDD_CPU_GPU_CV 917mW/1016mW/1156mW VDD_SOC 1317mW/1331mW/1355mW
09-18-2026 21:02:27 RAM 3156/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.562C soc2@46.25C/46.343C soc0@46.562C/46.656C gpu@46.843C/46.843C tj@46.562C/46.812C soc1@45.5C/45.593C VDD_IN 4392mW/4573mW/4784mW VDD_CPU_GPU_CV 877mW/1001mW/1156mW VDD_SOC 1317mW/1329mW/1355mW
09-18-2026 21:02:27 RAM 3156/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.562C soc2@46.218C/46.343C soc0@46.593C/46.656C gpu@46.687C/46.843C tj@46.687C/46.812C soc1@45.593C/45.593C VDD_IN 4392mW/4555mW/4784mW VDD_CPU_GPU_CV 878mW/989mW/1156mW VDD_SOC 1317mW/1328mW/1355mW
09-18-2026 21:02:27 RAM 3156/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.218C/46.562C soc2@46.187C/46.343C soc0@46.625C/46.656C gpu@46.593C/46.843C tj@46.593C/46.812C soc1@45.375C/45.593C VDD_IN 4353mW/4537mW/4784mW VDD_CPU_GPU_CV 878mW/978mW/1156mW VDD_SOC 1317mW/1327mW/1355mW
