09-18-2026 21:00:33 RAM 3146/7486MB (lfb 52x4MB) CPU [10%@1497,27%@1497,10%@1497,30%@1497,0%@1497,10%@1497] GR3D_FREQ 1% cpu@46.75C/46.75C soc2@46.562C/46.562C soc0@46.781C/46.781C gpu@46.812C/46.812C tj@46.812C/46.812C soc1@45.75C/45.75C VDD_IN 4824mW/4824mW/4824mW VDD_CPU_GPU_CV 1196mW/1196mW/1196mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:00:33 RAM 3146/7486MB (lfb 52x4MB) CPU [8%@1497,0%@1497,8%@1497,20%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/46.812C soc2@46.593C/46.593C soc0@46.906C/46.906C gpu@47.125C/47.125C tj@47.125C/47.125C soc1@45.812C/45.812C VDD_IN 4784mW/4804mW/4824mW VDD_CPU_GPU_CV 1116mW/1156mW/1196mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:00:33 RAM 3146/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,10%@1497,0%@1497,18%@1497,0%@1497] GR3D_FREQ 0% cpu@46.562C/46.812C soc2@46.593C/46.593C soc0@46.843C/46.906C gpu@46.937C/47.125C tj@46.937C/47.125C soc1@45.906C/45.906C VDD_IN 4704mW/4771mW/4824mW VDD_CPU_GPU_CV 1076mW/1129mW/1196mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:00:33 RAM 3146/7486MB (lfb 52x4MB) CPU [0%@1497,9%@1497,9%@1497,10%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.625C/46.812C soc2@46.531C/46.593C soc0@46.906C/46.906C gpu@46.875C/47.125C tj@46.906C/47.125C soc1@45.718C/45.906C VDD_IN 4704mW/4754mW/4824mW VDD_CPU_GPU_CV 1076mW/1116mW/1196mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:00:33 RAM 3146/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/46.812C soc2@46.531C/46.593C soc0@47.031C/47.031C gpu@46.75C/47.125C tj@47.031C/47.125C soc1@45.75C/45.906C VDD_IN 4632mW/4730mW/4824mW VDD_CPU_GPU_CV 996mW/1092mW/1196mW VDD_SOC 1315mW/1347mW/1355mW
09-18-2026 21:00:33 RAM 3146/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/46.812C soc2@46.562C/46.593C soc0@46.812C/47.031C gpu@46.906C/47.125C tj@46.906C/47.125C soc1@45.718C/45.906C VDD_IN 4552mW/4700mW/4824mW VDD_CPU_GPU_CV 956mW/1069mW/1196mW VDD_SOC 1315mW/1342mW/1355mW
09-18-2026 21:00:33 RAM 3146/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/46.843C soc2@46.531C/46.593C soc0@46.875C/47.031C gpu@46.812C/47.125C tj@46.875C/47.125C soc1@45.812C/45.906C VDD_IN 4512mW/4673mW/4824mW VDD_CPU_GPU_CV 956mW/1053mW/1196mW VDD_SOC 1315mW/1338mW/1355mW
09-18-2026 21:00:33 RAM 3146/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/46.843C soc2@46.468C/46.593C soc0@46.906C/47.031C gpu@46.968C/47.125C tj@46.968C/47.125C soc1@45.75C/45.906C VDD_IN 4472mW/4648mW/4824mW VDD_CPU_GPU_CV 917mW/1036mW/1196mW VDD_SOC 1315mW/1335mW/1355mW
09-18-2026 21:00:33 RAM 3146/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/46.843C soc2@46.562C/46.593C soc0@46.968C/47.031C gpu@46.906C/47.125C tj@46.968C/47.125C soc1@45.687C/45.906C VDD_IN 4432mW/4624mW/4824mW VDD_CPU_GPU_CV 877mW/1018mW/1196mW VDD_SOC 1317mW/1333mW/1355mW
09-18-2026 21:00:34 RAM 3146/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/46.843C soc2@46.593C/46.593C soc0@46.812C/47.031C gpu@46.812C/47.125C tj@46.812C/47.125C soc1@45.718C/45.906C VDD_IN 4392mW/4601mW/4824mW VDD_CPU_GPU_CV 877mW/1004mW/1196mW VDD_SOC 1317mW/1331mW/1355mW
09-18-2026 21:00:34 RAM 3146/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/46.843C soc2@46.562C/46.593C soc0@46.812C/47.031C gpu@47C/47.125C tj@47C/47.125C soc1@45.781C/45.906C VDD_IN 4353mW/4578mW/4824mW VDD_CPU_GPU_CV 878mW/993mW/1196mW VDD_SOC 1317mW/1330mW/1355mW
