09-18-2026 21:02:35 RAM 3165/7486MB (lfb 52x4MB) CPU [16%@1497,20%@1497,0%@1497,16%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/46.468C soc2@46.312C/46.312C soc0@46.625C/46.625C gpu@46.812C/46.812C tj@46.812C/46.812C soc1@45.437C/45.437C VDD_IN 4784mW/4784mW/4784mW VDD_CPU_GPU_CV 1156mW/1156mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:02:35 RAM 3165/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/46.5C soc2@46.343C/46.343C soc0@46.562C/46.625C gpu@46.718C/46.812C tj@46.718C/46.812C soc1@45.562C/45.562C VDD_IN 4672mW/4728mW/4784mW VDD_CPU_GPU_CV 1076mW/1116mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:02:35 RAM 3171/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,27%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/46.812C soc2@46.281C/46.343C soc0@46.593C/46.625C gpu@46.5C/46.812C tj@46.812C/46.812C soc1@45.656C/45.656C VDD_IN 4632mW/4696mW/4784mW VDD_CPU_GPU_CV 1036mW/1089mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:02:36 RAM 3173/7486MB (lfb 52x4MB) CPU [9%@1497,0%@1497,54%@1497,20%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.812C soc2@46.25C/46.343C soc0@46.656C/46.656C gpu@46.468C/46.812C tj@46.656C/46.812C soc1@45.437C/45.656C VDD_IN 4712mW/4700mW/4784mW VDD_CPU_GPU_CV 1076mW/1086mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:02:36 RAM 3173/7486MB (lfb 52x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.812C soc2@46.281C/46.343C soc0@46.687C/46.687C gpu@46.625C/46.812C tj@46.687C/46.812C soc1@45.5C/45.656C VDD_IN 4632mW/4686mW/4784mW VDD_CPU_GPU_CV 1036mW/1076mW/1156mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:02:36 RAM 3172/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,9%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.812C soc2@46.25C/46.343C soc0@46.531C/46.687C gpu@46.531C/46.812C tj@46.531C/46.812C soc1@45.5C/45.656C VDD_IN 4552mW/4664mW/4784mW VDD_CPU_GPU_CV 996mW/1063mW/1156mW VDD_SOC 1315mW/1348mW/1355mW
09-18-2026 21:02:36 RAM 3172/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/46.812C soc2@46.281C/46.343C soc0@46.593C/46.687C gpu@46.718C/46.812C tj@46.718C/46.812C soc1@45.531C/45.656C VDD_IN 4512mW/4642mW/4784mW VDD_CPU_GPU_CV 956mW/1047mW/1156mW VDD_SOC 1315mW/1344mW/1355mW
09-18-2026 21:02:36 RAM 3172/7486MB (lfb 52x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.343C/46.812C soc2@46.187C/46.343C soc0@46.5C/46.687C gpu@46.593C/46.812C tj@46.593C/46.812C soc1@45.656C/45.656C VDD_IN 4472mW/4621mW/4784mW VDD_CPU_GPU_CV 917mW/1031mW/1156mW VDD_SOC 1315mW/1340mW/1355mW
09-18-2026 21:02:36 RAM 3172/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.812C soc2@46.218C/46.343C soc0@46.656C/46.687C gpu@46.562C/46.812C tj@46.718C/46.812C soc1@45.375C/45.656C VDD_IN 4432mW/4600mW/4784mW VDD_CPU_GPU_CV 917mW/1018mW/1156mW VDD_SOC 1317mW/1337mW/1355mW
09-18-2026 21:02:36 RAM 3172/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.812C soc2@46.187C/46.343C soc0@46.718C/46.718C gpu@46.687C/46.812C tj@46.718C/46.812C soc1@45.468C/45.656C VDD_IN 4392mW/4579mW/4784mW VDD_CPU_GPU_CV 877mW/1004mW/1156mW VDD_SOC 1317mW/1335mW/1355mW
09-18-2026 21:02:36 RAM 3172/7486MB (lfb 52x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/46.812C soc2@46.156C/46.343C soc0@46.593C/46.718C gpu@46.562C/46.812C tj@46.593C/46.812C soc1@45.531C/45.656C VDD_IN 4392mW/4562mW/4784mW VDD_CPU_GPU_CV 877mW/993mW/1156mW VDD_SOC 1317mW/1334mW/1355mW
