report,t_s,F0.Va.rms,F0.Va.ang_rad,F0.Va.freq_hz,F0.Va.event,F0.Vb.rms,F0.Vb.ang_rad,F0.Vb.freq_hz,F0.Vb.event,F0.Vc.rms,F0.Vc.ang_rad,F0.Vc.freq_hz,F0.Vc.event,F0.Ia.rms,F0.Ia.ang_rad,F0.Ia.freq_hz,F0.Ia.event,F0.Ib.rms,F0.Ib.ang_rad,F0.Ib.freq_hz,F0.Ib.event,F0.Ic.rms,F0.Ic.ang_rad,F0.Ic.freq_hz,F0.Ic.event,F0.mode
0,0.008350,24.3266,-0.403842,60.00000,0,21.29,1.419310,60.00000,0,24.9674,3.536768,60.00000,0,82.7597,2.636473,60.00000,0,53.631,4.635706,60.00000,0,111.182,0.223671,60.00000,0,PMU
1,0.016650,23.8404,-0.408419,63.04202,0,21.2944,1.413939,59.30866,0,25.0704,3.536890,56.76125,0,99.4094,2.708945,62.12111,0,58.8755,4.676658,60.67642,0,97.6923,0.315139,59.53111,0,PMU
2,0.025000,24.3034,-0.409152,59.98604,0,21.2492,1.411681,59.95696,0,24.9296,3.537378,60.00930,0,84.4301,2.592225,57.77526,0,60.2702,4.622955,58.97640,0,117.853,0.279497,59.32065,0,PMU
3,0.033350,23.9839,-0.414704,59.89418,0,21.3438,1.414977,60.06282,0,25.0941,3.535913,59.97208,0,98.8186,2.676370,61.60384,0,58.2933,4.527763,58.18560,0,97.7964,0.278643,59.98372,0,PMU
4,0.041650,23.9513,-0.412445,60.04330,0,21.4099,1.405150,59.81157,0,24.7436,3.543298,60.14161,0,89.9159,2.606322,58.65681,0,55.654,4.588534,61.16530,0,104.054,0.363210,61.62160,0,PMU
5,0.050000,24.0192,-0.404330,60.15469,0,21.1695,1.402831,59.95579,0,25.1182,3.539697,59.93136,0,85.9882,2.637005,60.58483,0,58.8052,4.658777,61.33885,0,110.221,0.253270,57.90449,0,PMU
6,0.058350,24.233,-0.411225,59.86858,0,21.1924,1.424681,60.41648,0,24.8601,3.537378,59.95579,0,91.5148,2.667949,60.58982,0,60.1774,4.594943,58.78329,0,97.5118,0.312454,61.12807,0,PMU
7,0.066650,24.0092,-0.409030,60.04209,0,21.3309,1.400758,59.54126,0,25.2126,3.536035,59.97426,0,83.2022,2.581788,58.34784,0,59.5936,4.572927,59.57784,0,102.475,0.307144,59.89818,0,PMU
8,0.075000,24.2298,-0.415070,59.88487,0,21.2427,1.417052,60.31057,0,24.9394,3.531458,59.91275,0,87.4826,2.652019,61.33864,0,61.365,4.647363,61.41880,0,102.26,0.330010,60.43583,0,PMU
9,0.083350,23.5438,-0.417939,59.94532,0,21.2645,1.401366,59.70102,0,24.9115,3.536584,60.09772,0,80.2818,2.617796,59.34769,0,63.3075,4.531547,57.79249,0,103.38,0.305191,59.52694,0,PMU
10,0.091650,24.2673,-0.401889,60.30776,0,21.1855,1.412108,60.20598,0,25.2062,3.526148,59.79987,0,93.2224,2.702841,61.63077,0,59.9978,4.520195,59.78232,0,109.726,0.292620,59.75895,0,PMU
11,0.100000,23.6237,-0.422272,59.61148,0,21.2488,1.442913,60.58716,0,23.9274,3.559165,60.62933,0,24.9394,4.620087,96.54360,0,120.928,-1.063418,73.33418,0,199.425,1.935288,91.31003,0,PMU
12,0.108350,22.8566,-0.431061,59.83248,0,20.164,1.421874,59.59897,0,23.1362,3.531824,59.47886,0,241.282,-0.948439,73.62174,0,143.365,-0.588058,69.06059,0,453.179,2.265687,66.29755,0,PMU
13,0.116650,22.5187,-0.431793,59.98596,0,19.4405,1.382875,59.25219,0,23.0624,3.507183,59.52751,0,427.529,3.745762,29.53076,1,362.439,-0.007978,71.12320,0,311.633,1.939316,53.74175,1,PMU
14,0.125000,23.2668,-0.439484,59.85342,0,20.9115,1.372865,59.80921,0,24.6495,3.508953,60.03374,0,236.517,3.054661,46.82730,1,134.909,-0.516839,50.30087,1,136.806,0.588973,34.26182,1,POW
15,0.133350,24.1025,-0.421662,60.33969,0,21.2573,1.393068,60.38506,0,24.8311,3.526270,60.33006,0,52.1353,0.741701,15.91389,1,101.102,3.855831,23.58467,1,87.929,0.608319,60.36874,1,POW
16,0.141650,23.6737,-0.422455,59.98479,0,21.1121,1.395997,60.05618,0,24.7773,3.529321,60.05852,0,168.774,3.114467,-14.98345,1,77.0166,-0.648890,94.10259,1,117.509,0.559072,59.05567,1,POW
17,0.150000,23.7832,-0.419037,60.06515,0,21.0436,1.404784,60.16748,0,24.8292,3.534570,60.10005,0,48.9495,2.472503,47.76386,1,67.8917,4.480601,38.01003,1,109.19,0.491771,58.71720,0,POW
18,0.158350,23.8965,-0.425812,59.87087,0,21.1414,1.411315,60.12448,0,25.1841,3.518963,59.70251,0,126.794,3.004005,70.13068,0,57.1769,-1.265972,70.22809,0,95.2228,0.598126,62.02719,0,POW
19,0.166650,23.6623,-0.422333,60.06671,0,21.2857,1.386720,59.52839,0,24.8213,3.529382,60.19980,0,64.5543,2.637432,52.97085,0,55.6546,4.640039,52.76757,0,106.816,0.522759,58.55481,0,POW
20,0.175000,24.0061,-0.419831,60.04770,0,21.2068,1.420043,60.63515,0,25.0889,3.518169,59.78627,0,86.0619,2.913589,65.26368,0,54.3043,-1.295571,66.62494,0,100.981,0.540945,60.34664,0,POW
21,0.183350,23.7945,-0.426117,59.88017,0,21.4621,1.383485,59.30320,0,24.6561,3.532251,60.26840,0,86.1204,2.793334,57.70788,0,57.8022,-1.538239,55.37464,0,98.5353,0.534172,59.87091,0,POW
22,0.191650,24.1129,-0.415558,60.20247,0,21.1689,1.394593,60.21300,0,25.0988,3.528528,59.92861,0,80.8399,2.811766,60.35344,0,57.17,-1.426634,62.14005,0,109.378,0.479137,58.94468,0,POW
23,0.200000,23.628,-0.423126,59.85574,0,21.1929,1.405700,60.21169,0,24.8886,3.532129,60.06864,0,87.7004,2.845069,60.63476,0,59.586,-1.428221,59.96975,0,102.203,0.513177,60.64881,0,POW
24,0.208350,24.0682,-0.416107,60.13379,0,21.2426,1.400819,59.90697,0,24.8141,3.526331,59.88948,0,88.896,2.845557,60.00931,0,56.2107,-1.561292,57.46360,0,114.241,0.475047,59.27324,0,POW
25,0.216650,23.6649,-0.421662,59.89350,0,21.276,1.393312,59.85604,0,25.0269,3.528467,60.04096,0,89.4454,2.780824,58.75872,0,58.3927,-1.441815,62.29102,0,108.735,0.439545,59.31922,0,POW
26,0.225000,23.9988,-0.417939,60.07096,0,21.1733,1.390443,59.94532,0,24.7706,3.527002,59.97208,0,79.0394,2.817808,60.70495,0,57.9327,-1.566969,57.61450,0,105.613,0.515374,61.44534,0,POW
27,0.233350,20.9634,-0.281023,62.60967,0,10.6793,0.379079,40.72293,0,27.51,3.074126,51.36796,0,89.8216,2.914321,61.83958,0,20.0506,3.818006,42.87969,0,115.266,-0.036158,49.48753,0,POW
