tp,fp,fn,precision,recall,f1,n_event_windows,n_caught,event_recall,false_alarm_runs,latency_reports,latency_ms,duty_cycle,bandwidth_reduction,n_reports,has_events,rid,ch,method
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Va,GridStream
0,0,3,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,19,True,7,Vb,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Vc,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Ia,GridStream
0,0,9,0.0,0.0,0.0,2,0,0.0,0,,,0.0,inf,19,True,7,Ib,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Ic,GridStream
0,0,5,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,234,True,45,Va,GridStream
0,0,3,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,234,True,45,Vb,GridStream
0,0,5,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,234,True,45,Vc,GridStream
0,0,5,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,234,True,45,Ia,GridStream
0,0,5,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,234,True,45,Ib,GridStream
0,0,6,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,234,True,45,Ic,GridStream
1,0,155,1.0,0.00641025641025641,0.012738853503184714,2,1,0.5,0,9.0,75.0,0.004273504273504274,233.99999999999997,234,True,55,Va,GridStream
2,0,70,1.0,0.027777777777777776,0.05405405405405406,2,1,0.5,0,4.0,33.333333333333336,0.008547008547008548,116.99999999999999,234,True,55,Vb,GridStream
1,0,45,1.0,0.021739130434782608,0.042553191489361694,3,1,0.3333333333333333,0,0.0,0.0,0.004273504273504274,233.99999999999997,234,True,55,Vc,GridStream
0,0,147,0.0,0.0,0.0,2,0,0.0,0,,,0.0,inf,232,True,55,Ia,GridStream
0,0,176,0.0,0.0,0.0,2,0,0.0,0,,,0.0,inf,233,True,55,Ib,GridStream
0,0,70,0.0,0.0,0.0,2,0,0.0,0,,,0.0,inf,212,True,55,Ic,GridStream
2,3,1,0.4,0.6666666666666666,0.5,1,1,1.0,2,0.0,0.0,0.002612330198537095,382.8,1914,True,677,Va,GridStream
0,22,0,0.0,0.0,0.0,0,0,,7,,,0.011494252873563218,87.0,1914,False,677,Vb,GridStream
0,18,0,0.0,0.0,0.0,0,0,,1,,,0.009404388714733543,106.33333333333333,1914,False,677,Vc,GridStream
0,0,55,0.0,0.0,0.0,5,0,0.0,0,,,0.0,inf,1686,True,677,Ia,GridStream
0,0,56,0.0,0.0,0.0,4,0,0.0,0,,,0.0,inf,1659,True,677,Ib,GridStream
0,0,36,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,1649,True,677,Ic,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Va,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Vb,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Vc,GridStream
0,0,26,0.0,0.0,0.0,3,0,0.0,0,,,0.0,inf,1434,True,901,Ia,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Ib,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Ic,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Va,GridStream
3,0,2,1.0,0.6,0.7499999999999999,1,1,1.0,0,0.0,0.0,0.002512562814070352,398.0,1194,True,907,Vb,GridStream
4,0,1,1.0,0.8,0.888888888888889,1,1,1.0,0,0.0,0.0,0.0033500837520938024,298.5,1194,True,907,Vc,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Ia,GridStream
0,0,6,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,1194,True,907,Ib,GridStream
0,0,6,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,1194,True,907,Ic,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Va,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Vb,GridStream
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Vc,GridStream
0,0,4,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,23,True,971,Ia,GridStream
0,0,3,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,22,True,971,Ib,GridStream
0,0,4,0.0,0.0,0.0,1,0,0.0,0,,,0.0,inf,23,True,971,Ic,GridStream
