09-18-2026 21:12:07 RAM 3350/7486MB (lfb 59x4MB) CPU [33%@1497,30%@1497,30%@1497,20%@1497,36%@1497,18%@1497] GR3D_FREQ 0% cpu@48.687C/48.687C soc2@48.312C/48.312C soc0@48.312C/48.312C gpu@48.5C/48.5C tj@48.687C/48.687C soc1@47.343C/47.343C VDD_IN 5692mW/5692mW/5692mW VDD_CPU_GPU_CV 1867mW/1867mW/1867mW VDD_SOC 1393mW/1393mW/1393mW
09-18-2026 21:12:07 RAM 3350/7486MB (lfb 59x4MB) CPU [9%@1497,10%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.25C/48.687C soc2@48.218C/48.312C soc0@48.343C/48.343C gpu@48.562C/48.562C tj@48.562C/48.687C soc1@47.25C/47.343C VDD_IN 5413mW/5553mW/5692mW VDD_CPU_GPU_CV 1671mW/1769mW/1867mW VDD_SOC 1393mW/1393mW/1393mW
09-18-2026 21:12:07 RAM 3358/7486MB (lfb 59x4MB) CPU [0%@1497,0%@1497,9%@1497,20%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.531C/48.687C soc2@48.125C/48.312C soc0@48.25C/48.343C gpu@48.625C/48.625C tj@48.625C/48.687C soc1@47.281C/47.343C VDD_IN 5183mW/5429mW/5692mW VDD_CPU_GPU_CV 1512mW/1683mW/1867mW VDD_SOC 1393mW/1393mW/1393mW
09-18-2026 21:12:07 RAM 3538/7486MB (lfb 59x4MB) CPU [72%@1497,81%@1497,63%@1497,100%@1497,63%@1497,66%@1497] GR3D_FREQ 0% cpu@49.187C/49.187C soc2@48.312C/48.312C soc0@48.281C/48.343C gpu@48.343C/48.625C tj@49.187C/49.187C soc1@47.375C/47.375C VDD_IN 5573mW/5465mW/5692mW VDD_CPU_GPU_CV 1791mW/1710mW/1867mW VDD_SOC 1433mW/1403mW/1433mW
09-18-2026 21:12:07 RAM 3542/7486MB (lfb 59x4MB) CPU [100%@1497,100%@1497,100%@1497,100%@1497,100%@1497,100%@1497] GR3D_FREQ 0% cpu@49.343C/49.343C soc2@48.375C/48.375C soc0@48.406C/48.406C gpu@48.75C/48.75C tj@49.343C/49.343C soc1@47.218C/47.375C VDD_IN 6130mW/5598mW/6130mW VDD_CPU_GPU_CV 2185mW/1805mW/2185mW VDD_SOC 1470mW/1416mW/1470mW
09-18-2026 21:12:08 RAM 3626/7486MB (lfb 59x4MB) CPU [100%@1497,100%@1497,100%@1497,100%@1497,100%@1497,100%@1497] GR3D_FREQ 0% cpu@49.5C/49.5C soc2@48.406C/48.406C soc0@48.406C/48.406C gpu@48.687C/48.75C tj@49.5C/49.5C soc1@47.343C/47.375C VDD_IN 6597mW/5765mW/6597mW VDD_CPU_GPU_CV 2420mW/1908mW/2420mW VDD_SOC 1550mW/1439mW/1550mW
09-18-2026 21:12:08 RAM 3670/7486MB (lfb 49x4MB) CPU [30%@1497,27%@1497,11%@1497,36%@1497,60%@1497,0%@1497] GR3D_FREQ 0% cpu@48.656C/49.5C soc2@48.281C/48.406C soc0@48.281C/48.406C gpu@48.531C/48.75C tj@48.531C/49.5C soc1@47.406C/47.406C VDD_IN 6369mW/5851mW/6597mW VDD_CPU_GPU_CV 2225mW/1953mW/2420mW VDD_SOC 1550mW/1455mW/1550mW
09-18-2026 21:12:08 RAM 3670/7486MB (lfb 49x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,18%@1497,0%@1497] GR3D_FREQ 0% cpu@48.343C/49.5C soc2@48.25C/48.406C soc0@48.312C/48.406C gpu@48.5C/48.75C tj@48.5C/49.5C soc1@47.187C/47.406C VDD_IN 5971mW/5866mW/6597mW VDD_CPU_GPU_CV 1947mW/1952mW/2420mW VDD_SOC 1512mW/1462mW/1550mW
09-18-2026 21:12:08 RAM 3670/7486MB (lfb 49x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.218C/49.5C soc2@48.218C/48.406C soc0@48.375C/48.406C gpu@48.593C/48.75C tj@48.593C/49.5C soc1@47.281C/47.406C VDD_IN 5582mW/5834mW/6597mW VDD_CPU_GPU_CV 1671mW/1921mW/2420mW VDD_SOC 1472mW/1463mW/1550mW
09-18-2026 21:12:08 RAM 3670/7486MB (lfb 49x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@48.406C/49.5C soc2@48.187C/48.406C soc0@48.218C/48.406C gpu@48.468C/48.75C tj@48.468C/49.5C soc1@47.25C/47.406C VDD_IN 5302mW/5781mW/6597mW VDD_CPU_GPU_CV 1512mW/1880mW/2420mW VDD_SOC 1435mW/1460mW/1550mW
09-18-2026 21:12:08 RAM 3670/7486MB (lfb 49x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.187C/49.5C soc2@48.156C/48.406C soc0@48.343C/48.406C gpu@48.406C/48.75C tj@48.406C/49.5C soc1@47.343C/47.406C VDD_IN 5071mW/5717mW/6597mW VDD_CPU_GPU_CV 1355mW/1832mW/2420mW VDD_SOC 1395mW/1454mW/1550mW
