09-18-2026 21:04:02 RAM 3370/7486MB (lfb 44x4MB) CPU [18%@1497,9%@1497,50%@1497,10%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.25C/47.25C soc2@47C/47C soc0@47.218C/47.218C gpu@47.218C/47.218C tj@47.25C/47.25C soc1@46.093C/46.093C VDD_IN 5772mW/5772mW/5772mW VDD_CPU_GPU_CV 1987mW/1987mW/1987mW VDD_SOC 1393mW/1393mW/1393mW
09-18-2026 21:04:02 RAM 3370/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.156C/47.25C soc2@47.062C/47.062C soc0@47.281C/47.281C gpu@47.093C/47.218C tj@47.281C/47.281C soc1@46.156C/46.156C VDD_IN 5462mW/5617mW/5772mW VDD_CPU_GPU_CV 1751mW/1869mW/1987mW VDD_SOC 1353mW/1373mW/1393mW
09-18-2026 21:04:02 RAM 3373/7486MB (lfb 45x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,27%@1497,0%@1497] GR3D_FREQ 0% cpu@47.25C/47.25C soc2@47C/47.062C soc0@47.062C/47.281C gpu@47.406C/47.406C tj@47.406C/47.406C soc1@46.187C/46.187C VDD_IN 5223mW/5486mW/5772mW VDD_CPU_GPU_CV 1552mW/1763mW/1987mW VDD_SOC 1355mW/1367mW/1393mW
09-18-2026 21:04:02 RAM 3437/7486MB (lfb 44x4MB) CPU [90%@1497,100%@1497,100%@1497,100%@1497,100%@1497,91%@1497] GR3D_FREQ 0% cpu@47.843C/47.843C soc2@47C/47.062C soc0@47.187C/47.281C gpu@47.156C/47.406C tj@47.843C/47.843C soc1@46.093C/46.187C VDD_IN 5772mW/5557mW/5772mW VDD_CPU_GPU_CV 1910mW/1800mW/1987mW VDD_SOC 1433mW/1384mW/1433mW
09-18-2026 21:04:02 RAM 3437/7486MB (lfb 44x4MB) CPU [16%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.25C/47.843C soc2@46.937C/47.062C soc0@47.125C/47.281C gpu@47.218C/47.406C tj@47.25C/47.843C soc1@46.156C/46.187C VDD_IN 5502mW/5546mW/5772mW VDD_CPU_GPU_CV 1711mW/1782mW/1987mW VDD_SOC 1393mW/1385mW/1433mW
09-18-2026 21:04:02 RAM 3437/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.218C/47.843C soc2@46.843C/47.062C soc0@47.187C/47.281C gpu@47.093C/47.406C tj@47.218C/47.843C soc1@46.125C/46.187C VDD_IN 5263mW/5499mW/5772mW VDD_CPU_GPU_CV 1512mW/1737mW/1987mW VDD_SOC 1395mW/1387mW/1433mW
09-18-2026 21:04:02 RAM 3437/7486MB (lfb 44x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.843C soc2@46.937C/47.062C soc0@47.187C/47.281C gpu@47.187C/47.406C tj@47.187C/47.843C soc1@46.281C/46.281C VDD_IN 5023mW/5431mW/5772mW VDD_CPU_GPU_CV 1355mW/1683mW/1987mW VDD_SOC 1395mW/1388mW/1433mW
09-18-2026 21:04:03 RAM 3437/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.843C soc2@46.843C/47.062C soc0@47.218C/47.281C gpu@47.25C/47.406C tj@47.25C/47.843C soc1@46.156C/46.281C VDD_IN 4872mW/5361mW/5772mW VDD_CPU_GPU_CV 1236mW/1627mW/1987mW VDD_SOC 1355mW/1384mW/1433mW
09-18-2026 21:04:03 RAM 3437/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.843C soc2@46.906C/47.062C soc0@47.187C/47.281C gpu@47.125C/47.406C tj@47.187C/47.843C soc1@46.031C/46.281C VDD_IN 4792mW/5298mW/5772mW VDD_CPU_GPU_CV 1156mW/1574mW/1987mW VDD_SOC 1355mW/1381mW/1433mW
09-18-2026 21:04:03 RAM 3437/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.843C soc2@46.968C/47.062C soc0@47.093C/47.281C gpu@47.125C/47.406C tj@47.125C/47.843C soc1@46.187C/46.281C VDD_IN 4752mW/5243mW/5772mW VDD_CPU_GPU_CV 1076mW/1525mW/1987mW VDD_SOC 1355mW/1378mW/1433mW
09-18-2026 21:04:03 RAM 3437/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.843C soc2@46.906C/47.062C soc0@47.187C/47.281C gpu@47.125C/47.406C tj@47.187C/47.843C soc1@46.125C/46.281C VDD_IN 4632mW/5188mW/5772mW VDD_CPU_GPU_CV 1036mW/1480mW/1987mW VDD_SOC 1355mW/1376mW/1433mW
09-18-2026 21:04:03 RAM 3437/7486MB (lfb 44x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/47.843C soc2@46.843C/47.062C soc0@47.125C/47.281C gpu@47.062C/47.406C tj@47.125C/47.843C soc1@46.062C/46.281C VDD_IN 4552mW/5135mW/5772mW VDD_CPU_GPU_CV 996mW/1440mW/1987mW VDD_SOC 1357mW/1375mW/1433mW
09-18-2026 21:04:03 RAM 3437/7486MB (lfb 44x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/47.843C soc2@46.843C/47.062C soc0@47.187C/47.281C gpu@46.968C/47.406C tj@47.187C/47.843C soc1@46.093C/46.281C VDD_IN 4512mW/5087mW/5772mW VDD_CPU_GPU_CV 958mW/1403mW/1987mW VDD_SOC 1317mW/1370mW/1433mW
09-18-2026 21:04:03 RAM 3437/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.843C soc2@46.843C/47.062C soc0@47.218C/47.281C gpu@47.093C/47.406C tj@47.125C/47.843C soc1@46.093C/46.281C VDD_IN 4432mW/5040mW/5772mW VDD_CPU_GPU_CV 918mW/1368mW/1987mW VDD_SOC 1317mW/1366mW/1433mW
09-18-2026 21:04:03 RAM 3438/7486MB (lfb 44x4MB) CPU [69%@1497,66%@1497,69%@1497,69%@1497,61%@1497,66%@1497] GR3D_FREQ 0% cpu@47.656C/47.843C soc2@47.062C/47.062C soc0@47.281C/47.281C gpu@47.093C/47.406C tj@47.656C/47.843C soc1@46.062C/46.281C VDD_IN 4872mW/5029mW/5772mW VDD_CPU_GPU_CV 1355mW/1367mW/1987mW VDD_SOC 1355mW/1366mW/1433mW
09-18-2026 21:04:03 RAM 3438/7486MB (lfb 44x4MB) CPU [81%@1497,75%@1497,75%@1497,83%@1497,72%@1497,75%@1497] GR3D_FREQ 0% cpu@47.875C/47.875C soc2@47.062C/47.062C soc0@47.218C/47.281C gpu@47.187C/47.406C tj@47.875C/47.875C soc1@46.062C/46.281C VDD_IN 5342mW/5048mW/5772mW VDD_CPU_GPU_CV 1711mW/1389mW/1987mW VDD_SOC 1355mW/1365mW/1433mW
09-18-2026 21:04:04 RAM 3438/7486MB (lfb 44x4MB) CPU [75%@1497,72%@1497,80%@1497,66%@1497,75%@1497,81%@1497] GR3D_FREQ 0% cpu@47.812C/47.875C soc2@47.125C/47.125C soc0@47.125C/47.281C gpu@47.343C/47.406C tj@47.812C/47.875C soc1@46.25C/46.281C VDD_IN 5661mW/5084mW/5772mW VDD_CPU_GPU_CV 1990mW/1424mW/1990mW VDD_SOC 1353mW/1364mW/1433mW
09-18-2026 21:04:04 RAM 3438/7486MB (lfb 44x4MB) CPU [70%@1497,81%@1497,75%@1497,72%@1497,80%@1497,72%@1497] GR3D_FREQ 0% cpu@48C/48C soc2@47.156C/47.156C soc0@47.125C/47.281C gpu@47.593C/47.593C tj@48C/48C soc1@46.093C/46.281C VDD_IN 5891mW/5129mW/5891mW VDD_CPU_GPU_CV 2185mW/1466mW/2185mW VDD_SOC 1393mW/1366mW/1433mW
09-18-2026 21:04:04 RAM 3438/7486MB (lfb 44x4MB) CPU [72%@1497,72%@1497,80%@1497,70%@1497,81%@1497,80%@1497] GR3D_FREQ 0% cpu@47.812C/48C soc2@47.187C/47.187C soc0@47.187C/47.281C gpu@47.25C/47.593C tj@47.812C/48C soc1@46.093C/46.281C VDD_IN 6090mW/5180mW/6090mW VDD_CPU_GPU_CV 2344mW/1513mW/2344mW VDD_SOC 1393mW/1367mW/1433mW
09-18-2026 21:04:04 RAM 3438/7486MB (lfb 44x4MB) CPU [70%@1497,80%@1497,72%@1497,70%@1497,72%@1497,72%@1497] GR3D_FREQ 0% cpu@48C/48C soc2@47.156C/47.187C soc0@47.062C/47.281C gpu@47.218C/47.593C tj@48C/48C soc1@46.093C/46.281C VDD_IN 6210mW/5231mW/6210mW VDD_CPU_GPU_CV 2464mW/1560mW/2464mW VDD_SOC 1393mW/1369mW/1433mW
09-18-2026 21:04:04 RAM 3438/7486MB (lfb 44x4MB) CPU [72%@1497,72%@1497,81%@1497,63%@1497,80%@1497,80%@1497] GR3D_FREQ 0% cpu@47.937C/48C soc2@47.218C/47.218C soc0@47.25C/47.281C gpu@47.281C/47.593C tj@47.937C/48C soc1@46.062C/46.281C VDD_IN 6329mW/5284mW/6329mW VDD_CPU_GPU_CV 2583mW/1609mW/2583mW VDD_SOC 1391mW/1370mW/1433mW
09-18-2026 21:04:04 RAM 3438/7486MB (lfb 44x4MB) CPU [77%@1497,77%@1497,80%@1497,70%@1497,72%@1497,72%@1497] GR3D_FREQ 0% cpu@48.031C/48.031C soc2@47.187C/47.218C soc0@47.156C/47.281C gpu@47.187C/47.593C tj@48.031C/48.031C soc1@46.187C/46.281C VDD_IN 6409mW/5335mW/6409mW VDD_CPU_GPU_CV 2662mW/1657mW/2662mW VDD_SOC 1391mW/1371mW/1433mW
09-18-2026 21:04:04 RAM 3438/7486MB (lfb 44x4MB) CPU [72%@1497,66%@1497,70%@1497,70%@1497,80%@1497,80%@1497] GR3D_FREQ 0% cpu@48.062C/48.062C soc2@47.218C/47.218C soc0@47.156C/47.281C gpu@47.343C/47.593C tj@47.875C/48.031C soc1@46.312C/46.312C VDD_IN 6488mW/5385mW/6488mW VDD_CPU_GPU_CV 2702mW/1702mW/2702mW VDD_SOC 1391mW/1371mW/1433mW
09-18-2026 21:04:04 RAM 3438/7486MB (lfb 44x4MB) CPU [83%@1497,70%@1497,81%@1497,63%@1497,72%@1497,75%@1497] GR3D_FREQ 0% cpu@48.25C/48.25C soc2@47.312C/47.312C soc0@47.125C/47.281C gpu@47.468C/47.593C tj@48.25C/48.25C soc1@46.156C/46.312C VDD_IN 6528mW/5433mW/6528mW VDD_CPU_GPU_CV 2777mW/1747mW/2777mW VDD_SOC 1391mW/1372mW/1433mW
09-18-2026 21:04:04 RAM 3438/7486MB (lfb 44x4MB) CPU [75%@1497,72%@1497,76%@1497,72%@1497,76%@1497,83%@1497] GR3D_FREQ 0% cpu@48.031C/48.25C soc2@47.25C/47.312C soc0@47.187C/47.281C gpu@47.687C/47.687C tj@48.031C/48.25C soc1@46.156C/46.312C VDD_IN 6557mW/5478mW/6557mW VDD_CPU_GPU_CV 2777mW/1788mW/2777mW VDD_SOC 1391mW/1373mW/1433mW
