09-18-2026 21:04:24 RAM 3350/7486MB (lfb 44x4MB) CPU [0%@1497,10%@1497,60%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@47.625C/47.625C soc2@47.281C/47.281C soc0@47.406C/47.406C gpu@47.468C/47.468C tj@47.625C/47.625C soc1@46.375C/46.375C VDD_IN 5732mW/5732mW/5732mW VDD_CPU_GPU_CV 1987mW/1987mW/1987mW VDD_SOC 1393mW/1393mW/1393mW
09-18-2026 21:04:24 RAM 3350/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.468C/47.625C soc2@47.312C/47.312C soc0@47.375C/47.406C gpu@47.437C/47.468C tj@47.468C/47.625C soc1@46.5C/46.5C VDD_IN 5422mW/5577mW/5732mW VDD_CPU_GPU_CV 1711mW/1849mW/1987mW VDD_SOC 1353mW/1373mW/1393mW
09-18-2026 21:04:24 RAM 3351/7486MB (lfb 44x4MB) CPU [27%@1497,9%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.375C/47.625C soc2@47.187C/47.312C soc0@47.375C/47.406C gpu@47.406C/47.468C tj@47.406C/47.625C soc1@46.312C/46.5C VDD_IN 5223mW/5459mW/5732mW VDD_CPU_GPU_CV 1552mW/1750mW/1987mW VDD_SOC 1355mW/1367mW/1393mW
09-18-2026 21:04:24 RAM 3428/7486MB (lfb 45x4MB) CPU [100%@1497,90%@1497,81%@1497,81%@1497,72%@1497,72%@1497] GR3D_FREQ 0% cpu@48.031C/48.031C soc2@47.281C/47.312C soc0@47.531C/47.531C gpu@47.343C/47.468C tj@48.031C/48.031C soc1@46.281C/46.5C VDD_IN 5772mW/5537mW/5772mW VDD_CPU_GPU_CV 1870mW/1780mW/1987mW VDD_SOC 1433mW/1384mW/1433mW
09-18-2026 21:04:24 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.406C/48.031C soc2@47.25C/47.312C soc0@47.375C/47.531C gpu@47.812C/47.812C tj@47.812C/48.031C soc1@46.312C/46.5C VDD_IN 5462mW/5522mW/5772mW VDD_CPU_GPU_CV 1632mW/1750mW/1987mW VDD_SOC 1393mW/1385mW/1433mW
09-18-2026 21:04:24 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,8%@1497] GR3D_FREQ 0% cpu@47.406C/48.031C soc2@47.25C/47.312C soc0@47.406C/47.531C gpu@47.656C/47.812C tj@47.656C/48.031C soc1@46.437C/46.5C VDD_IN 5223mW/5472mW/5772mW VDD_CPU_GPU_CV 1472mW/1704mW/1987mW VDD_SOC 1395mW/1387mW/1433mW
09-18-2026 21:04:24 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.125C/48.031C soc2@47.062C/47.312C soc0@47.375C/47.531C gpu@47.343C/47.812C tj@47.375C/48.031C soc1@46.281C/46.5C VDD_IN 4992mW/5404mW/5772mW VDD_CPU_GPU_CV 1315mW/1648mW/1987mW VDD_SOC 1355mW/1382mW/1433mW
09-18-2026 21:04:24 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.125C/48.031C soc2@47.125C/47.312C soc0@47.468C/47.531C gpu@47.75C/47.812C tj@47.75C/48.031C soc1@46.312C/46.5C VDD_IN 4872mW/5337mW/5772mW VDD_CPU_GPU_CV 1196mW/1592mW/1987mW VDD_SOC 1355mW/1379mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/48.031C soc2@47.093C/47.312C soc0@47.375C/47.531C gpu@47.375C/47.812C tj@47.375C/48.031C soc1@46.375C/46.5C VDD_IN 4752mW/5272mW/5772mW VDD_CPU_GPU_CV 1116mW/1539mW/1987mW VDD_SOC 1355mW/1376mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/48.031C soc2@47.187C/47.312C soc0@47.343C/47.531C gpu@47.343C/47.812C tj@47.343C/48.031C soc1@46.375C/46.5C VDD_IN 4632mW/5208mW/5772mW VDD_CPU_GPU_CV 1076mW/1493mW/1987mW VDD_SOC 1357mW/1374mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [8%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.125C/48.031C soc2@47.25C/47.312C soc0@47.375C/47.531C gpu@47.75C/47.812C tj@47.75C/48.031C soc1@46.437C/46.5C VDD_IN 4552mW/5149mW/5772mW VDD_CPU_GPU_CV 998mW/1448mW/1987mW VDD_SOC 1357mW/1373mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/48.031C soc2@47.062C/47.312C soc0@47.375C/47.531C gpu@47.343C/47.812C tj@47.375C/48.031C soc1@46.218C/46.5C VDD_IN 4512mW/5096mW/5772mW VDD_CPU_GPU_CV 958mW/1407mW/1987mW VDD_SOC 1357mW/1372mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.125C/48.031C soc2@47.062C/47.312C soc0@47.468C/47.531C gpu@47.343C/47.812C tj@47.468C/48.031C soc1@46.312C/46.5C VDD_IN 4472mW/5048mW/5772mW VDD_CPU_GPU_CV 958mW/1372mW/1987mW VDD_SOC 1317mW/1367mW/1433mW
09-18-2026 21:04:25 RAM 3428/7486MB (lfb 45x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.218C/48.031C soc2@47.156C/47.312C soc0@47.281C/47.531C gpu@47.687C/47.812C tj@47.687C/48.031C soc1@46.312C/46.5C VDD_IN 4432mW/5004mW/5772mW VDD_CPU_GPU_CV 918mW/1340mW/1987mW VDD_SOC 1317mW/1364mW/1433mW
