09-18-2026 21:03:38 RAM 3358/7486MB (lfb 44x4MB) CPU [10%@1497,9%@1497,54%@1497,11%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/46.75C soc2@46.562C/46.562C soc0@46.875C/46.875C gpu@46.812C/46.812C tj@46.875C/46.875C soc1@45.687C/45.687C VDD_IN 5223mW/5223mW/5223mW VDD_CPU_GPU_CV 1433mW/1433mW/1433mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:03:38 RAM 3358/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/46.75C soc2@46.593C/46.593C soc0@46.968C/46.968C gpu@46.843C/46.843C tj@46.968C/46.968C soc1@45.781C/45.781C VDD_IN 5023mW/5123mW/5223mW VDD_CPU_GPU_CV 1275mW/1354mW/1433mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:03:38 RAM 3362/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,30%@1497] GR3D_FREQ 0% cpu@46.75C/46.75C soc2@46.593C/46.593C soc0@46.781C/46.968C gpu@46.906C/46.906C tj@46.906C/46.968C soc1@45.843C/45.843C VDD_IN 4912mW/5053mW/5223mW VDD_CPU_GPU_CV 1236mW/1315mW/1433mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:03:39 RAM 3387/7486MB (lfb 44x4MB) CPU [40%@1497,36%@1497,33%@1497,36%@1497,20%@1497,20%@1497] GR3D_FREQ 0% cpu@47C/47C soc2@46.593C/46.593C soc0@46.843C/46.968C gpu@46.843C/46.906C tj@46.843C/46.968C soc1@45.937C/45.937C VDD_IN 5023mW/5045mW/5223mW VDD_CPU_GPU_CV 1315mW/1315mW/1433mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:03:39 RAM 3387/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.562C/47C soc2@46.468C/46.593C soc0@46.843C/46.968C gpu@46.781C/46.906C tj@46.843C/46.968C soc1@45.812C/45.937C VDD_IN 4872mW/5011mW/5223mW VDD_CPU_GPU_CV 1196mW/1291mW/1433mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:03:39 RAM 3387/7486MB (lfb 44x4MB) CPU [9%@1497,0%@1497,8%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47C soc2@46.468C/46.593C soc0@46.968C/46.968C gpu@46.906C/46.906C tj@46.968C/46.968C soc1@45.781C/45.937C VDD_IN 4752mW/4968mW/5223mW VDD_CPU_GPU_CV 1116mW/1262mW/1433mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:03:39 RAM 3387/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/47C soc2@46.5C/46.593C soc0@46.812C/46.968C gpu@46.843C/46.906C tj@46.843C/46.968C soc1@45.75C/45.937C VDD_IN 4632mW/4920mW/5223mW VDD_CPU_GPU_CV 1076mW/1235mW/1433mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 21:03:39 RAM 3387/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/47C soc2@46.593C/46.593C soc0@46.875C/46.968C gpu@46.75C/46.906C tj@46.875C/46.968C soc1@45.906C/45.937C VDD_IN 4552mW/4874mW/5223mW VDD_CPU_GPU_CV 998mW/1206mW/1433mW VDD_SOC 1317mW/1351mW/1357mW
09-18-2026 21:03:39 RAM 3387/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.562C/47C soc2@46.5C/46.593C soc0@46.875C/46.968C gpu@46.937C/46.937C tj@46.937C/46.968C soc1@45.687C/45.937C VDD_IN 4512mW/4833mW/5223mW VDD_CPU_GPU_CV 958mW/1178mW/1433mW VDD_SOC 1317mW/1347mW/1357mW
09-18-2026 21:03:39 RAM 3387/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/47C soc2@46.531C/46.593C soc0@46.843C/46.968C gpu@46.75C/46.937C tj@46.843C/46.968C soc1@45.718C/45.937C VDD_IN 4472mW/4797mW/5223mW VDD_CPU_GPU_CV 918mW/1152mW/1433mW VDD_SOC 1317mW/1344mW/1357mW
09-18-2026 21:03:39 RAM 3387/7486MB (lfb 44x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47C soc2@46.5C/46.593C soc0@46.75C/46.968C gpu@46.718C/46.937C tj@46.75C/46.968C soc1@45.781C/45.937C VDD_IN 4432mW/4764mW/5223mW VDD_CPU_GPU_CV 918mW/1131mW/1433mW VDD_SOC 1317mW/1341mW/1357mW
