09-18-2026 21:09:48 RAM 3360/7486MB (lfb 55x4MB) CPU [20%@1497,50%@1497,8%@1497,30%@1497,16%@1497,0%@1497] GR3D_FREQ 0% cpu@48.625C/48.625C soc2@48.531C/48.531C soc0@48.625C/48.625C gpu@49C/49C tj@49C/49C soc1@47.625C/47.625C VDD_IN 5223mW/5223mW/5223mW VDD_CPU_GPU_CV 1592mW/1592mW/1592mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:09:48 RAM 3360/7486MB (lfb 55x4MB) CPU [40%@1497,30%@1497,27%@1497,81%@1497,0%@1497,18%@1497] GR3D_FREQ 0% cpu@48.625C/48.625C soc2@48.5C/48.531C soc0@48.593C/48.625C gpu@48.968C/49C tj@48.968C/49C soc1@47.437C/47.625C VDD_IN 5263mW/5243mW/5263mW VDD_CPU_GPU_CV 1632mW/1612mW/1632mW VDD_SOC 1395mW/1375mW/1395mW
09-18-2026 21:09:48 RAM 3368/7486MB (lfb 55x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,30%@1497,9%@1497] GR3D_FREQ 0% cpu@48.562C/48.625C soc2@48.343C/48.531C soc0@48.687C/48.687C gpu@48.75C/49C tj@48.75C/49C soc1@47.5C/47.625C VDD_IN 5103mW/5196mW/5263mW VDD_CPU_GPU_CV 1515mW/1580mW/1632mW VDD_SOC 1355mW/1368mW/1395mW
09-18-2026 21:09:48 RAM 3414/7486MB (lfb 55x4MB) CPU [30%@1497,45%@1497,36%@1497,36%@1497,36%@1497,30%@1497] GR3D_FREQ 0% cpu@48.875C/48.875C soc2@48.5C/48.531C soc0@48.531C/48.687C gpu@48.718C/49C tj@48.875C/49C soc1@47.531C/47.625C VDD_IN 5183mW/5193mW/5263mW VDD_CPU_GPU_CV 1552mW/1573mW/1632mW VDD_SOC 1395mW/1375mW/1395mW
09-18-2026 21:09:48 RAM 3414/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.718C/48.875C soc2@48.406C/48.531C soc0@48.593C/48.687C gpu@48.843C/49C tj@48.843C/49C soc1@47.593C/47.625C VDD_IN 4992mW/5153mW/5263mW VDD_CPU_GPU_CV 1395mW/1537mW/1632mW VDD_SOC 1355mW/1371mW/1395mW
09-18-2026 21:09:49 RAM 3414/7486MB (lfb 55x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.343C/48.875C soc2@48.468C/48.531C soc0@48.625C/48.687C gpu@48.75C/49C tj@48.75C/49C soc1@47.687C/47.687C VDD_IN 4832mW/5099mW/5263mW VDD_CPU_GPU_CV 1275mW/1494mW/1632mW VDD_SOC 1355mW/1368mW/1395mW
09-18-2026 21:09:49 RAM 3414/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@48.343C/48.875C soc2@48.312C/48.531C soc0@48.625C/48.687C gpu@48.593C/49C tj@48.625C/49C soc1@47.437C/47.687C VDD_IN 4672mW/5038mW/5263mW VDD_CPU_GPU_CV 1196mW/1451mW/1632mW VDD_SOC 1357mW/1367mW/1395mW
09-18-2026 21:09:49 RAM 3414/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.437C/48.875C soc2@48.375C/48.531C soc0@48.75C/48.75C gpu@48.75C/49C tj@48.75C/49C soc1@47.468C/47.687C VDD_IN 4592mW/4983mW/5263mW VDD_CPU_GPU_CV 1118mW/1409mW/1632mW VDD_SOC 1357mW/1365mW/1395mW
09-18-2026 21:09:49 RAM 3414/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.531C/48.875C soc2@48.281C/48.531C soc0@48.531C/48.75C gpu@48.781C/49C tj@48.781C/49C soc1@47.625C/47.687C VDD_IN 4512mW/4930mW/5263mW VDD_CPU_GPU_CV 1038mW/1368mW/1632mW VDD_SOC 1357mW/1365mW/1395mW
09-18-2026 21:09:49 RAM 3414/7486MB (lfb 55x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@48.312C/48.875C soc2@48.343C/48.531C soc0@48.562C/48.75C gpu@48.875C/49C tj@48.625C/49C soc1@47.625C/47.687C VDD_IN 4472mW/4884mW/5263mW VDD_CPU_GPU_CV 998mW/1331mW/1632mW VDD_SOC 1357mW/1364mW/1395mW
09-18-2026 21:09:49 RAM 3414/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.187C/48.875C soc2@48.281C/48.531C soc0@48.593C/48.75C gpu@48.781C/49C tj@48.781C/49C soc1@47.531C/47.687C VDD_IN 4400mW/4840mW/5263mW VDD_CPU_GPU_CV 958mW/1297mW/1632mW VDD_SOC 1357mW/1363mW/1395mW
09-18-2026 21:09:49 RAM 3414/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,10%@1497,9%@1497] GR3D_FREQ 0% cpu@48.312C/48.875C soc2@48.312C/48.531C soc0@48.687C/48.75C gpu@48.687C/49C tj@48.687C/49C soc1@47.531C/47.687C VDD_IN 4400mW/4804mW/5263mW VDD_CPU_GPU_CV 958mW/1269mW/1632mW VDD_SOC 1357mW/1363mW/1395mW
09-18-2026 21:09:49 RAM 3414/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.531C/48.875C soc2@48.281C/48.531C soc0@48.531C/48.75C gpu@48.531C/49C tj@48.531C/49C soc1@47.468C/47.687C VDD_IN 4360mW/4770mW/5263mW VDD_CPU_GPU_CV 918mW/1242mW/1632mW VDD_SOC 1357mW/1362mW/1395mW
09-18-2026 21:09:49 RAM 3414/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.281C/48.875C soc2@48.406C/48.531C soc0@48.562C/48.75C gpu@48.687C/49C tj@48.687C/49C soc1@47.593C/47.687C VDD_IN 4320mW/4737mW/5263mW VDD_CPU_GPU_CV 918mW/1219mW/1632mW VDD_SOC 1317mW/1359mW/1395mW
09-18-2026 21:09:50 RAM 3424/7486MB (lfb 55x4MB) CPU [75%@1497,60%@1497,75%@1497,75%@1497,69%@1497,72%@1497] GR3D_FREQ 0% cpu@49.406C/49.406C soc2@48.437C/48.531C soc0@48.593C/48.75C gpu@48.968C/49C tj@49.406C/49.406C soc1@47.468C/47.687C VDD_IN 4832mW/4744mW/5263mW VDD_CPU_GPU_CV 1315mW/1225mW/1632mW VDD_SOC 1357mW/1359mW/1395mW
09-18-2026 21:09:50 RAM 3424/7486MB (lfb 55x4MB) CPU [90%@1497,80%@1497,80%@1497,81%@1497,77%@1497,81%@1497] GR3D_FREQ 0% cpu@49.312C/49.406C soc2@48.531C/48.531C soc0@48.593C/48.75C gpu@48.812C/49C tj@49.312C/49.406C soc1@47.562C/47.687C VDD_IN 5263mW/4776mW/5263mW VDD_CPU_GPU_CV 1714mW/1256mW/1714mW VDD_SOC 1355mW/1359mW/1395mW
