09-18-2026 21:09:39 RAM 3367/7486MB (lfb 55x4MB) CPU [10%@1497,18%@1497,27%@1497,20%@1497,16%@1497,0%@1497] GR3D_FREQ 0% cpu@49.031C/49.031C soc2@48.75C/48.75C soc0@48.781C/48.781C gpu@48.906C/48.906C tj@49.031C/49.031C soc1@47.812C/47.812C VDD_IN 5183mW/5183mW/5183mW VDD_CPU_GPU_CV 1555mW/1555mW/1555mW VDD_SOC 1395mW/1395mW/1395mW
09-18-2026 21:09:39 RAM 3367/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.687C/49.031C soc2@48.593C/48.75C soc0@48.906C/48.906C gpu@49.031C/49.031C tj@48.906C/49.031C soc1@47.718C/47.812C VDD_IN 5023mW/5103mW/5183mW VDD_CPU_GPU_CV 1395mW/1475mW/1555mW VDD_SOC 1355mW/1375mW/1395mW
09-18-2026 21:09:39 RAM 3371/7486MB (lfb 55x4MB) CPU [0%@1497,36%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.875C/49.031C soc2@48.562C/48.75C soc0@48.937C/48.937C gpu@48.906C/49.031C tj@48.937C/49.031C soc1@47.687C/47.812C VDD_IN 4912mW/5039mW/5183mW VDD_CPU_GPU_CV 1315mW/1422mW/1555mW VDD_SOC 1355mW/1368mW/1395mW
09-18-2026 21:09:39 RAM 3401/7486MB (lfb 55x4MB) CPU [27%@1497,33%@1497,22%@1497,27%@1497,18%@1497,0%@1497] GR3D_FREQ 0% cpu@48.75C/49.031C soc2@48.625C/48.75C soc0@48.687C/48.937C gpu@48.843C/49.031C tj@48.843C/49.031C soc1@47.781C/47.812C VDD_IN 4912mW/5008mW/5183mW VDD_CPU_GPU_CV 1315mW/1395mW/1555mW VDD_SOC 1355mW/1365mW/1395mW
09-18-2026 21:09:39 RAM 3401/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.812C/49.031C soc2@48.687C/48.75C soc0@48.812C/48.937C gpu@48.937C/49.031C tj@48.937C/49.031C soc1@47.781C/47.812C VDD_IN 4752mW/4956mW/5183mW VDD_CPU_GPU_CV 1196mW/1355mW/1555mW VDD_SOC 1355mW/1363mW/1395mW
09-18-2026 21:09:40 RAM 3401/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.593C/49.031C soc2@48.593C/48.75C soc0@48.843C/48.937C gpu@48.843C/49.031C tj@48.843C/49.031C soc1@47.875C/47.875C VDD_IN 4632mW/4902mW/5183mW VDD_CPU_GPU_CV 1118mW/1316mW/1555mW VDD_SOC 1357mW/1362mW/1395mW
09-18-2026 21:09:40 RAM 3401/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.656C/49.031C soc2@48.562C/48.75C soc0@48.968C/48.968C gpu@48.781C/49.031C tj@48.968C/49.031C soc1@47.687C/47.875C VDD_IN 4552mW/4852mW/5183mW VDD_CPU_GPU_CV 1078mW/1282mW/1555mW VDD_SOC 1357mW/1361mW/1395mW
09-18-2026 21:09:40 RAM 3401/7486MB (lfb 55x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.625C/49.031C soc2@48.531C/48.75C soc0@48.937C/48.968C gpu@48.906C/49.031C tj@48.937C/49.031C soc1@47.75C/47.875C VDD_IN 4472mW/4805mW/5183mW VDD_CPU_GPU_CV 1038mW/1251mW/1555mW VDD_SOC 1357mW/1361mW/1395mW
09-18-2026 21:09:40 RAM 3401/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.718C/49.031C soc2@48.687C/48.75C soc0@48.781C/48.968C gpu@48.875C/49.031C tj@48.875C/49.031C soc1@47.718C/47.875C VDD_IN 4440mW/4764mW/5183mW VDD_CPU_GPU_CV 998mW/1223mW/1555mW VDD_SOC 1357mW/1360mW/1395mW
09-18-2026 21:09:40 RAM 3401/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.468C/49.031C soc2@48.625C/48.75C soc0@48.812C/48.968C gpu@48.781C/49.031C tj@48.812C/49.031C soc1@47.781C/47.875C VDD_IN 4400mW/4728mW/5183mW VDD_CPU_GPU_CV 958mW/1197mW/1555mW VDD_SOC 1357mW/1360mW/1395mW
09-18-2026 21:09:40 RAM 3401/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,9%@1497,10%@1497,0%@1497,8%@1497] GR3D_FREQ 16% cpu@48.562C/49.031C soc2@48.468C/48.75C soc0@48.875C/48.968C gpu@48.906C/49.031C tj@48.906C/49.031C soc1@47.687C/47.875C VDD_IN 4360mW/4694mW/5183mW VDD_CPU_GPU_CV 958mW/1175mW/1555mW VDD_SOC 1357mW/1360mW/1395mW
