09-18-2026 21:09:37 RAM 3325/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,9%@1497,9%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@48.937C/48.937C soc2@48.906C/48.906C soc0@48.937C/48.937C gpu@49.531C/49.531C tj@49.531C/49.531C soc1@47.843C/47.843C VDD_IN 5931mW/5931mW/5931mW VDD_CPU_GPU_CV 2185mW/2185mW/2185mW VDD_SOC 1391mW/1391mW/1391mW
09-18-2026 21:09:37 RAM 3325/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.062C/49.062C soc2@48.75C/48.906C soc0@49C/49C gpu@48.968C/49.531C tj@49.062C/49.531C soc1@47.843C/47.843C VDD_IN 5582mW/5757mW/5931mW VDD_CPU_GPU_CV 1870mW/2028mW/2185mW VDD_SOC 1393mW/1392mW/1393mW
09-18-2026 21:09:37 RAM 3329/7486MB (lfb 55x4MB) CPU [0%@1497,20%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.156C/49.156C soc2@48.843C/48.906C soc0@48.812C/49C gpu@49C/49.531C tj@49.156C/49.531C soc1@47.875C/47.875C VDD_IN 5302mW/5605mW/5931mW VDD_CPU_GPU_CV 1671mW/1909mW/2185mW VDD_SOC 1393mW/1392mW/1393mW
09-18-2026 21:09:37 RAM 3367/7486MB (lfb 55x4MB) CPU [20%@1497,36%@1497,20%@1497,20%@1497,20%@1497,20%@1497] GR3D_FREQ 0% cpu@49.156C/49.156C soc2@48.968C/48.968C soc0@48.906C/49C gpu@49.312C/49.531C tj@49.312C/49.531C soc1@47.906C/47.906C VDD_IN 5223mW/5510mW/5931mW VDD_CPU_GPU_CV 1592mW/1830mW/2185mW VDD_SOC 1395mW/1393mW/1395mW
09-18-2026 21:09:38 RAM 3367/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.75C/49.156C soc2@48.781C/48.968C soc0@48.937C/49C gpu@49.125C/49.531C tj@49.125C/49.531C soc1@47.781C/47.906C VDD_IN 5023mW/5412mW/5931mW VDD_CPU_GPU_CV 1435mW/1751mW/2185mW VDD_SOC 1355mW/1385mW/1395mW
09-18-2026 21:09:38 RAM 3367/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.781C/49.156C soc2@48.718C/48.968C soc0@49.031C/49.031C gpu@48.843C/49.531C tj@49.031C/49.531C soc1@47.843C/47.906C VDD_IN 4872mW/5322mW/5931mW VDD_CPU_GPU_CV 1315mW/1678mW/2185mW VDD_SOC 1355mW/1380mW/1395mW
09-18-2026 21:09:38 RAM 3367/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.875C/49.156C soc2@48.718C/48.968C soc0@48.812C/49.031C gpu@49.281C/49.531C tj@49.281C/49.531C soc1@47.781C/47.906C VDD_IN 4712mW/5235mW/5931mW VDD_CPU_GPU_CV 1196mW/1609mW/2185mW VDD_SOC 1357mW/1377mW/1395mW
09-18-2026 21:09:38 RAM 3367/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.937C/49.156C soc2@48.781C/48.968C soc0@48.781C/49.031C gpu@48.906C/49.531C tj@49.156C/49.531C soc1@47.781C/47.906C VDD_IN 4592mW/5155mW/5931mW VDD_CPU_GPU_CV 1116mW/1548mW/2185mW VDD_SOC 1357mW/1375mW/1395mW
09-18-2026 21:09:38 RAM 3367/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.531C/49.156C soc2@48.75C/48.968C soc0@48.875C/49.031C gpu@48.906C/49.531C tj@48.968C/49.531C soc1@47.937C/47.937C VDD_IN 4512mW/5083mW/5931mW VDD_CPU_GPU_CV 1078mW/1495mW/2185mW VDD_SOC 1357mW/1373mW/1395mW
09-18-2026 21:09:38 RAM 3367/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.718C/49.156C soc2@48.625C/48.968C soc0@48.968C/49.031C gpu@49.218C/49.531C tj@49.218C/49.531C soc1@47.781C/47.937C VDD_IN 4472mW/5022mW/5931mW VDD_CPU_GPU_CV 998mW/1446mW/2185mW VDD_SOC 1357mW/1371mW/1395mW
09-18-2026 21:09:38 RAM 3367/7486MB (lfb 55x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@48.718C/49.156C soc2@48.656C/48.968C soc0@49.031C/49.031C gpu@48.812C/49.531C tj@49.031C/49.531C soc1@47.781C/47.937C VDD_IN 4440mW/4969mW/5931mW VDD_CPU_GPU_CV 998mW/1405mW/2185mW VDD_SOC 1357mW/1370mW/1395mW
