scenario,record,engine,engine_key,backend,pow_pre_reports,pow_post_reports,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,samples,p_in_mw_mean,p_in_mw_max,p_cpu_gpu_cv_mw_mean,gpu_util_pct_mean,cpu_util_pct_mean,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
multi,7,GridStream,gs,cpu,6,12,16,96,6,7692.0,0.2329693187727509,1.0,162,0,2.506929907212907,3.772876892599013,4.403338267366053,19.192541594748036,28.142793227743823,28.254243268747814,8.333333333333334,16.640665626625065,30.27646466512966,0.65210256,0.2583731029990304,0.9265186424684055,1305.4422857142856,1305.4422857142856,23629.824000000004,18.1010101010101,0,16,4597.0,4904,1026.8125,1.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,,1000000.0,6,2
multi,7,Fixed margin,fixed,cpu,6,12,16,96,6,7692.0,0.2329693187727509,1.0,162,0,2.92143517981458,4.045772750123432,5.200227600653307,19.586713273383793,28.52606790835125,28.603917267901124,8.333333333333334,16.640665626625065,33.9866809600035,0.714527168,0.2634826529993006,0.82669080452427,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,16,4609.5,4952,1054.5,0.25,9.052083333333334,0.6923076923076924,0.675,0.6428571428571429,0.75,0.6666666666666666,3,2,0,0,0.12280701754385964,0.0,0.0,666667.5714285715,6,2
multi,7,ATE-Q,Q,cpu,6,12,16,96,6,7692.0,0.2329693187727509,1.0,162,0,2.8518111275843694,3.880216359775659,4.051669226100785,19.52244681342563,28.450433867419633,28.752657266522874,8.333333333333334,16.640665626625065,33.62968769188565,0.715583168,0.2591723249988718,0.8126308145117936,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,16,4976.5,5223,1259.75,1.0625,17.59375,0.75,0.7333333333333334,0.75,0.75,0.6666666666666666,3,2,0,0,0.10526315789473684,0.0,0.0,666667.7222222221,6,2
multi,7,ATE-S,S,cpu,6,12,16,96,6,7692.0,0.2329693187727509,1.0,162,0,2.9528507993745734,3.8866684898312083,3.9683382274233736,19.651021747449704,28.585669737840362,28.669326267845463,8.333333333333334,16.640665626625065,34.523660511897305,0.729826688,0.2596947399997589,0.7811427448181545,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,16,4624.9375,5063,1076.9375,0.0,8.010416666666668,0.75,0.7333333333333334,0.75,0.75,0.6666666666666666,3,2,0,0,0.10526315789473684,0.0,0.0,666667.7222222221,6,2
multi,7,ATE-M,M,cpu,6,12,16,96,6,7692.0,0.2329693187727509,1.0,162,0,2.8516230931927566,3.8650495694673737,4.237675078911707,19.556425093469443,28.49143330628067,28.57306826626882,8.333333333333334,16.640665626625065,33.78693442964167,0.7169975040000001,0.2598152560003655,0.8103911211750073,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,16,4589.0625,4992,1054.5,0.0,8.322916666666666,0.7826086956521738,0.7749999999999999,0.8181818181818182,0.75,0.6666666666666666,3,2,0,0,0.09649122807017545,0.0,0.0,666667.8277777777,6,2
multi,7,ATE-N,N,cpu,6,12,16,96,6,7692.0,0.2329693187727509,1.0,162,0,2.9036464666205575,3.8462871088086095,4.117460039196885,19.596074339460756,28.4548995066325,28.521899266706896,8.333333333333334,16.640665626625065,34.145265314792695,0.720194816,0.2596077609996428,0.8009201049145516,18177.020142857145,1305.4422857142856,23629.824000000004,1.2999833753986125,1,16,4803.4375,5183,1115.9375,0.0,10.927083333333334,0.6666666666666666,0.6826923076923076,0.7777777777777778,0.5833333333333334,0.6666666666666666,3,2,0,0,0.07894736842105263,0.0,0.0,666668.0916666667,6,2
multi,7,ATE-X,X,cpu,6,12,16,96,6,7692.0,0.2329693187727509,1.0,162,13,3.995952613877307,13.985117840002204,14.251293479901506,20.687516906946257,30.62600234634374,30.89195910615672,8.333333333333334,16.640665626625065,51.08427836279993,0.893693472,0.26478121699983603,0.567143941851005,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,16,4705.75,5223,1109.125,0.0,10.8125,0.8181818181818182,0.8285714285714285,0.9,0.75,0.6666666666666666,3,2,0,0,0.08771929824561403,0.0,0.0,666667.9861111111,6,2
multi,45,GridStream,gs,cpu,6,12,16,96,6,15385.0,1.9968150796230095,1.0,1434,0,3.2816032035043463,4.305231432863374,5.703727394575253,11.606138706156344,12.769573090408814,18.129909009076073,8.333333333333334,8.31979200519987,38.30543076023729,6.632679488,2.0261499879998155,0.933077412957401,1348.1949467790762,1348.1949467790762,47262.719999999994,35.05629516926588,0,32,5326.4375,6090,1692.6875,0.40625,34.848958333333336,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,,,1000000.0,6,6
multi,45,Fixed margin,fixed,cpu,6,12,16,96,6,15385.0,1.9968150796230095,1.0,1434,0,3.6228833077984746,4.75839959652149,6.607605813769624,11.952102594477765,13.145358876281534,18.262104009409086,8.333333333333334,8.31979200519987,42.1182819920744,7.076890848,2.0355592099986097,0.8581733962634663,5933.224423684124,1348.1949467790762,47262.719999999994,7.965773182510615,1,32,5450.875,6210,1796.78125,0.5625,36.692708333333336,0.9666666666666666,0.9633699633699635,0.9354838709677419,1.0,1.0,6,6,0,0,0.02207977207977208,,0.0,46.52142857142857,6,6
multi,45,ATE-Q,Q,cpu,6,12,16,96,6,15385.0,1.9968150796230095,1.0,1434,0,3.596393293264555,4.829543113501132,6.330520589472144,11.921285005882964,13.551842500746716,18.117749010343687,8.333333333333334,8.31979200519987,42.387472160653,7.090745792,2.0330952699987392,0.8485744310511902,5933.224423684124,1348.1949467790762,47262.719999999994,7.965773182510615,1,32,5464.09375,6170,1804.1875,0.46875,36.28125,0.8727272727272727,0.7967032967032966,0.9230769230769231,0.8275862068965517,0.8333333333333334,6,5,0,0,0.01851851851851852,,0.0,166705.3880952381,6,6
