feeder,report,offset_bytes,n_ch,n_samples
7,26,0,6,128
7,27,3072,6,128
7,28,6144,6,128
7,29,9216,6,128
7,30,12288,6,128
7,31,15360,6,128
7,32,18432,6,128
7,33,21504,6,128
7,34,24576,6,128
7,35,27648,6,128
7,36,30720,6,128
7,37,33792,6,128
7,38,36864,6,128
7,39,39936,6,128
7,40,43008,6,128
7,41,46080,6,128
7,42,49152,6,128
7,43,52224,6,128
7,44,55296,6,128
7,45,58368,6,128
7,46,61440,6,128
7,47,64512,6,128
1,42,67584,6,128
1,43,70656,6,128
1,44,73728,6,128
1,45,76800,6,128
1,46,79872,6,128
1,47,82944,6,128
1,48,86016,6,128
1,49,89088,6,128
1,50,92160,6,128
1,51,95232,6,128
1,52,98304,6,128
1,53,101376,6,128
1,54,104448,6,128
1,55,107520,6,128
1,56,110592,6,128
1,57,113664,6,128
1,58,116736,6,128
1,59,119808,6,128
1,60,122880,6,128
1,61,125952,6,128
1,62,129024,6,128
1,63,132096,6,128
2,129,135168,6,128
2,130,138240,6,128
2,131,141312,6,128
2,132,144384,6,128
2,133,147456,6,128
2,134,150528,6,128
2,135,153600,6,128
2,136,156672,6,128
2,137,159744,6,128
2,138,162816,6,128
2,139,165888,6,128
2,140,168960,6,128
2,141,172032,6,128
2,142,175104,6,128
2,143,178176,6,128
2,144,181248,6,128
2,145,184320,6,128
2,146,187392,6,128
2,147,190464,6,128
2,148,193536,6,128
2,149,196608,6,128
2,150,199680,6,128
2,151,202752,6,128
2,152,205824,6,128
9,230,208896,6,128
9,231,211968,6,128
9,232,215040,6,128
9,233,218112,6,128
9,234,221184,6,128
9,235,224256,6,128
9,236,227328,6,128
9,237,230400,6,128
9,238,233472,6,128
9,239,236544,6,128
0,234,239616,6,128
0,235,242688,6,128
0,236,245760,6,128
0,237,248832,6,128
0,238,251904,6,128
0,239,254976,6,128
0,240,258048,6,128
9,240,261120,6,128
0,241,264192,6,128
9,241,267264,6,128
0,242,270336,6,128
9,242,273408,6,128
0,243,276480,6,128
4,237,279552,6,128
4,238,282624,6,128
4,239,285696,6,128
4,240,288768,6,128
4,241,291840,6,128
4,242,294912,6,128
4,243,297984,6,128
9,243,301056,6,128
0,244,304128,6,128
4,244,307200,6,128
9,244,310272,6,128
0,245,313344,6,128
4,245,316416,6,128
9,245,319488,6,128
0,246,322560,6,128
4,246,325632,6,128
9,246,328704,6,128
0,247,331776,6,128
4,247,334848,6,128
9,247,337920,6,128
0,248,340992,6,128
4,248,344064,6,128
9,248,347136,6,128
0,249,350208,6,128
4,249,353280,6,128
9,249,356352,6,128
0,250,359424,6,128
4,250,362496,6,128
9,250,365568,6,128
0,251,368640,6,128
4,251,371712,6,128
9,251,374784,6,128
0,252,377856,6,128
4,252,380928,6,128
9,252,384000,6,128
0,253,387072,6,128
4,253,390144,6,128
9,253,393216,6,128
0,254,396288,6,128
4,254,399360,6,128
0,255,402432,6,128
4,255,405504,6,128
0,256,408576,6,128
4,256,411648,6,128
0,257,414720,6,128
4,257,417792,6,128
4,258,420864,6,128
4,259,423936,6,128
4,260,427008,6,128
7,267,430080,6,128
7,268,433152,6,128
7,269,436224,6,128
7,270,439296,6,128
7,271,442368,6,128
7,272,445440,6,128
7,273,448512,6,128
7,274,451584,6,128
7,275,454656,6,128
7,276,457728,6,128
7,277,460800,6,128
7,278,463872,6,128
7,279,466944,6,128
7,280,470016,6,128
7,281,473088,6,128
7,282,476160,6,128
7,283,479232,6,128
7,284,482304,6,128
7,285,485376,6,128
7,286,488448,6,128
7,287,491520,6,128
7,288,494592,6,128
1,283,497664,6,128
1,284,500736,6,128
1,285,503808,6,128
1,286,506880,6,128
1,287,509952,6,128
1,288,513024,6,128
1,289,516096,6,128
7,289,519168,6,128
1,290,522240,6,128
7,290,525312,6,128
1,291,528384,6,128
1,292,531456,6,128
1,293,534528,6,128
1,294,537600,6,128
1,295,540672,6,128
1,296,543744,6,128
1,297,546816,6,128
1,298,549888,6,128
1,299,552960,6,128
1,300,556032,6,128
1,301,559104,6,128
1,302,562176,6,128
1,303,565248,6,128
1,304,568320,6,128
1,305,571392,6,128
1,306,574464,6,128
6,642,577536,6,128
6,643,580608,6,128
6,644,583680,6,128
6,645,586752,6,128
6,646,589824,6,128
6,647,592896,6,128
6,648,595968,6,128
6,649,599040,6,128
6,650,602112,6,128
3,645,605184,6,128
3,646,608256,6,128
3,647,611328,6,128
3,648,614400,6,128
3,649,617472,6,128
3,650,620544,6,128
3,651,623616,6,128
6,651,626688,6,128
3,652,629760,6,128
6,652,632832,6,128
3,653,635904,6,128
6,653,638976,6,128
3,654,642048,6,128
6,654,645120,6,128
3,655,648192,6,128
6,655,651264,6,128
3,656,654336,6,128
6,656,657408,6,128
3,657,660480,6,128
6,657,663552,6,128
3,658,666624,6,128
6,658,669696,6,128
3,659,672768,6,128
6,659,675840,6,128
3,660,678912,6,128
6,660,681984,6,128
3,661,685056,6,128
6,661,688128,6,128
3,662,691200,6,128
6,662,694272,6,128
3,663,697344,6,128
6,663,700416,6,128
3,664,703488,6,128
3,665,706560,6,128
3,666,709632,6,128
8,769,712704,6,128
8,770,715776,6,128
8,771,718848,6,128
8,772,721920,6,128
8,773,724992,6,128
8,774,728064,6,128
8,775,731136,6,128
8,776,734208,6,128
8,777,737280,6,128
8,778,740352,6,128
8,779,743424,6,128
10,773,746496,6,128
10,774,749568,6,128
10,775,752640,6,128
10,776,755712,6,128
10,777,758784,6,128
10,778,761856,6,128
10,779,764928,6,128
8,780,768000,6,128
10,780,771072,6,128
8,781,774144,6,128
10,781,777216,6,128
8,782,780288,6,128
10,782,783360,6,128
8,783,786432,6,128
10,783,789504,6,128
8,784,792576,6,128
10,784,795648,6,128
8,785,798720,6,128
10,785,801792,6,128
8,786,804864,6,128
10,786,807936,6,128
8,787,811008,6,128
10,787,814080,6,128
8,788,817152,6,128
10,788,820224,6,128
8,789,823296,6,128
10,789,826368,6,128
8,790,829440,6,128
10,790,832512,6,128
10,791,835584,6,128
10,792,838656,6,128
10,793,841728,6,128
10,794,844800,6,128
5,868,847872,6,128
5,869,850944,6,128
5,870,854016,6,128
5,871,857088,6,128
5,872,860160,6,128
5,873,863232,6,128
5,874,866304,6,128
5,875,869376,6,128
5,876,872448,6,128
5,877,875520,6,128
5,878,878592,6,128
5,879,881664,6,128
5,880,884736,6,128
5,881,887808,6,128
5,882,890880,6,128
5,883,893952,6,128
5,884,897024,6,128
5,885,900096,6,128
5,886,903168,6,128
5,887,906240,6,128
5,888,909312,6,128
5,889,912384,6,128
6,883,915456,6,128
6,884,918528,6,128
6,885,921600,6,128
6,886,924672,6,128
6,887,927744,6,128
6,888,930816,6,128
6,889,933888,6,128
6,890,936960,6,128
6,891,940032,6,128
3,886,943104,6,128
3,887,946176,6,128
3,888,949248,6,128
3,889,952320,6,128
3,890,955392,6,128
3,891,958464,6,128
3,892,961536,6,128
6,892,964608,6,128
3,893,967680,6,128
6,893,970752,6,128
3,894,973824,6,128
6,894,976896,6,128
3,895,979968,6,128
6,895,983040,6,128
3,896,986112,6,128
6,896,989184,6,128
3,897,992256,6,128
6,897,995328,6,128
3,898,998400,6,128
6,898,1001472,6,128
3,899,1004544,6,128
6,899,1007616,6,128
