feeder,report,offset_bytes,n_ch,n_samples
5,19,0,6,128
5,20,3072,6,128
5,21,6144,6,128
5,22,9216,6,128
5,23,12288,6,128
5,24,15360,6,128
5,25,18432,6,128
5,26,21504,6,128
5,27,24576,6,128
5,28,27648,6,128
5,29,30720,6,128
5,30,33792,6,128
5,31,36864,6,128
5,32,39936,6,128
5,33,43008,6,128
5,34,46080,6,128
5,35,49152,6,128
5,36,52224,6,128
5,37,55296,6,128
5,38,58368,6,128
5,39,61440,6,128
5,40,64512,6,128
9,174,67584,6,128
9,175,70656,6,128
9,176,73728,6,128
9,177,76800,6,128
9,178,79872,6,128
9,179,82944,6,128
9,180,86016,6,128
9,181,89088,6,128
9,182,92160,6,128
9,183,95232,6,128
9,184,98304,6,128
9,185,101376,6,128
9,186,104448,6,128
9,187,107520,6,128
9,188,110592,6,128
9,189,113664,6,128
9,190,116736,6,128
9,191,119808,6,128
9,192,122880,6,128
9,193,125952,6,128
9,194,129024,6,128
9,195,132096,6,128
9,196,135168,6,128
9,197,138240,6,128
5,260,141312,6,128
5,261,144384,6,128
5,262,147456,6,128
5,263,150528,6,128
5,264,153600,6,128
5,265,156672,6,128
5,266,159744,6,128
5,267,162816,6,128
5,268,165888,6,128
5,269,168960,6,128
5,270,172032,6,128
5,271,175104,6,128
5,272,178176,6,128
5,273,181248,6,128
5,274,184320,6,128
5,275,187392,6,128
5,276,190464,6,128
5,277,193536,6,128
5,278,196608,6,128
5,279,199680,6,128
5,280,202752,6,128
5,281,205824,6,128
5,282,208896,6,128
5,283,211968,6,128
0,362,215040,6,128
0,363,218112,6,128
0,364,221184,6,128
0,365,224256,6,128
0,366,227328,6,128
0,367,230400,6,128
0,368,233472,6,128
0,369,236544,6,128
0,370,239616,6,128
0,371,242688,6,128
0,372,245760,6,128
0,373,248832,6,128
0,374,251904,6,128
0,375,254976,6,128
0,376,258048,6,128
0,377,261120,6,128
0,378,264192,6,128
0,379,267264,6,128
0,380,270336,6,128
0,381,273408,6,128
0,382,276480,6,128
0,383,279552,6,128
6,476,282624,6,128
6,477,285696,6,128
6,478,288768,6,128
6,479,291840,6,128
6,480,294912,6,128
6,481,297984,6,128
6,482,301056,6,128
6,483,304128,6,128
6,484,307200,6,128
6,485,310272,6,128
6,486,313344,6,128
6,487,316416,6,128
6,488,319488,6,128
6,489,322560,6,128
6,490,325632,6,128
6,491,328704,6,128
6,492,331776,6,128
6,493,334848,6,128
6,494,337920,6,128
6,495,340992,6,128
6,496,344064,6,128
6,497,347136,6,128
8,546,350208,6,128
8,547,353280,6,128
8,548,356352,6,128
8,549,359424,6,128
8,550,362496,6,128
8,551,365568,6,128
8,552,368640,6,128
8,553,371712,6,128
8,554,374784,6,128
8,555,377856,6,128
8,556,380928,6,128
8,557,384000,6,128
8,558,387072,6,128
8,559,390144,6,128
8,560,393216,6,128
8,561,396288,6,128
8,562,399360,6,128
