09-18-2026 21:11:17 RAM 3337/7486MB (lfb 57x4MB) CPU [20%@1497,10%@1497,20%@1497,30%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.062C/48.062C soc2@47.781C/47.781C soc0@47.968C/47.968C gpu@48.156C/48.156C tj@48.156C/48.156C soc1@46.906C/46.906C VDD_IN 5422mW/5422mW/5422mW VDD_CPU_GPU_CV 1711mW/1711mW/1711mW VDD_SOC 1393mW/1393mW/1393mW
09-18-2026 21:11:17 RAM 3337/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.968C/48.062C soc2@47.656C/47.781C soc0@47.875C/47.968C gpu@48.031C/48.156C tj@48.031C/48.156C soc1@46.968C/46.968C VDD_IN 5143mW/5283mW/5422mW VDD_CPU_GPU_CV 1512mW/1612mW/1711mW VDD_SOC 1355mW/1374mW/1393mW
09-18-2026 21:11:18 RAM 3341/7486MB (lfb 57x4MB) CPU [27%@1497,0%@1497,9%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.75C/48.062C soc2@47.687C/47.781C soc0@47.906C/47.968C gpu@48.187C/48.187C tj@48.187C/48.187C soc1@46.812C/46.968C VDD_IN 4984mW/5183mW/5422mW VDD_CPU_GPU_CV 1395mW/1539mW/1711mW VDD_SOC 1355mW/1368mW/1393mW
09-18-2026 21:11:18 RAM 3510/7486MB (lfb 57x4MB) CPU [100%@1497,81%@1497,63%@1497,80%@1497,80%@1497,80%@1497] GR3D_FREQ 0% cpu@48.812C/48.812C soc2@47.875C/47.875C soc0@48.062C/48.062C gpu@48.093C/48.187C tj@48.812C/48.812C soc1@46.75C/46.968C VDD_IN 5502mW/5263mW/5502mW VDD_CPU_GPU_CV 1751mW/1592mW/1751mW VDD_SOC 1433mW/1384mW/1433mW
09-18-2026 21:11:18 RAM 3542/7486MB (lfb 57x4MB) CPU [100%@1497,100%@1497,100%@1497,100%@1497,100%@1497,100%@1497] GR3D_FREQ 0% cpu@49C/49C soc2@47.968C/47.968C soc0@47.906C/48.062C gpu@48.406C/48.406C tj@49C/49C soc1@46.812C/46.968C VDD_IN 6090mW/5428mW/6090mW VDD_CPU_GPU_CV 2146mW/1703mW/2146mW VDD_SOC 1472mW/1402mW/1472mW
09-18-2026 21:11:18 RAM 3590/7486MB (lfb 57x4MB) CPU [100%@1497,100%@1497,100%@1497,81%@1497,83%@1497,83%@1497] GR3D_FREQ 0% cpu@48.812C/49C soc2@47.875C/47.968C soc0@47.875C/48.062C gpu@48.281C/48.406C tj@48.812C/49C soc1@46.812C/46.968C VDD_IN 6528mW/5612mW/6528mW VDD_CPU_GPU_CV 2344mW/1810mW/2344mW VDD_SOC 1550mW/1426mW/1550mW
09-18-2026 21:11:18 RAM 3591/7486MB (lfb 57x4MB) CPU [9%@1497,0%@1497,0%@1497,10%@1497,50%@1497,0%@1497] GR3D_FREQ 0% cpu@48.093C/49C soc2@47.781C/47.968C soc0@48.031C/48.062C gpu@48.125C/48.406C tj@48.156C/49C soc1@46.875C/46.968C VDD_IN 6170mW/5691mW/6528mW VDD_CPU_GPU_CV 2106mW/1852mW/2344mW VDD_SOC 1510mW/1438mW/1550mW
09-18-2026 21:11:18 RAM 3591/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48C/49C soc2@47.781C/47.968C soc0@47.906C/48.062C gpu@48.281C/48.406C tj@48.281C/49C soc1@46.968C/46.968C VDD_IN 5772mW/5701mW/6528mW VDD_CPU_GPU_CV 1831mW/1850mW/2344mW VDD_SOC 1472mW/1443mW/1550mW
09-18-2026 21:11:18 RAM 3591/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 9% cpu@47.906C/49C soc2@47.843C/47.968C soc0@47.843C/48.062C gpu@48.25C/48.406C tj@48.25C/49C soc1@46.937C/46.968C VDD_IN 5462mW/5675mW/6528mW VDD_CPU_GPU_CV 1632mW/1825mW/2344mW VDD_SOC 1433mW/1441mW/1550mW
09-18-2026 21:11:18 RAM 3591/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.75C/49C soc2@47.656C/47.968C soc0@48C/48.062C gpu@48.031C/48.406C tj@48.031C/49C soc1@46.75C/46.968C VDD_IN 5183mW/5626mW/6528mW VDD_CPU_GPU_CV 1435mW/1786mW/2344mW VDD_SOC 1395mW/1437mW/1550mW
09-18-2026 21:11:18 RAM 3591/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.875C/49C soc2@47.656C/47.968C soc0@48C/48.062C gpu@47.968C/48.406C tj@48C/49C soc1@46.75C/46.968C VDD_IN 4992mW/5568mW/6528mW VDD_CPU_GPU_CV 1315mW/1743mW/2344mW VDD_SOC 1395mW/1433mW/1550mW
09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.656C/49C soc2@47.718C/47.968C soc0@47.906C/48.062C gpu@48.031C/48.406C tj@48.031C/49C soc1@46.875C/46.968C VDD_IN 4792mW/5503mW/6528mW VDD_CPU_GPU_CV 1198mW/1698mW/2344mW VDD_SOC 1397mW/1430mW/1550mW
09-18-2026 21:11:19 RAM 3591/7486MB (lfb 57x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.687C/49C soc2@47.687C/47.968C soc0@47.843C/48.062C gpu@47.906C/48.406C tj@47.906C/49C soc1@46.968C/46.968C VDD_IN 4680mW/5440mW/6528mW VDD_CPU_GPU_CV 1118mW/1653mW/2344mW VDD_SOC 1357mW/1424mW/1550mW
