feeder,report,offset_bytes,n_ch,n_samples
0,362,0,6,128
0,363,3072,6,128
0,364,6144,6,128
0,365,9216,6,128
0,366,12288,6,128
0,367,15360,6,128
0,368,18432,6,128
0,369,21504,6,128
0,370,24576,6,128
0,371,27648,6,128
0,372,30720,6,128
0,373,33792,6,128
0,374,36864,6,128
0,375,39936,6,128
0,376,43008,6,128
0,377,46080,6,128
0,378,49152,6,128
0,379,52224,6,128
0,380,55296,6,128
0,381,58368,6,128
0,382,61440,6,128
0,383,64512,6,128
0,603,67584,6,128
0,604,70656,6,128
0,605,73728,6,128
0,606,76800,6,128
0,607,79872,6,128
0,608,82944,6,128
0,609,86016,6,128
0,610,89088,6,128
0,611,92160,6,128
0,612,95232,6,128
0,613,98304,6,128
0,614,101376,6,128
0,615,104448,6,128
0,616,107520,6,128
0,617,110592,6,128
0,618,113664,6,128
0,619,116736,6,128
0,620,119808,6,128
0,621,122880,6,128
0,622,125952,6,128
0,623,129024,6,128
0,624,132096,6,128
0,625,135168,6,128
0,626,138240,6,128
0,1193,141312,6,128
0,1194,144384,6,128
0,1195,147456,6,128
0,1196,150528,6,128
0,1197,153600,6,128
0,1198,156672,6,128
0,1199,159744,6,128
