feeder,report,offset_bytes,n_ch,n_samples
5,19,0,6,128
5,20,3072,6,128
5,21,6144,6,128
5,22,9216,6,128
5,23,12288,6,128
5,24,15360,6,128
5,25,18432,6,128
5,26,21504,6,128
5,27,24576,6,128
5,28,27648,6,128
5,29,30720,6,128
5,30,33792,6,128
5,31,36864,6,128
5,32,39936,6,128
5,33,43008,6,128
5,34,46080,6,128
5,35,49152,6,128
5,36,52224,6,128
5,37,55296,6,128
5,38,58368,6,128
5,39,61440,6,128
5,40,64512,6,128
12,80,67584,6,128
12,81,70656,6,128
12,82,73728,6,128
12,83,76800,6,128
12,84,79872,6,128
12,85,82944,6,128
12,86,86016,6,128
12,87,89088,6,128
12,88,92160,6,128
12,89,95232,6,128
10,84,98304,6,128
10,85,101376,6,128
10,86,104448,6,128
10,87,107520,6,128
10,88,110592,6,128
10,89,113664,6,128
10,90,116736,6,128
12,90,119808,6,128
10,91,122880,6,128
12,91,125952,6,128
10,92,129024,6,128
12,92,132096,6,128
10,93,135168,6,128
12,93,138240,6,128
10,94,141312,6,128
12,94,144384,6,128
10,95,147456,6,128
12,95,150528,6,128
10,96,153600,6,128
12,96,156672,6,128
10,97,159744,6,128
12,97,162816,6,128
10,98,165888,6,128
12,98,168960,6,128
10,99,172032,6,128
12,99,175104,6,128
10,100,178176,6,128
12,100,181248,6,128
10,101,184320,6,128
12,101,187392,6,128
10,102,190464,6,128
10,103,193536,6,128
10,104,196608,6,128
10,105,199680,6,128
10,106,202752,6,128
10,107,205824,6,128
9,174,208896,6,128
9,175,211968,6,128
9,176,215040,6,128
9,177,218112,6,128
9,178,221184,6,128
9,179,224256,6,128
9,180,227328,6,128
9,181,230400,6,128
9,182,233472,6,128
9,183,236544,6,128
9,184,239616,6,128
9,185,242688,6,128
9,186,245760,6,128
9,187,248832,6,128
9,188,251904,6,128
9,189,254976,6,128
9,190,258048,6,128
9,191,261120,6,128
9,192,264192,6,128
9,193,267264,6,128
9,194,270336,6,128
9,195,273408,6,128
9,196,276480,6,128
9,197,279552,6,128
5,260,282624,6,128
5,261,285696,6,128
5,262,288768,6,128
5,263,291840,6,128
5,264,294912,6,128
5,265,297984,6,128
5,266,301056,6,128
5,267,304128,6,128
5,268,307200,6,128
5,269,310272,6,128
5,270,313344,6,128
5,271,316416,6,128
5,272,319488,6,128
5,273,322560,6,128
5,274,325632,6,128
5,275,328704,6,128
5,276,331776,6,128
5,277,334848,6,128
5,278,337920,6,128
5,279,340992,6,128
5,280,344064,6,128
5,281,347136,6,128
5,282,350208,6,128
5,283,353280,6,128
13,298,356352,6,128
13,299,359424,6,128
13,300,362496,6,128
13,301,365568,6,128
13,302,368640,6,128
13,303,371712,6,128
13,304,374784,6,128
13,305,377856,6,128
13,306,380928,6,128
13,307,384000,6,128
13,308,387072,6,128
13,309,390144,6,128
13,310,393216,6,128
13,311,396288,6,128
13,312,399360,6,128
