feeder,report,offset_bytes,n_ch,n_samples
10,42,0,6,128
10,43,3072,6,128
10,44,6144,6,128
10,45,9216,6,128
10,46,12288,6,128
10,47,15360,6,128
10,48,18432,6,128
10,49,21504,6,128
10,50,24576,6,128
10,51,27648,6,128
10,52,30720,6,128
10,53,33792,6,128
10,54,36864,6,128
5,49,39936,6,128
5,50,43008,6,128
5,51,46080,6,128
5,52,49152,6,128
5,53,52224,6,128
5,54,55296,6,128
5,55,58368,6,128
10,55,61440,6,128
5,56,64512,6,128
10,56,67584,6,128
5,57,70656,6,128
10,57,73728,6,128
5,58,76800,6,128
10,58,79872,6,128
5,59,82944,6,128
10,59,86016,6,128
0,54,89088,6,128
0,55,92160,6,128
0,56,95232,6,128
0,57,98304,6,128
0,58,101376,6,128
0,59,104448,6,128
0,60,107520,6,128
5,60,110592,6,128
10,60,113664,6,128
0,61,116736,6,128
5,61,119808,6,128
10,61,122880,6,128
0,62,125952,6,128
5,62,129024,6,128
10,62,132096,6,128
0,63,135168,6,128
5,63,138240,6,128
10,63,141312,6,128
0,64,144384,6,128
5,64,147456,6,128
10,64,150528,6,128
0,65,153600,6,128
5,65,156672,6,128
10,65,159744,6,128
0,66,162816,6,128
5,66,165888,6,128
0,67,168960,6,128
5,67,172032,6,128
0,68,175104,6,128
5,68,178176,6,128
0,69,181248,6,128
5,69,184320,6,128
0,70,187392,6,128
5,70,190464,6,128
0,71,193536,6,128
5,71,196608,6,128
0,72,199680,6,128
5,72,202752,6,128
0,73,205824,6,128
0,74,208896,6,128
0,75,211968,6,128
0,76,215040,6,128
0,77,218112,6,128
1,83,221184,6,128
1,84,224256,6,128
1,85,227328,6,128
1,86,230400,6,128
1,87,233472,6,128
1,88,236544,6,128
1,89,239616,6,128
1,90,242688,6,128
1,91,245760,6,128
1,92,248832,6,128
1,93,251904,6,128
1,94,254976,6,128
1,95,258048,6,128
6,89,261120,6,128
6,90,264192,6,128
6,91,267264,6,128
6,92,270336,6,128
6,93,273408,6,128
6,94,276480,6,128
6,95,279552,6,128
1,96,282624,6,128
6,96,285696,6,128
1,97,288768,6,128
6,97,291840,6,128
1,98,294912,6,128
6,98,297984,6,128
1,99,301056,6,128
6,99,304128,6,128
1,100,307200,6,128
6,100,310272,6,128
1,101,313344,6,128
6,101,316416,6,128
1,102,319488,6,128
6,102,322560,6,128
1,103,325632,6,128
6,103,328704,6,128
1,104,331776,6,128
6,104,334848,6,128
6,105,337920,6,128
6,106,340992,6,128
6,107,344064,6,128
6,108,347136,6,128
6,109,350208,6,128
6,110,353280,6,128
7,240,356352,6,128
7,241,359424,6,128
7,242,362496,6,128
7,243,365568,6,128
7,244,368640,6,128
7,245,371712,6,128
7,246,374784,6,128
7,247,377856,6,128
7,248,380928,6,128
7,249,384000,6,128
7,250,387072,6,128
7,251,390144,6,128
7,252,393216,6,128
7,253,396288,6,128
7,254,399360,6,128
7,255,402432,6,128
7,256,405504,6,128
7,257,408576,6,128
7,258,411648,6,128
7,259,414720,6,128
7,260,417792,6,128
7,261,420864,6,128
7,262,423936,6,128
7,263,427008,6,128
8,301,430080,6,128
8,302,433152,6,128
8,303,436224,6,128
8,304,439296,6,128
8,305,442368,6,128
8,306,445440,6,128
8,307,448512,6,128
8,308,451584,6,128
8,309,454656,6,128
8,310,457728,6,128
8,311,460800,6,128
8,312,463872,6,128
8,313,466944,6,128
8,314,470016,6,128
8,315,473088,6,128
8,316,476160,6,128
8,317,479232,6,128
8,318,482304,6,128
8,319,485376,6,128
8,320,488448,6,128
8,321,491520,6,128
8,322,494592,6,128
1,324,497664,6,128
1,325,500736,6,128
1,326,503808,6,128
1,327,506880,6,128
1,328,509952,6,128
1,329,513024,6,128
1,330,516096,6,128
1,331,519168,6,128
1,332,522240,6,128
1,333,525312,6,128
1,334,528384,6,128
1,335,531456,6,128
1,336,534528,6,128
6,330,537600,6,128
6,331,540672,6,128
6,332,543744,6,128
6,333,546816,6,128
6,334,549888,6,128
6,335,552960,6,128
6,336,556032,6,128
1,337,559104,6,128
6,337,562176,6,128
1,338,565248,6,128
6,338,568320,6,128
1,339,571392,6,128
6,339,574464,6,128
1,340,577536,6,128
6,340,580608,6,128
1,341,583680,6,128
6,341,586752,6,128
1,342,589824,6,128
6,342,592896,6,128
1,343,595968,6,128
6,343,599040,6,128
1,344,602112,6,128
6,344,605184,6,128
1,345,608256,6,128
6,345,611328,6,128
1,346,614400,6,128
6,346,617472,6,128
1,347,620544,6,128
6,347,623616,6,128
6,348,626688,6,128
6,349,629760,6,128
6,350,632832,6,128
6,351,635904,6,128
6,352,638976,6,128
6,353,642048,6,128
15,386,645120,6,128
15,387,648192,6,128
15,388,651264,6,128
15,389,654336,6,128
15,390,657408,6,128
15,391,660480,6,128
15,392,663552,6,128
15,393,666624,6,128
15,394,669696,6,128
15,395,672768,6,128
15,396,675840,6,128
15,397,678912,6,128
15,398,681984,6,128
15,399,685056,6,128
15,400,688128,6,128
15,401,691200,6,128
15,402,694272,6,128
15,403,697344,6,128
15,404,700416,6,128
15,405,703488,6,128
15,406,706560,6,128
15,407,709632,6,128
