feeder,report,offset_bytes,n_ch,n_samples
10,9,0,6,128
10,10,3072,6,128
10,11,6144,6,128
10,12,9216,6,128
10,13,12288,6,128
10,14,15360,6,128
10,15,18432,6,128
10,16,21504,6,128
10,17,24576,6,128
8,12,27648,6,128
8,13,30720,6,128
8,14,33792,6,128
8,15,36864,6,128
8,16,39936,6,128
8,17,43008,6,128
8,18,46080,6,128
10,18,49152,6,128
8,19,52224,6,128
10,19,55296,6,128
8,20,58368,6,128
10,20,61440,6,128
8,21,64512,6,128
10,21,67584,6,128
8,22,70656,6,128
10,22,73728,6,128
8,23,76800,6,128
10,23,79872,6,128
8,24,82944,6,128
10,24,86016,6,128
8,25,89088,6,128
10,25,92160,6,128
8,26,95232,6,128
10,26,98304,6,128
8,27,101376,6,128
10,27,104448,6,128
8,28,107520,6,128
10,28,110592,6,128
8,29,113664,6,128
10,29,116736,6,128
8,30,119808,6,128
10,30,122880,6,128
8,31,125952,6,128
10,31,129024,6,128
8,32,132096,6,128
10,32,135168,6,128
8,33,138240,6,128
6,42,141312,6,128
6,43,144384,6,128
6,44,147456,6,128
6,45,150528,6,128
6,46,153600,6,128
6,47,156672,6,128
6,48,159744,6,128
6,49,162816,6,128
6,50,165888,6,128
6,51,168960,6,128
6,52,172032,6,128
6,53,175104,6,128
6,54,178176,6,128
6,55,181248,6,128
6,56,184320,6,128
6,57,187392,6,128
6,58,190464,6,128
6,59,193536,6,128
1,54,196608,6,128
1,55,199680,6,128
1,56,202752,6,128
1,57,205824,6,128
1,58,208896,6,128
1,59,211968,6,128
1,60,215040,6,128
6,60,218112,6,128
1,61,221184,6,128
6,61,224256,6,128
1,62,227328,6,128
6,62,230400,6,128
1,63,233472,6,128
6,63,236544,6,128
1,64,239616,6,128
1,65,242688,6,128
1,66,245760,6,128
1,67,248832,6,128
1,68,251904,6,128
1,69,254976,6,128
1,70,258048,6,128
1,71,261120,6,128
1,72,264192,6,128
1,73,267264,6,128
1,74,270336,6,128
1,75,273408,6,128
1,76,276480,6,128
1,77,279552,6,128
7,83,282624,6,128
7,84,285696,6,128
7,85,288768,6,128
7,86,291840,6,128
7,87,294912,6,128
7,88,297984,6,128
7,89,301056,6,128
7,90,304128,6,128
7,91,307200,6,128
7,92,310272,6,128
7,93,313344,6,128
7,94,316416,6,128
7,95,319488,6,128
7,96,322560,6,128
7,97,325632,6,128
7,98,328704,6,128
7,99,331776,6,128
7,100,334848,6,128
7,101,337920,6,128
7,102,340992,6,128
7,103,344064,6,128
7,104,347136,6,128
12,129,350208,6,128
12,130,353280,6,128
12,131,356352,6,128
12,132,359424,6,128
12,133,362496,6,128
12,134,365568,6,128
12,135,368640,6,128
12,136,371712,6,128
12,137,374784,6,128
12,138,377856,6,128
12,139,380928,6,128
12,140,384000,6,128
12,141,387072,6,128
12,142,390144,6,128
12,143,393216,6,128
12,144,396288,6,128
12,145,399360,6,128
12,146,402432,6,128
12,147,405504,6,128
12,148,408576,6,128
12,149,411648,6,128
12,150,414720,6,128
12,151,417792,6,128
12,152,420864,6,128
15,198,423936,6,128
15,199,427008,6,128
15,200,430080,6,128
15,201,433152,6,128
15,202,436224,6,128
15,203,439296,6,128
15,204,442368,6,128
15,205,445440,6,128
15,206,448512,6,128
15,207,451584,6,128
15,208,454656,6,128
9,203,457728,6,128
9,204,460800,6,128
9,205,463872,6,128
9,206,466944,6,128
9,207,470016,6,128
9,208,473088,6,128
9,209,476160,6,128
15,209,479232,6,128
9,210,482304,6,128
15,210,485376,6,128
9,211,488448,6,128
15,211,491520,6,128
9,212,494592,6,128
15,212,497664,6,128
9,213,500736,6,128
15,213,503808,6,128
9,214,506880,6,128
15,214,509952,6,128
9,215,513024,6,128
15,215,516096,6,128
9,216,519168,6,128
15,216,522240,6,128
9,217,525312,6,128
15,217,528384,6,128
9,218,531456,6,128
15,218,534528,6,128
9,219,537600,6,128
15,219,540672,6,128
9,220,543744,6,128
15,220,546816,6,128
9,221,549888,6,128
15,221,552960,6,128
9,222,556032,6,128
9,223,559104,6,128
9,224,562176,6,128
0,234,565248,6,128
0,235,568320,6,128
0,236,571392,6,128
0,237,574464,6,128
0,238,577536,6,128
0,239,580608,6,128
0,240,583680,6,128
0,241,586752,6,128
0,242,589824,6,128
0,243,592896,6,128
0,244,595968,6,128
0,245,599040,6,128
0,246,602112,6,128
0,247,605184,6,128
0,248,608256,6,128
0,249,611328,6,128
0,250,614400,6,128
0,251,617472,6,128
0,252,620544,6,128
0,253,623616,6,128
0,254,626688,6,128
0,255,629760,6,128
0,256,632832,6,128
0,257,635904,6,128
8,253,638976,6,128
8,254,642048,6,128
8,255,645120,6,128
8,256,648192,6,128
8,257,651264,6,128
8,258,654336,6,128
8,259,657408,6,128
8,260,660480,6,128
8,261,663552,6,128
8,262,666624,6,128
8,263,669696,6,128
8,264,672768,6,128
8,265,675840,6,128
8,266,678912,6,128
8,267,681984,6,128
8,268,685056,6,128
8,269,688128,6,128
8,270,691200,6,128
8,271,694272,6,128
8,272,697344,6,128
8,273,700416,6,128
8,274,703488,6,128
8,275,706560,6,128
8,276,709632,6,128
6,283,712704,6,128
6,284,715776,6,128
6,285,718848,6,128
6,286,721920,6,128
6,287,724992,6,128
6,288,728064,6,128
6,289,731136,6,128
6,290,734208,6,128
6,291,737280,6,128
6,292,740352,6,128
6,293,743424,6,128
6,294,746496,6,128
6,295,749568,6,128
6,296,752640,6,128
6,297,755712,6,128
6,298,758784,6,128
6,299,761856,6,128
6,300,764928,6,128
6,301,768000,6,128
6,302,771072,6,128
6,303,774144,6,128
6,304,777216,6,128
6,305,780288,6,128
6,306,783360,6,128
4,316,786432,6,128
4,317,789504,6,128
4,318,792576,6,128
4,319,795648,6,128
4,320,798720,6,128
4,321,801792,6,128
4,322,804864,6,128
4,323,807936,6,128
4,324,811008,6,128
4,325,814080,6,128
4,326,817152,6,128
4,327,820224,6,128
4,328,823296,6,128
4,329,826368,6,128
4,330,829440,6,128
7,324,832512,6,128
7,325,835584,6,128
7,326,838656,6,128
7,327,841728,6,128
7,328,844800,6,128
7,329,847872,6,128
7,330,850944,6,128
4,331,854016,6,128
7,331,857088,6,128
4,332,860160,6,128
7,332,863232,6,128
4,333,866304,6,128
7,333,869376,6,128
4,334,872448,6,128
7,334,875520,6,128
4,335,878592,6,128
7,335,881664,6,128
4,336,884736,6,128
7,336,887808,6,128
4,337,890880,6,128
7,337,893952,6,128
7,338,897024,6,128
7,339,900096,6,128
7,340,903168,6,128
7,341,906240,6,128
7,342,909312,6,128
7,343,912384,6,128
7,344,915456,6,128
7,345,918528,6,128
7,346,921600,6,128
7,347,924672,6,128
5,362,927744,6,128
5,363,930816,6,128
5,364,933888,6,128
5,365,936960,6,128
5,366,940032,6,128
5,367,943104,6,128
5,368,946176,6,128
5,369,949248,6,128
5,370,952320,6,128
5,371,955392,6,128
5,372,958464,6,128
5,373,961536,6,128
5,374,964608,6,128
5,375,967680,6,128
5,376,970752,6,128
5,377,973824,6,128
5,378,976896,6,128
5,379,979968,6,128
5,380,983040,6,128
5,381,986112,6,128
5,382,989184,6,128
5,383,992256,6,128
9,444,995328,6,128
9,445,998400,6,128
9,446,1001472,6,128
9,447,1004544,6,128
9,448,1007616,6,128
9,449,1010688,6,128
9,450,1013760,6,128
9,451,1016832,6,128
9,452,1019904,6,128
9,453,1022976,6,128
9,454,1026048,6,128
9,455,1029120,6,128
9,456,1032192,6,128
9,457,1035264,6,128
9,458,1038336,6,128
9,459,1041408,6,128
9,460,1044480,6,128
9,461,1047552,6,128
9,462,1050624,6,128
9,463,1053696,6,128
9,464,1056768,6,128
9,465,1059840,6,128
9,466,1062912,6,128
9,467,1065984,6,128
4,557,1069056,6,128
4,558,1072128,6,128
4,559,1075200,6,128
4,560,1078272,6,128
4,561,1081344,6,128
4,562,1084416,6,128
4,563,1087488,6,128
4,564,1090560,6,128
4,565,1093632,6,128
4,566,1096704,6,128
4,567,1099776,6,128
4,568,1102848,6,128
4,569,1105920,6,128
4,570,1108992,6,128
4,571,1112064,6,128
4,572,1115136,6,128
4,573,1118208,6,128
4,574,1121280,6,128
4,575,1124352,6,128
4,576,1127424,6,128
4,577,1130496,6,128
4,578,1133568,6,128
4,579,1136640,6,128
4,580,1139712,6,128
13,597,1142784,6,128
13,598,1145856,6,128
13,599,1148928,6,128
13,600,1152000,6,128
13,601,1155072,6,128
13,602,1158144,6,128
13,603,1161216,6,128
13,604,1164288,6,128
13,605,1167360,6,128
13,606,1170432,6,128
13,607,1173504,6,128
13,608,1176576,6,128
5,603,1179648,6,128
5,604,1182720,6,128
5,605,1185792,6,128
5,606,1188864,6,128
5,607,1191936,6,128
5,608,1195008,6,128
5,609,1198080,6,128
13,609,1201152,6,128
5,610,1204224,6,128
13,610,1207296,6,128
5,611,1210368,6,128
13,611,1213440,6,128
3,606,1216512,6,128
3,607,1219584,6,128
3,608,1222656,6,128
3,609,1225728,6,128
3,610,1228800,6,128
3,611,1231872,6,128
3,612,1234944,6,128
5,612,1238016,6,128
13,612,1241088,6,128
3,613,1244160,6,128
5,613,1247232,6,128
13,613,1250304,6,128
3,614,1253376,6,128
5,614,1256448,6,128
13,614,1259520,6,128
3,615,1262592,6,128
5,615,1265664,6,128
13,615,1268736,6,128
3,616,1271808,6,128
5,616,1274880,6,128
13,616,1277952,6,128
3,617,1281024,6,128
5,617,1284096,6,128
13,617,1287168,6,128
3,618,1290240,6,128
5,618,1293312,6,128
13,618,1296384,6,128
3,619,1299456,6,128
5,619,1302528,6,128
3,620,1305600,6,128
5,620,1308672,6,128
3,621,1311744,6,128
5,621,1314816,6,128
3,622,1317888,6,128
5,622,1320960,6,128
3,623,1324032,6,128
5,623,1327104,6,128
3,624,1330176,6,128
5,624,1333248,6,128
3,625,1336320,6,128
5,625,1339392,6,128
3,626,1342464,6,128
