09-18-2026 21:17:45 RAM 3530/7486MB (lfb 14x4MB) CPU [30%@1497,70%@1497,27%@1497,66%@1497,25%@1497,66%@1497] GR3D_FREQ 1% cpu@49.781C/49.781C soc2@49.125C/49.125C soc0@49.187C/49.187C gpu@49.281C/49.281C tj@49.781C/49.781C soc1@48.156C/48.156C VDD_IN 5811mW/5811mW/5811mW VDD_CPU_GPU_CV 1907mW/1907mW/1907mW VDD_SOC 1430mW/1430mW/1430mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [11%@1497,20%@1497,23%@1497,45%@1497,0%@1497,10%@1497] GR3D_FREQ 0% cpu@49.406C/49.781C soc2@49.093C/49.125C soc0@49.093C/49.187C gpu@49.718C/49.718C tj@49.718C/49.781C soc1@48.25C/48.25C VDD_IN 5652mW/5732mW/5811mW VDD_CPU_GPU_CV 1788mW/1848mW/1907mW VDD_SOC 1433mW/1432mW/1433mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,27%@1497] GR3D_FREQ 0% cpu@49.343C/49.781C soc2@49.093C/49.125C soc0@49.218C/49.218C gpu@49.531C/49.718C tj@49.531C/49.781C soc1@48.312C/48.312C VDD_IN 5302mW/5588mW/5811mW VDD_CPU_GPU_CV 1632mW/1776mW/1907mW VDD_SOC 1395mW/1419mW/1433mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,40%@1497] GR3D_FREQ 0% cpu@49.062C/49.781C soc2@49.062C/49.125C soc0@49.187C/49.218C gpu@49.5C/49.718C tj@49.5C/49.781C soc1@48.093C/48.312C VDD_IN 5071mW/5459mW/5811mW VDD_CPU_GPU_CV 1475mW/1701mW/1907mW VDD_SOC 1395mW/1413mW/1433mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.062C/49.781C soc2@49C/49.125C soc0@49.312C/49.312C gpu@49.687C/49.718C tj@49.687C/49.781C soc1@48.093C/48.312C VDD_IN 4800mW/5327mW/5811mW VDD_CPU_GPU_CV 1357mW/1632mW/1907mW VDD_SOC 1357mW/1402mW/1433mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.25C/49.781C soc2@49.062C/49.125C soc0@49.125C/49.312C gpu@49.562C/49.718C tj@49.562C/49.781C soc1@48.125C/48.312C VDD_IN 4600mW/5206mW/5811mW VDD_CPU_GPU_CV 1240mW/1567mW/1907mW VDD_SOC 1320mW/1388mW/1433mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,8%@1497] GR3D_FREQ 0% cpu@49.281C/49.781C soc2@49.031C/49.125C soc0@49.093C/49.312C gpu@49.281C/49.718C tj@49.281C/49.781C soc1@48.25C/48.312C VDD_IN 4447mW/5098mW/5811mW VDD_CPU_GPU_CV 1160mW/1508mW/1907mW VDD_SOC 1322mW/1379mW/1433mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.906C/49.781C soc2@49C/49.125C soc0@49.281C/49.312C gpu@49.562C/49.718C tj@49.562C/49.781C soc1@48.156C/48.312C VDD_IN 4286mW/4996mW/5811mW VDD_CPU_GPU_CV 1081mW/1455mW/1907mW VDD_SOC 1322mW/1372mW/1433mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.062C/49.781C soc2@48.968C/49.125C soc0@49.25C/49.312C gpu@49.375C/49.718C tj@49.375C/49.781C soc1@48.156C/48.312C VDD_IN 4213mW/4909mW/5811mW VDD_CPU_GPU_CV 1041mW/1409mW/1907mW VDD_SOC 1282mW/1362mW/1433mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.031C/49.781C soc2@49C/49.125C soc0@49.031C/49.312C gpu@49.187C/49.718C tj@49.187C/49.781C soc1@47.968C/48.312C VDD_IN 4133mW/4832mW/5811mW VDD_CPU_GPU_CV 1003mW/1368mW/1907mW VDD_SOC 1284mW/1354mW/1433mW
09-18-2026 21:17:46 RAM 3530/7486MB (lfb 14x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 15% cpu@49.25C/49.781C soc2@48.968C/49.125C soc0@49.062C/49.312C gpu@49.625C/49.718C tj@49.625C/49.781C soc1@48.156C/48.312C VDD_IN 4133mW/4768mW/5811mW VDD_CPU_GPU_CV 1003mW/1335mW/1907mW VDD_SOC 1284mW/1348mW/1433mW
