09-18-2026 21:17:29 RAM 3515/7486MB (lfb 17x4MB) CPU [9%@1497,0%@1497,9%@1497,20%@1497,20%@1497,0%@1497] GR3D_FREQ 0% cpu@49.531C/49.531C soc2@49.562C/49.562C soc0@49.718C/49.718C gpu@49.812C/49.812C tj@49.812C/49.812C soc1@48.781C/48.781C VDD_IN 4824mW/4824mW/4824mW VDD_CPU_GPU_CV 1234mW/1234mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:29 RAM 3515/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.468C/49.531C soc2@49.468C/49.562C soc0@49.812C/49.812C gpu@49.843C/49.843C tj@49.843C/49.843C soc1@48.593C/48.781C VDD_IN 4704mW/4764mW/4824mW VDD_CPU_GPU_CV 1156mW/1195mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:29 RAM 3516/7486MB (lfb 17x4MB) CPU [0%@1497,18%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 2% cpu@49.843C/49.843C soc2@49.5C/49.562C soc0@49.843C/49.843C gpu@49.781C/49.843C tj@49.843C/49.843C soc1@48.625C/48.781C VDD_IN 4625mW/4718mW/4824mW VDD_CPU_GPU_CV 1076mW/1155mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:29 RAM 3516/7486MB (lfb 17x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.75C/49.843C soc2@49.593C/49.593C soc0@49.687C/49.843C gpu@49.781C/49.843C tj@49.781C/49.843C soc1@48.687C/48.781C VDD_IN 4552mW/4676mW/4824mW VDD_CPU_GPU_CV 1036mW/1126mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:29 RAM 3516/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.437C/49.843C soc2@49.5C/49.593C soc0@49.687C/49.843C gpu@50.125C/50.125C tj@50.125C/50.125C soc1@48.75C/48.781C VDD_IN 4472mW/4635mW/4824mW VDD_CPU_GPU_CV 996mW/1100mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:29 RAM 3516/7486MB (lfb 17x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,8%@1497,0%@1497] GR3D_FREQ 0% cpu@49.406C/49.843C soc2@49.468C/49.593C soc0@49.812C/49.843C gpu@49.781C/50.125C tj@49.812C/50.125C soc1@48.562C/48.781C VDD_IN 4392mW/4595mW/4824mW VDD_CPU_GPU_CV 956mW/1076mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:30 RAM 3516/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.718C/49.843C soc2@49.437C/49.593C soc0@49.843C/49.843C gpu@49.625C/50.125C tj@49.843C/50.125C soc1@48.625C/48.781C VDD_IN 4353mW/4560mW/4824mW VDD_CPU_GPU_CV 917mW/1053mW/1234mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 21:17:30 RAM 3516/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.625C/49.843C soc2@49.468C/49.593C soc0@49.593C/49.843C gpu@50.125C/50.125C tj@50.125C/50.125C soc1@48.562C/48.781C VDD_IN 4353mW/4534mW/4824mW VDD_CPU_GPU_CV 918mW/1036mW/1234mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 21:17:30 RAM 3516/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.406C/49.843C soc2@49.5C/49.593C soc0@49.687C/49.843C gpu@49.687C/50.125C tj@49.687C/50.125C soc1@48.687C/48.781C VDD_IN 4313mW/4510mW/4824mW VDD_CPU_GPU_CV 918mW/1023mW/1234mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 21:17:30 RAM 3515/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.437C/49.843C soc2@49.468C/49.593C soc0@49.718C/49.843C gpu@49.656C/50.125C tj@49.718C/50.125C soc1@48.593C/48.781C VDD_IN 4353mW/4494mW/4824mW VDD_CPU_GPU_CV 878mW/1008mW/1234mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 21:17:30 RAM 3515/7486MB (lfb 17x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.625C/49.843C soc2@49.468C/49.593C soc0@49.75C/49.843C gpu@50.031C/50.125C tj@50.031C/50.125C soc1@48.593C/48.781C VDD_IN 4353mW/4481mW/4824mW VDD_CPU_GPU_CV 877mW/997mW/1234mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 21:17:30 RAM 3515/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.687C/49.843C soc2@49.375C/49.593C soc0@49.687C/49.843C gpu@49.687C/50.125C tj@49.687C/50.125C soc1@48.687C/48.781C VDD_IN 4353mW/4471mW/4824mW VDD_CPU_GPU_CV 877mW/987mW/1234mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 21:17:30 RAM 3515/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.718C/49.843C soc2@49.468C/49.593C soc0@49.593C/49.843C gpu@49.625C/50.125C tj@49.718C/50.125C soc1@48.718C/48.781C VDD_IN 4313mW/4458mW/4824mW VDD_CPU_GPU_CV 877mW/978mW/1234mW VDD_SOC 1357mW/1356mW/1357mW
