09-18-2026 21:17:31 RAM 3514/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,18%@1497,10%@1497,9%@1497,9%@1497] GR3D_FREQ 0% cpu@49.375C/49.375C soc2@49.562C/49.562C soc0@49.656C/49.656C gpu@49.843C/49.843C tj@49.843C/49.843C soc1@48.687C/48.687C VDD_IN 4864mW/4864mW/4864mW VDD_CPU_GPU_CV 1234mW/1234mW/1234mW VDD_SOC 1353mW/1353mW/1353mW
09-18-2026 21:17:31 RAM 3514/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.5C/49.5C soc2@49.343C/49.562C soc0@49.687C/49.687C gpu@49.656C/49.843C tj@49.781C/49.843C soc1@48.593C/48.687C VDD_IN 4744mW/4804mW/4864mW VDD_CPU_GPU_CV 1154mW/1194mW/1234mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 21:17:31 RAM 3514/7486MB (lfb 17x4MB) CPU [0%@1497,18%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 2% cpu@49.562C/49.562C soc2@49.468C/49.562C soc0@49.781C/49.781C gpu@49.937C/49.937C tj@49.937C/49.937C soc1@48.5C/48.687C VDD_IN 4665mW/4758mW/4864mW VDD_CPU_GPU_CV 1076mW/1155mW/1234mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 21:17:31 RAM 3514/7486MB (lfb 17x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.562C/49.562C soc2@49.468C/49.562C soc0@49.625C/49.781C gpu@49.75C/49.937C tj@49.75C/49.937C soc1@48.593C/48.687C VDD_IN 4585mW/4715mW/4864mW VDD_CPU_GPU_CV 1036mW/1125mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:31 RAM 3514/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.531C/49.562C soc2@49.468C/49.562C soc0@49.562C/49.781C gpu@50.062C/50.062C tj@50.062C/50.062C soc1@48.718C/48.718C VDD_IN 4505mW/4673mW/4864mW VDD_CPU_GPU_CV 996mW/1099mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:31 RAM 3514/7486MB (lfb 17x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 3% cpu@49.406C/49.562C soc2@49.406C/49.562C soc0@49.656C/49.781C gpu@49.906C/50.062C tj@49.906C/50.062C soc1@48.468C/48.718C VDD_IN 4472mW/4639mW/4864mW VDD_CPU_GPU_CV 956mW/1075mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:31 RAM 3514/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.5C/49.562C soc2@49.406C/49.562C soc0@49.656C/49.781C gpu@49.781C/50.062C tj@49.781C/50.062C soc1@48.562C/48.718C VDD_IN 4432mW/4610mW/4864mW VDD_CPU_GPU_CV 956mW/1058mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:32 RAM 3514/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.531C/49.562C soc2@49.375C/49.562C soc0@49.562C/49.781C gpu@50.031C/50.062C tj@50.031C/50.062C soc1@48.531C/48.718C VDD_IN 4392mW/4582mW/4864mW VDD_CPU_GPU_CV 917mW/1041mW/1234mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:32 RAM 3514/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.687C/49.687C soc2@49.437C/49.562C soc0@49.562C/49.781C gpu@49.812C/50.062C tj@49.812C/50.062C soc1@48.562C/48.718C VDD_IN 4353mW/4557mW/4864mW VDD_CPU_GPU_CV 917mW/1027mW/1234mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 21:17:32 RAM 3514/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.281C/49.687C soc2@49.437C/49.562C soc0@49.656C/49.781C gpu@49.75C/50.062C tj@49.75C/50.062C soc1@48.75C/48.75C VDD_IN 4313mW/4533mW/4864mW VDD_CPU_GPU_CV 877mW/1012mW/1234mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 21:17:32 RAM 3513/7486MB (lfb 17x4MB) CPU [0%@1497,0%@1497,20%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.5C/49.687C soc2@49.406C/49.562C soc0@49.656C/49.781C gpu@49.968C/50.062C tj@49.968C/50.062C soc1@48.5C/48.75C VDD_IN 4353mW/4516mW/4864mW VDD_CPU_GPU_CV 917mW/1003mW/1234mW VDD_SOC 1357mW/1355mW/1357mW
