09-18-2026 21:17:23 RAM 3515/7486MB (lfb 18x4MB) CPU [33%@1497,18%@1497,40%@1497,0%@1497,11%@1497,0%@1497] GR3D_FREQ 0% cpu@49.968C/49.968C soc2@49.968C/49.968C soc0@50C/50C gpu@50.093C/50.093C tj@50.093C/50.093C soc1@49.093C/49.093C VDD_IN 5015mW/5015mW/5015mW VDD_CPU_GPU_CV 1393mW/1393mW/1393mW VDD_SOC 1353mW/1353mW/1353mW
09-18-2026 21:17:23 RAM 3515/7486MB (lfb 18x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.812C/49.968C soc2@49.781C/49.968C soc0@50C/50C gpu@49.968C/50.093C tj@50C/50.093C soc1@48.812C/49.093C VDD_IN 4864mW/4940mW/5015mW VDD_CPU_GPU_CV 1273mW/1333mW/1393mW VDD_SOC 1353mW/1353mW/1353mW
09-18-2026 21:17:23 RAM 3519/7486MB (lfb 18x4MB) CPU [0%@1497,0%@1497,0%@1497,10%@1497,9%@1497,0%@1497] GR3D_FREQ 2% cpu@49.968C/49.968C soc2@49.812C/49.968C soc0@50C/50C gpu@50.531C/50.531C tj@50.531C/50.531C soc1@48.781C/49.093C VDD_IN 4744mW/4874mW/5015mW VDD_CPU_GPU_CV 1194mW/1287mW/1393mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 21:17:23 RAM 3519/7486MB (lfb 18x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.937C/49.968C soc2@49.812C/49.968C soc0@49.937C/50C gpu@50.062C/50.531C tj@50.062C/50.531C soc1@48.906C/49.093C VDD_IN 4625mW/4812mW/5015mW VDD_CPU_GPU_CV 1116mW/1244mW/1393mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 21:17:23 RAM 3519/7486MB (lfb 18x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.718C/49.968C soc2@49.812C/49.968C soc0@49.968C/50C gpu@49.968C/50.531C tj@49.968C/50.531C soc1@49.031C/49.093C VDD_IN 4545mW/4759mW/5015mW VDD_CPU_GPU_CV 1076mW/1210mW/1393mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 21:17:24 RAM 3519/7486MB (lfb 18x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.843C/49.968C soc2@49.875C/49.968C soc0@50.031C/50.031C gpu@50.437C/50.531C tj@50.437C/50.531C soc1@48.843C/49.093C VDD_IN 4512mW/4718mW/5015mW VDD_CPU_GPU_CV 1036mW/1181mW/1393mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 21:17:24 RAM 3519/7486MB (lfb 18x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.875C/49.968C soc2@49.812C/49.968C soc0@50.125C/50.125C gpu@50.281C/50.531C tj@50.281C/50.531C soc1@48.875C/49.093C VDD_IN 4472mW/4682mW/5015mW VDD_CPU_GPU_CV 996mW/1155mW/1393mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 21:17:24 RAM 3518/7486MB (lfb 18x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.937C/49.968C soc2@49.718C/49.968C soc0@49.906C/50.125C gpu@49.875C/50.531C tj@49.937C/50.531C soc1@48.812C/49.093C VDD_IN 4392mW/4646mW/5015mW VDD_CPU_GPU_CV 956mW/1130mW/1393mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:24 RAM 3518/7486MB (lfb 18x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.687C/49.968C soc2@49.781C/49.968C soc0@49.937C/50.125C gpu@50.281C/50.531C tj@50.281C/50.531C soc1@49C/49.093C VDD_IN 4353mW/4614mW/5015mW VDD_CPU_GPU_CV 917mW/1106mW/1393mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:24 RAM 3518/7486MB (lfb 18x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.718C/49.968C soc2@49.718C/49.968C soc0@49.906C/50.125C gpu@49.937C/50.531C tj@49.937C/50.531C soc1@49C/49.093C VDD_IN 4353mW/4588mW/5015mW VDD_CPU_GPU_CV 917mW/1087mW/1393mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:17:24 RAM 3518/7486MB (lfb 18x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.812C/49.968C soc2@49.656C/49.968C soc0@50C/50.125C gpu@49.906C/50.531C tj@50C/50.531C soc1@48.781C/49.093C VDD_IN 4313mW/4563mW/5015mW VDD_CPU_GPU_CV 877mW/1068mW/1393mW VDD_SOC 1357mW/1355mW/1357mW
