09-18-2026 21:27:58 RAM 3585/7486MB (lfb 5x4MB) CPU [18%@1497,0%@1497,9%@1497,0%@1497,10%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.187C soc2@47C/47C soc0@47.468C/47.468C gpu@47.406C/47.406C tj@47.468C/47.468C soc1@46.187C/46.187C VDD_IN 4904mW/4904mW/4904mW VDD_CPU_GPU_CV 1275mW/1275mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:58 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@47.25C/47.25C soc2@46.968C/47C soc0@47.156C/47.468C gpu@47.312C/47.406C tj@47.312C/47.468C soc1@46.25C/46.25C VDD_IN 4784mW/4844mW/4904mW VDD_CPU_GPU_CV 1196mW/1236mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:58 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,18%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 4% cpu@47.312C/47.312C soc2@47.062C/47.062C soc0@47.25C/47.468C gpu@47.218C/47.406C tj@47.312C/47.468C soc1@46.312C/46.312C VDD_IN 4672mW/4787mW/4904mW VDD_CPU_GPU_CV 1116mW/1196mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:58 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.312C soc2@47C/47.062C soc0@47.281C/47.468C gpu@47.312C/47.406C tj@47.281C/47.468C soc1@46.156C/46.312C VDD_IN 4552mW/4728mW/4904mW VDD_CPU_GPU_CV 1076mW/1166mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:58 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.312C soc2@46.968C/47.062C soc0@47.343C/47.468C gpu@47.281C/47.406C tj@47.343C/47.468C soc1@46.187C/46.312C VDD_IN 4472mW/4677mW/4904mW VDD_CPU_GPU_CV 998mW/1132mW/1275mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 21:27:58 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.156C/47.312C soc2@46.968C/47.062C soc0@47.218C/47.468C gpu@47.187C/47.406C tj@47.218C/47.468C soc1@46.218C/46.312C VDD_IN 4432mW/4636mW/4904mW VDD_CPU_GPU_CV 958mW/1103mW/1275mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 21:27:58 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.156C/47.312C soc2@47C/47.062C soc0@47.281C/47.468C gpu@47.281C/47.406C tj@47.281C/47.468C soc1@46.281C/46.312C VDD_IN 4392mW/4601mW/4904mW VDD_CPU_GPU_CV 958mW/1082mW/1275mW VDD_SOC 1317mW/1350mW/1357mW
09-18-2026 21:27:58 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.312C soc2@46.843C/47.062C soc0@47.218C/47.468C gpu@47.281C/47.406C tj@47.281C/47.468C soc1@46.281C/46.312C VDD_IN 4353mW/4570mW/4904mW VDD_CPU_GPU_CV 918mW/1062mW/1275mW VDD_SOC 1317mW/1346mW/1357mW
09-18-2026 21:27:58 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.312C soc2@46.906C/47.062C soc0@47.25C/47.468C gpu@47.187C/47.406C tj@47.25C/47.468C soc1@46.062C/46.312C VDD_IN 4313mW/4542mW/4904mW VDD_CPU_GPU_CV 918mW/1046mW/1275mW VDD_SOC 1317mW/1343mW/1357mW
09-18-2026 21:27:59 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.312C soc2@46.937C/47.062C soc0@47.343C/47.468C gpu@47.281C/47.406C tj@47.343C/47.468C soc1@46.156C/46.312C VDD_IN 4313mW/4519mW/4904mW VDD_CPU_GPU_CV 878mW/1029mW/1275mW VDD_SOC 1317mW/1340mW/1357mW
09-18-2026 21:27:59 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.312C soc2@46.906C/47.062C soc0@47.187C/47.468C gpu@47.218C/47.406C tj@47.218C/47.468C soc1@46.187C/46.312C VDD_IN 4313mW/4500mW/4904mW VDD_CPU_GPU_CV 878mW/1015mW/1275mW VDD_SOC 1317mW/1338mW/1357mW
