09-18-2026 21:28:00 RAM 3583/7486MB (lfb 5x4MB) CPU [18%@1497,0%@1497,0%@1497,8%@1497,9%@1497,9%@1497] GR3D_FREQ 0% cpu@47.156C/47.156C soc2@46.937C/46.937C soc0@47.343C/47.343C gpu@47.468C/47.468C tj@47.468C/47.468C soc1@46.187C/46.187C VDD_IN 4864mW/4864mW/4864mW VDD_CPU_GPU_CV 1275mW/1275mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:28:00 RAM 3583/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.156C soc2@47C/47C soc0@47.125C/47.343C gpu@47.281C/47.468C tj@47.281C/47.468C soc1@46.25C/46.25C VDD_IN 4752mW/4808mW/4864mW VDD_CPU_GPU_CV 1156mW/1216mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:28:00 RAM 3583/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,10%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.156C soc2@47.031C/47.031C soc0@47.187C/47.343C gpu@47.562C/47.562C tj@47.562C/47.562C soc1@46.093C/46.25C VDD_IN 4632mW/4749mW/4864mW VDD_CPU_GPU_CV 1116mW/1182mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:28:00 RAM 3583/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.875C/47.156C soc2@46.875C/47.031C soc0@47.312C/47.343C gpu@47.375C/47.562C tj@47.375C/47.562C soc1@46.187C/46.25C VDD_IN 4552mW/4700mW/4864mW VDD_CPU_GPU_CV 1036mW/1146mW/1275mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 21:28:00 RAM 3583/7486MB (lfb 5x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,8%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.156C soc2@46.968C/47.031C soc0@47.406C/47.406C gpu@47.312C/47.562C tj@47.406C/47.562C soc1@46.156C/46.25C VDD_IN 4472mW/4654mW/4864mW VDD_CPU_GPU_CV 998mW/1116mW/1275mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 21:28:00 RAM 3583/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.156C/47.156C soc2@46.968C/47.031C soc0@47.187C/47.406C gpu@47.5C/47.562C tj@47.5C/47.562C soc1@46.156C/46.25C VDD_IN 4432mW/4617mW/4864mW VDD_CPU_GPU_CV 958mW/1090mW/1275mW VDD_SOC 1317mW/1349mW/1357mW
09-18-2026 21:28:00 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,27%@1497,0%@1497,18%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.156C soc2@47C/47.031C soc0@47.25C/47.406C gpu@47.343C/47.562C tj@47.343C/47.562C soc1@46.312C/46.312C VDD_IN 4472mW/4597mW/4864mW VDD_CPU_GPU_CV 998mW/1077mW/1275mW VDD_SOC 1357mW/1350mW/1357mW
09-18-2026 21:28:00 RAM 3585/7486MB (lfb 5x4MB) CPU [9%@1497,0%@1497,9%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.156C soc2@46.843C/47.031C soc0@47.281C/47.406C gpu@47.218C/47.562C tj@47.281C/47.562C soc1@46.125C/46.312C VDD_IN 4432mW/4576mW/4864mW VDD_CPU_GPU_CV 998mW/1067mW/1275mW VDD_SOC 1317mW/1346mW/1357mW
09-18-2026 21:28:00 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.156C soc2@46.843C/47.031C soc0@47.375C/47.406C gpu@47.406C/47.562C tj@47.406C/47.562C soc1@46.156C/46.312C VDD_IN 4353mW/4551mW/4864mW VDD_CPU_GPU_CV 958mW/1055mW/1275mW VDD_SOC 1317mW/1343mW/1357mW
09-18-2026 21:28:01 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.156C soc2@46.968C/47.031C soc0@47.125C/47.406C gpu@47.343C/47.562C tj@47.343C/47.562C soc1@46.125C/46.312C VDD_IN 4353mW/4531mW/4864mW VDD_CPU_GPU_CV 918mW/1041mW/1275mW VDD_SOC 1317mW/1340mW/1357mW
09-18-2026 21:28:01 RAM 3585/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/47.156C soc2@46.937C/47.031C soc0@47.25C/47.406C gpu@47.187C/47.562C tj@47.25C/47.562C soc1@46.187C/46.312C VDD_IN 4320mW/4512mW/4864mW VDD_CPU_GPU_CV 918mW/1030mW/1275mW VDD_SOC 1317mW/1338mW/1357mW
