09-18-2026 21:28:06 RAM 3581/7486MB (lfb 5x4MB) CPU [20%@1497,44%@1497,0%@1497,10%@1497,0%@1497,30%@1497] GR3D_FREQ 0% cpu@47.093C/47.093C soc2@46.843C/46.843C soc0@47.25C/47.25C gpu@47.218C/47.218C tj@47.25C/47.25C soc1@46.062C/46.062C VDD_IN 4944mW/4944mW/4944mW VDD_CPU_GPU_CV 1313mW/1313mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:28:06 RAM 3581/7486MB (lfb 5x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47.093C soc2@46.843C/46.843C soc0@47.156C/47.25C gpu@47.156C/47.218C tj@47.156C/47.25C soc1@46.093C/46.093C VDD_IN 4864mW/4904mW/4944mW VDD_CPU_GPU_CV 1236mW/1275mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:28:06 RAM 3581/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,9%@1497,27%@1497,0%@1497,0%@1497] GR3D_FREQ 3% cpu@47.062C/47.093C soc2@46.937C/46.937C soc0@47.093C/47.25C gpu@47.625C/47.625C tj@47.625C/47.625C soc1@46.156C/46.156C VDD_IN 4784mW/4864mW/4944mW VDD_CPU_GPU_CV 1156mW/1235mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:28:06 RAM 3581/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47.093C soc2@46.906C/46.937C soc0@47.187C/47.25C gpu@47.156C/47.625C tj@47.375C/47.625C soc1@46.218C/46.218C VDD_IN 4632mW/4806mW/4944mW VDD_CPU_GPU_CV 1116mW/1205mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:28:06 RAM 3581/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.093C soc2@46.843C/46.937C soc0@47.187C/47.25C gpu@47.125C/47.625C tj@47.187C/47.625C soc1@46.031C/46.218C VDD_IN 4552mW/4755mW/4944mW VDD_CPU_GPU_CV 1036mW/1171mW/1313mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:28:06 RAM 3581/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.093C soc2@46.812C/46.937C soc0@47.187C/47.25C gpu@47.437C/47.625C tj@47.437C/47.625C soc1@46.062C/46.218C VDD_IN 4472mW/4708mW/4944mW VDD_CPU_GPU_CV 998mW/1143mW/1313mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 21:28:06 RAM 3581/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47.093C soc2@46.843C/46.937C soc0@47.218C/47.25C gpu@47.093C/47.625C tj@47.218C/47.625C soc1@46.218C/46.218C VDD_IN 4432mW/4669mW/4944mW VDD_CPU_GPU_CV 958mW/1116mW/1313mW VDD_SOC 1317mW/1350mW/1357mW
09-18-2026 21:28:06 RAM 3581/7486MB (lfb 5x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47.093C soc2@46.968C/46.968C soc0@47.156C/47.25C gpu@47.125C/47.625C tj@47.156C/47.625C soc1@46.156C/46.218C VDD_IN 4353mW/4629mW/4944mW VDD_CPU_GPU_CV 918mW/1091mW/1313mW VDD_SOC 1317mW/1346mW/1357mW
09-18-2026 21:28:06 RAM 3582/7486MB (lfb 5x4MB) CPU [11%@1497,0%@1497,27%@1497,18%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@46.937C/47.093C soc2@46.812C/46.968C soc0@47.156C/47.25C gpu@47.437C/47.625C tj@47.437C/47.625C soc1@46C/46.218C VDD_IN 4432mW/4607mW/4944mW VDD_CPU_GPU_CV 998mW/1081mW/1313mW VDD_SOC 1317mW/1343mW/1357mW
09-18-2026 21:28:06 RAM 3581/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.093C soc2@46.718C/46.968C soc0@47.187C/47.25C gpu@47.093C/47.625C tj@47.187C/47.625C soc1@46.062C/46.218C VDD_IN 4392mW/4586mW/4944mW VDD_CPU_GPU_CV 958mW/1069mW/1313mW VDD_SOC 1317mW/1340mW/1357mW
09-18-2026 21:28:07 RAM 3581/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.093C soc2@46.843C/46.968C soc0@47.093C/47.25C gpu@47.031C/47.625C tj@47.093C/47.625C soc1@46.062C/46.218C VDD_IN 4353mW/4565mW/4944mW VDD_CPU_GPU_CV 918mW/1055mW/1313mW VDD_SOC 1317mW/1338mW/1357mW
