09-18-2026 21:27:56 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,18%@1497,0%@1497,18%@1497,9%@1497] GR3D_FREQ 0% cpu@47C/47C soc2@46.937C/46.937C soc0@47.312C/47.312C gpu@47.312C/47.312C tj@47.312C/47.312C soc1@46.343C/46.343C VDD_IN 4864mW/4864mW/4864mW VDD_CPU_GPU_CV 1275mW/1275mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:56 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.031C soc2@47.031C/47.031C soc0@47.437C/47.437C gpu@47.281C/47.312C tj@47.437C/47.437C soc1@46.218C/46.343C VDD_IN 4744mW/4804mW/4864mW VDD_CPU_GPU_CV 1156mW/1216mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:56 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,10%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.281C/47.281C soc2@46.937C/47.031C soc0@47.5C/47.5C gpu@47.375C/47.375C tj@47.5C/47.5C soc1@46.25C/46.343C VDD_IN 4632mW/4747mW/4864mW VDD_CPU_GPU_CV 1116mW/1182mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:56 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@47.281C/47.281C soc2@47.062C/47.062C soc0@47.187C/47.5C gpu@47.281C/47.375C tj@47.281C/47.5C soc1@46.312C/46.343C VDD_IN 4552mW/4698mW/4864mW VDD_CPU_GPU_CV 1076mW/1156mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:56 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,9%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.281C soc2@47.125C/47.125C soc0@47.343C/47.5C gpu@47.312C/47.375C tj@47.343C/47.5C soc1@46.312C/46.343C VDD_IN 4512mW/4661mW/4864mW VDD_CPU_GPU_CV 996mW/1124mW/1275mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 21:27:56 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.281C soc2@46.906C/47.125C soc0@47.281C/47.5C gpu@47.406C/47.406C tj@47.406C/47.5C soc1@46.25C/46.343C VDD_IN 4472mW/4629mW/4864mW VDD_CPU_GPU_CV 956mW/1096mW/1275mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 21:27:56 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,8%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.281C soc2@47C/47.125C soc0@47.375C/47.5C gpu@47.25C/47.406C tj@47.375C/47.5C soc1@46.218C/46.343C VDD_IN 4392mW/4595mW/4864mW VDD_CPU_GPU_CV 958mW/1076mW/1275mW VDD_SOC 1317mW/1350mW/1357mW
09-18-2026 21:27:56 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.281C soc2@47.031C/47.125C soc0@47.25C/47.5C gpu@47.187C/47.406C tj@47.25C/47.5C soc1@46.218C/46.343C VDD_IN 4353mW/4565mW/4864mW VDD_CPU_GPU_CV 918mW/1056mW/1275mW VDD_SOC 1317mW/1346mW/1357mW
09-18-2026 21:27:56 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,8%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.875C/47.281C soc2@47.031C/47.125C soc0@47.25C/47.5C gpu@47.343C/47.406C tj@47.343C/47.5C soc1@46.343C/46.343C VDD_IN 4313mW/4537mW/4864mW VDD_CPU_GPU_CV 918mW/1041mW/1275mW VDD_SOC 1317mW/1343mW/1357mW
09-18-2026 21:27:57 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.281C soc2@46.906C/47.125C soc0@47.281C/47.5C gpu@47.343C/47.406C tj@47.343C/47.5C soc1@46.156C/46.343C VDD_IN 4313mW/4515mW/4864mW VDD_CPU_GPU_CV 878mW/1025mW/1275mW VDD_SOC 1317mW/1340mW/1357mW
09-18-2026 21:27:57 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.281C soc2@46.875C/47.125C soc0@47.437C/47.5C gpu@47.218C/47.406C tj@47.437C/47.5C soc1@46.187C/46.343C VDD_IN 4280mW/4493mW/4864mW VDD_CPU_GPU_CV 878mW/1011mW/1275mW VDD_SOC 1317mW/1338mW/1357mW
09-18-2026 21:27:57 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.281C soc2@46.937C/47.125C soc0@47.218C/47.5C gpu@47.281C/47.406C tj@47.281C/47.5C soc1@46.25C/46.343C VDD_IN 4280mW/4476mW/4864mW VDD_CPU_GPU_CV 878mW/1000mW/1275mW VDD_SOC 1317mW/1336mW/1357mW
09-18-2026 21:27:57 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.125C/47.281C soc2@47C/47.125C soc0@47.187C/47.5C gpu@47.25C/47.406C tj@47.25C/47.5C soc1@46.25C/46.343C VDD_IN 4240mW/4457mW/4864mW VDD_CPU_GPU_CV 838mW/988mW/1275mW VDD_SOC 1317mW/1335mW/1357mW
09-18-2026 21:27:57 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.281C soc2@46.875C/47.125C soc0@47.281C/47.5C gpu@47.156C/47.406C tj@47.281C/47.5C soc1@46.312C/46.343C VDD_IN 4240mW/4442mW/4864mW VDD_CPU_GPU_CV 838mW/977mW/1275mW VDD_SOC 1317mW/1334mW/1357mW
09-18-2026 21:27:57 RAM 3584/7486MB (lfb 5x4MB) CPU [16%@1497,80%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 19% cpu@47.156C/47.281C soc2@46.906C/47.125C soc0@47.312C/47.5C gpu@47.343C/47.406C tj@47.343C/47.5C soc1@46.187C/46.343C VDD_IN 4392mW/4439mW/4864mW VDD_CPU_GPU_CV 958mW/976mW/1275mW VDD_SOC 1357mW/1335mW/1357mW
09-18-2026 21:27:57 RAM 3584/7486MB (lfb 5x4MB) CPU [20%@1497,100%@1497,11%@1497,40%@1497,0%@1497,0%@1497] GR3D_FREQ 20% cpu@47.593C/47.593C soc2@47C/47.125C soc0@47.343C/47.5C gpu@47.343C/47.406C tj@47.593C/47.593C soc1@46.218C/46.343C VDD_IN 4672mW/4453mW/4864mW VDD_CPU_GPU_CV 1196mW/990mW/1275mW VDD_SOC 1355mW/1336mW/1357mW
09-18-2026 21:27:57 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,100%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 19% cpu@47.406C/47.593C soc2@47.031C/47.125C soc0@47.218C/47.5C gpu@47.25C/47.406C tj@47.406C/47.593C soc1@46.25C/46.343C VDD_IN 4832mW/4475mW/4864mW VDD_CPU_GPU_CV 1275mW/1006mW/1275mW VDD_SOC 1355mW/1337mW/1357mW
09-18-2026 21:27:57 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,100%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 19% cpu@47.156C/47.593C soc2@46.968C/47.125C soc0@47.25C/47.5C gpu@47.625C/47.625C tj@47.625C/47.625C soc1@46.156C/46.343C VDD_IN 4904mW/4499mW/4904mW VDD_CPU_GPU_CV 1355mW/1026mW/1355mW VDD_SOC 1355mW/1338mW/1357mW
