09-18-2026 21:27:54 RAM 3584/7486MB (lfb 5x4MB) CPU [9%@1497,0%@1497,0%@1497,10%@1497,20%@1497,0%@1497] GR3D_FREQ 0% cpu@47.218C/47.218C soc2@47.062C/47.062C soc0@47.437C/47.437C gpu@47.406C/47.406C tj@47.437C/47.437C soc1@46.312C/46.312C VDD_IN 5063mW/5063mW/5063mW VDD_CPU_GPU_CV 1433mW/1433mW/1433mW VDD_SOC 1353mW/1353mW/1353mW
09-18-2026 21:27:54 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.218C soc2@47.125C/47.125C soc0@47.312C/47.437C gpu@47.343C/47.406C tj@47.343C/47.437C soc1@46.312C/46.312C VDD_IN 4904mW/4984mW/5063mW VDD_CPU_GPU_CV 1273mW/1353mW/1433mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 21:27:54 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,10%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 3% cpu@47.187C/47.218C soc2@47.093C/47.125C soc0@47.312C/47.437C gpu@47.281C/47.406C tj@47.312C/47.437C soc1@46.343C/46.343C VDD_IN 4744mW/4904mW/5063mW VDD_CPU_GPU_CV 1196mW/1301mW/1433mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 21:27:54 RAM 3583/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.218C soc2@47.031C/47.125C soc0@47.437C/47.437C gpu@47.312C/47.406C tj@47.437C/47.437C soc1@46.281C/46.343C VDD_IN 4632mW/4836mW/5063mW VDD_CPU_GPU_CV 1116mW/1255mW/1433mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:54 RAM 3583/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.218C soc2@47.031C/47.125C soc0@47.343C/47.437C gpu@47.25C/47.406C tj@47.343C/47.437C soc1@46.218C/46.343C VDD_IN 4552mW/4779mW/5063mW VDD_CPU_GPU_CV 1036mW/1211mW/1433mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:54 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,41%@1497,25%@1497,33%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.187C/47.218C soc2@47.062C/47.125C soc0@47.281C/47.437C gpu@47.75C/47.75C tj@47.75C/47.75C soc1@46.25C/46.343C VDD_IN 4592mW/4748mW/5063mW VDD_CPU_GPU_CV 1076mW/1188mW/1433mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:27:54 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.218C soc2@47.062C/47.125C soc0@47.375C/47.437C gpu@47.281C/47.75C tj@47.375C/47.75C soc1@46.312C/46.343C VDD_IN 4512mW/4714mW/5063mW VDD_CPU_GPU_CV 1036mW/1167mW/1433mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 21:27:54 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.218C soc2@47C/47.125C soc0@47.343C/47.437C gpu@47.25C/47.75C tj@47.343C/47.75C soc1@46.375C/46.375C VDD_IN 4432mW/4679mW/5063mW VDD_CPU_GPU_CV 998mW/1146mW/1433mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 21:27:54 RAM 3584/7486MB (lfb 5x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.218C soc2@46.968C/47.125C soc0@47.281C/47.437C gpu@47.562C/47.75C tj@47.562C/47.75C soc1@46.25C/46.375C VDD_IN 4392mW/4647mW/5063mW VDD_CPU_GPU_CV 958mW/1125mW/1433mW VDD_SOC 1317mW/1351mW/1357mW
09-18-2026 21:27:55 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.218C soc2@46.937C/47.125C soc0@47.375C/47.437C gpu@47.156C/47.75C tj@47.375C/47.75C soc1@46.281C/46.375C VDD_IN 4353mW/4618mW/5063mW VDD_CPU_GPU_CV 918mW/1104mW/1433mW VDD_SOC 1317mW/1348mW/1357mW
09-18-2026 21:27:55 RAM 3584/7486MB (lfb 5x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.218C soc2@47.031C/47.125C soc0@47.281C/47.437C gpu@47.187C/47.75C tj@47.187C/47.75C soc1@46.281C/46.375C VDD_IN 4313mW/4590mW/5063mW VDD_CPU_GPU_CV 918mW/1087mW/1433mW VDD_SOC 1317mW/1345mW/1357mW
