scenario,record,engine,engine_key,backend,pow_pre_reports,pow_post_reports,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,samples,p_in_mw_mean,p_in_mw_max,p_cpu_gpu_cv_mw_mean,gpu_util_pct_mean,cpu_util_pct_mean,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
multi,7,GridStream,gs,gpu,6,12,16,96,1,7692.0,0.2329693187727509,1.0,27,27,10764.372321415067,10839.455529566585,10839.624885253215,10787.233028228002,10861.92755746306,10863.674505268136,8.333333333333334,16.640665626625065,123421.78886762768,9.348806912,11.092523218001588,0.9991702037152251,1305.4422857142856,1305.4422857142856,23629.824000000004,18.1010101010101,0,119,4815.924369747899,5135,1219.3193277310925,0.8487394957983193,13.554621848739496,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,,1000000.0,6,2
multi,7,Fixed margin,fixed,gpu,6,12,16,96,1,7692.0,0.2329693187727509,1.0,27,25,86.48332941265835,163.10932894517464,163.44870825196267,109.40304522773658,185.25438834134548,186.84439126627694,8.333333333333334,16.640665626625065,1029.870369834599,0.39366246400000016,0.41575982499853126,0.9608311096856045,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,18,4530.666666666667,5015,1051.388888888889,5.222222222222222,5.046296296296297,0.6923076923076924,0.675,0.6428571428571429,0.75,0.6666666666666666,3,2,0,0,0.12280701754385964,0.0,0.0,666667.5714285715,6,2
multi,7,ATE-Q,Q,gpu,6,12,16,96,1,7692.0,0.2329693187727509,1.0,27,25,88.27090041268093,165.2780171455015,165.47734225241584,111.27993022637384,187.69241154142946,189.41169526624435,8.333333333333334,16.640665626625065,1046.2235733890946,0.39520966399999935,0.4183459129999392,0.9586636183225173,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,18,4474.277777777777,4824,1007.3888888888889,4.666666666666667,4.12962962962963,0.75,0.7333333333333334,0.75,0.75,0.6666666666666666,3,2,0,0,0.10526315789473684,0.0,0.0,666667.7222222221,6,2
multi,7,ATE-S,S,gpu,6,12,16,96,1,7692.0,0.2329693187727509,1.0,27,25,85.72516441381595,164.63699172560155,164.92570925220207,108.81250122838537,186.87947762213298,188.51624526723754,8.333333333333334,16.640665626625065,1028.3347249585656,0.3967263679999995,0.41771760799929325,0.9485062057858737,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,18,4476.555555555556,4824,1009.5555555555555,4.055555555555555,4.611111111111111,0.75,0.7333333333333334,0.75,0.75,0.6666666666666666,3,2,0,0,0.10526315789473684,0.0,0.0,666667.7222222221,6,2
multi,7,ATE-M,M,gpu,6,12,16,96,1,7692.0,0.2329693187727509,1.0,27,25,85.7088124139409,162.64796018669585,162.9493992531934,108.79870922872215,184.8659815834253,186.49100626862491,8.333333333333334,16.640665626625065,1023.2703160703143,0.3940791360000002,0.41500293999888527,0.957124005665685,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,18,4487.666666666667,4824,1005.2777777777778,3.888888888888889,4.703703703703704,0.7826086956521738,0.7749999999999999,0.8181818181818182,0.75,0.6666666666666666,3,2,0,0,0.09649122807017545,0.0,0.0,666667.8277777777,6,2
multi,7,ATE-N,N,gpu,6,12,16,96,1,7692.0,0.2329693187727509,1.0,27,25,85.93403441409464,165.07970824597578,165.34949725246406,109.05535622805473,187.35859514272306,189.01283526793122,8.333333333333334,16.640665626625065,1031.08768450895,0.39648649599999963,0.4181487880014174,0.9526884755200881,18177.020142857145,1305.4422857142856,23629.824000000004,1.2999833753986125,1,18,4513.388888888889,4864,1016.0,4.333333333333333,4.537037037037037,0.6666666666666666,0.6826923076923076,0.7777777777777778,0.5833333333333334,0.6666666666666666,3,2,0,0,0.07894736842105263,0.0,0.0,666668.0916666667,6,2
multi,7,ATE-X,X,gpu,6,12,16,96,1,7692.0,0.2329693187727509,1.0,27,25,122.1026274124597,251.73482903355762,252.4750412267167,149.6672402281547,274.58948034225614,277.1760292671388,8.333333333333334,16.640665626625065,1472.9542293975503,0.4926365120000007,0.5147348720001901,0.7589407641673013,18231.138857142858,1305.4422857142856,23629.824000000004,1.296124404797782,1,19,4502.8421052631575,4824,1029.8947368421052,4.157894736842105,5.140350877192983,0.8181818181818182,0.8285714285714285,0.9,0.75,0.6666666666666666,3,2,0,0,0.08771929824561403,0.0,0.0,666667.9861111111,6,2
multi,45,GridStream,gs,gpu,6,12,16,96,1,15385.0,1.9968150796230095,1.0,239,238,875.8723589999136,1701.0888595519646,1713.7285413773498,887.6965490026123,1709.4775132374161,1727.1832050100784,8.333333333333334,8.31979200519987,10464.212228047889,3.669999616,3.733235934001641,0.9672633303247787,1348.1949467790762,1348.1949467790762,47262.719999999994,35.05629516926588,0,49,5246.408163265306,5413,1535.8163265306123,19.244897959183675,16.078231292517007,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,,,1000000.0,6,6
multi,45,Fixed margin,fixed,gpu,6,12,16,96,1,15385.0,1.9968150796230095,1.0,239,238,793.7731439997151,1576.2743991916795,1587.4869113758905,805.4715060025046,1584.6602815971528,1600.941575008619,8.333333333333334,8.31979200519987,9566.838569481783,3.565971328,3.606348748999153,0.9629144174640235,5933.224423684124,1348.1949467790762,47262.719999999994,7.965773182510615,1,48,5019.145833333333,5533,1403.3541666666667,12.625,13.388888888888891,0.9666666666666666,0.9633699633699635,0.9354838709677419,1.0,1.0,6,6,0,0,0.02207977207977208,,0.0,46.52142857142857,6,6
multi,45,ATE-Q,Q,gpu,6,12,16,96,1,15385.0,1.9968150796230095,1.0,239,238,810.183520999999,1615.499039091992,1626.5824643778615,821.8491620027635,1623.8845384474553,1640.03712801059,8.333333333333334,8.31979200519987,9775.607804247447,3.6016223039999993,3.6453136110012565,0.9599338624416178,5933.224423684124,1348.1949467790762,47262.719999999994,7.965773182510615,1,48,4791.708333333333,5811,1435.5,11.458333333333334,14.579861111111112,0.8727272727272727,0.7967032967032966,0.9230769230769231,0.8275862068965517,0.8333333333333334,6,5,0,0,0.01851851851851852,,0.0,166705.3880952381,6,6
