feeder,report,offset_bytes,n_ch,n_samples
6,42,0,6,128
6,43,3072,6,128
6,44,6144,6,128
6,45,9216,6,128
6,46,12288,6,128
6,47,15360,6,128
6,48,18432,6,128
6,49,21504,6,128
6,50,24576,6,128
6,51,27648,6,128
6,52,30720,6,128
6,53,33792,6,128
6,54,36864,6,128
6,55,39936,6,128
6,56,43008,6,128
6,57,46080,6,128
6,58,49152,6,128
6,59,52224,6,128
1,54,55296,6,128
1,55,58368,6,128
1,56,61440,6,128
1,57,64512,6,128
1,58,67584,6,128
1,59,70656,6,128
1,60,73728,6,128
6,60,76800,6,128
1,61,79872,6,128
6,61,82944,6,128
1,62,86016,6,128
6,62,89088,6,128
1,63,92160,6,128
6,63,95232,6,128
1,64,98304,6,128
1,65,101376,6,128
1,66,104448,6,128
1,67,107520,6,128
1,68,110592,6,128
1,69,113664,6,128
1,70,116736,6,128
1,71,119808,6,128
1,72,122880,6,128
1,73,125952,6,128
1,74,129024,6,128
1,75,132096,6,128
1,76,135168,6,128
1,77,138240,6,128
7,83,141312,6,128
7,84,144384,6,128
7,85,147456,6,128
7,86,150528,6,128
7,87,153600,6,128
7,88,156672,6,128
7,89,159744,6,128
7,90,162816,6,128
7,91,165888,6,128
7,92,168960,6,128
7,93,172032,6,128
7,94,175104,6,128
7,95,178176,6,128
7,96,181248,6,128
7,97,184320,6,128
7,98,187392,6,128
7,99,190464,6,128
7,100,193536,6,128
7,101,196608,6,128
7,102,199680,6,128
7,103,202752,6,128
7,104,205824,6,128
0,234,208896,6,128
0,235,211968,6,128
0,236,215040,6,128
0,237,218112,6,128
0,238,221184,6,128
0,239,224256,6,128
0,240,227328,6,128
0,241,230400,6,128
0,242,233472,6,128
0,243,236544,6,128
0,244,239616,6,128
0,245,242688,6,128
0,246,245760,6,128
0,247,248832,6,128
0,248,251904,6,128
0,249,254976,6,128
0,250,258048,6,128
0,251,261120,6,128
0,252,264192,6,128
0,253,267264,6,128
0,254,270336,6,128
0,255,273408,6,128
0,256,276480,6,128
0,257,279552,6,128
6,283,282624,6,128
6,284,285696,6,128
6,285,288768,6,128
6,286,291840,6,128
6,287,294912,6,128
6,288,297984,6,128
6,289,301056,6,128
6,290,304128,6,128
6,291,307200,6,128
6,292,310272,6,128
6,293,313344,6,128
6,294,316416,6,128
6,295,319488,6,128
6,296,322560,6,128
6,297,325632,6,128
6,298,328704,6,128
6,299,331776,6,128
6,300,334848,6,128
6,301,337920,6,128
6,302,340992,6,128
6,303,344064,6,128
6,304,347136,6,128
6,305,350208,6,128
6,306,353280,6,128
4,316,356352,6,128
4,317,359424,6,128
4,318,362496,6,128
4,319,365568,6,128
4,320,368640,6,128
4,321,371712,6,128
4,322,374784,6,128
4,323,377856,6,128
4,324,380928,6,128
4,325,384000,6,128
4,326,387072,6,128
4,327,390144,6,128
4,328,393216,6,128
4,329,396288,6,128
4,330,399360,6,128
7,324,402432,6,128
7,325,405504,6,128
7,326,408576,6,128
7,327,411648,6,128
7,328,414720,6,128
7,329,417792,6,128
7,330,420864,6,128
4,331,423936,6,128
7,331,427008,6,128
4,332,430080,6,128
7,332,433152,6,128
4,333,436224,6,128
7,333,439296,6,128
4,334,442368,6,128
7,334,445440,6,128
4,335,448512,6,128
7,335,451584,6,128
4,336,454656,6,128
7,336,457728,6,128
4,337,460800,6,128
7,337,463872,6,128
7,338,466944,6,128
7,339,470016,6,128
7,340,473088,6,128
7,341,476160,6,128
7,342,479232,6,128
7,343,482304,6,128
7,344,485376,6,128
7,345,488448,6,128
7,346,491520,6,128
7,347,494592,6,128
5,362,497664,6,128
5,363,500736,6,128
5,364,503808,6,128
5,365,506880,6,128
5,366,509952,6,128
5,367,513024,6,128
5,368,516096,6,128
5,369,519168,6,128
5,370,522240,6,128
5,371,525312,6,128
5,372,528384,6,128
5,373,531456,6,128
5,374,534528,6,128
5,375,537600,6,128
5,376,540672,6,128
5,377,543744,6,128
5,378,546816,6,128
5,379,549888,6,128
5,380,552960,6,128
5,381,556032,6,128
5,382,559104,6,128
5,383,562176,6,128
4,557,565248,6,128
4,558,568320,6,128
4,559,571392,6,128
4,560,574464,6,128
4,561,577536,6,128
4,562,580608,6,128
4,563,583680,6,128
4,564,586752,6,128
4,565,589824,6,128
4,566,592896,6,128
4,567,595968,6,128
4,568,599040,6,128
4,569,602112,6,128
4,570,605184,6,128
4,571,608256,6,128
4,572,611328,6,128
4,573,614400,6,128
4,574,617472,6,128
4,575,620544,6,128
4,576,623616,6,128
4,577,626688,6,128
4,578,629760,6,128
4,579,632832,6,128
4,580,635904,6,128
5,603,638976,6,128
5,604,642048,6,128
5,605,645120,6,128
5,606,648192,6,128
5,607,651264,6,128
5,608,654336,6,128
5,609,657408,6,128
5,610,660480,6,128
5,611,663552,6,128
3,606,666624,6,128
3,607,669696,6,128
3,608,672768,6,128
3,609,675840,6,128
3,610,678912,6,128
3,611,681984,6,128
3,612,685056,6,128
5,612,688128,6,128
3,613,691200,6,128
5,613,694272,6,128
3,614,697344,6,128
5,614,700416,6,128
3,615,703488,6,128
5,615,706560,6,128
3,616,709632,6,128
5,616,712704,6,128
3,617,715776,6,128
5,617,718848,6,128
3,618,721920,6,128
5,618,724992,6,128
3,619,728064,6,128
5,619,731136,6,128
3,620,734208,6,128
5,620,737280,6,128
3,621,740352,6,128
5,621,743424,6,128
3,622,746496,6,128
5,622,749568,6,128
3,623,752640,6,128
5,623,755712,6,128
3,624,758784,6,128
5,624,761856,6,128
3,625,764928,6,128
5,625,768000,6,128
3,626,771072,6,128
5,626,774144,6,128
3,627,777216,6,128
2,757,780288,6,128
2,758,783360,6,128
2,759,786432,6,128
2,760,789504,6,128
2,761,792576,6,128
2,762,795648,6,128
2,763,798720,6,128
2,764,801792,6,128
2,765,804864,6,128
2,766,807936,6,128
2,767,811008,6,128
2,768,814080,6,128
2,769,817152,6,128
2,770,820224,6,128
2,771,823296,6,128
2,772,826368,6,128
2,773,829440,6,128
2,774,832512,6,128
2,775,835584,6,128
2,776,838656,6,128
2,777,841728,6,128
2,778,844800,6,128
3,847,847872,6,128
3,848,850944,6,128
3,849,854016,6,128
3,850,857088,6,128
3,851,860160,6,128
3,852,863232,6,128
3,853,866304,6,128
3,854,869376,6,128
3,855,872448,6,128
3,856,875520,6,128
3,857,878592,6,128
3,858,881664,6,128
3,859,884736,6,128
3,860,887808,6,128
3,861,890880,6,128
3,862,893952,6,128
3,863,897024,6,128
3,864,900096,6,128
3,865,903168,6,128
3,866,906240,6,128
3,867,909312,6,128
3,868,912384,6,128
3,869,915456,6,128
3,870,918528,6,128
2,998,921600,6,128
2,999,924672,6,128
2,1000,927744,6,128
2,1001,930816,6,128
2,1002,933888,6,128
2,1003,936960,6,128
2,1004,940032,6,128
2,1005,943104,6,128
2,1006,946176,6,128
2,1007,949248,6,128
2,1008,952320,6,128
2,1009,955392,6,128
2,1010,958464,6,128
