method,micro_f1,macro_f1,precision,recall,event_recall,n_event_windows,n_caught,false_alarm_runs,false_alarm_runs_quiet,duty_cycle,duty_cycle_quiet,latency_ms,bandwidth_reduction,n_channels,n_channels_with_events,kappa_h,gap
GridStream,0.02672147995889003,0.08647057645905727,0.23214285714285715,0.014176663031624863,0.13953488372093023,43,6,10,8,0.001106372272547979,0.0013061650992685476,18.055555555555557,809568.0388888889,42,26,,
Empirical-Q (causal),0.12929490311024266,0.25915841299389397,0.07599540581929556,0.43293347873500543,0.627906976744186,43,27,9,5,0.09372370992674088,0.06234183403738436,4.027777777777778,547648.4871898253,42,26,,
Fixed margin,0.3711469909834347,0.7751893684311775,0.22975077881619937,0.965103598691385,0.9534883720930233,43,41,5,2,0.17447163402466687,0.0022531347962382446,1.3301282051282053,357175.31170954247,42,26,,
ATE-Q,0.3725795682172268,0.750720493695638,0.23406040268456377,0.9127589967284624,0.9069767441860465,43,39,2,1,0.1564031387143596,0.00022857889237199583,2.4942129629629632,381006.6830617172,42,26,,
ATE-S,0.3792344918609767,0.8078771827539387,0.237531000275558,0.9400218102508179,0.9534883720930233,43,41,4,1,0.15844133834399307,0.0004245036572622779,1.7147435897435899,357180.7304914067,42,26,,
ATE-M,0.38065798189445793,0.7623655146483073,0.23864894795127353,0.9400218102508179,0.9069767441860465,43,39,2,1,0.1562055637144472,0.0004245036572622779,1.9039351851851851,381002.2786865205,42,26,,
ATE-N,0.35307465395960974,0.6725204720938753,0.22292263610315186,0.8484187568157033,0.813953488372093,43,35,1,1,0.14511521432110588,0.00013061650992685477,4.8731884057971016,428619.02372940734,42,26,,
ATE-X,0.3823915900131406,0.7984675394468309,0.23924362839134009,0.9520174482006543,0.9534883720930233,43,41,5,2,0.16061336121313752,0.0004898119122257053,1.4903846153846154,357179.49007703806,42,26,,
Best constant †,0.3785222986465498,0.8106100428071856,0.23760445682451253,0.9302071973827699,0.9302325581395349,43,40,4,1,0.15189418524685214,0.0002938871473354232,1.6185897435897434,357182.87594172626,42,26,3.5,0.5
Hindsight ceiling †,0.9319727891156463,0.9130400667449933,0.9704840613931524,0.8964013086150491,0.7674418604651163,43,33,2,0,0.09608206695401081,0.0,1.2820512820512822,380993.1328384097,42,26,,
