method,micro_f1,macro_f1,precision,recall,event_recall,n_event_windows,n_caught,false_alarm_runs,false_alarm_runs_quiet,duty_cycle,duty_cycle_quiet,latency_ms,bandwidth_reduction,n_channels,n_channels_with_events,kappa_h,gap
GridStream,0.027055150884495317,0.09367645783064538,0.23214285714285715,0.014364640883977901,0.15,40,6,10,8,0.0012907676513059753,0.0017415534656913968,18.055555555555557,777829.3787037036,36,24,,
Empirical-Q (causal),0.12954805025289606,0.2807549474100518,0.07599540581929556,0.43867403314917125,0.675,40,27,9,5,0.10934432824786437,0.08312244538317914,4.027777777777778,472256.56838812947,36,24,,
Fixed margin,0.3693864642631246,0.7835384824671089,0.22824387701928087,0.9679558011049724,0.975,40,39,5,2,0.18308240343813473,0.0030041797283176593,1.4409722222222223,305593.2684230377,36,24,,
ATE-Q,0.3705526963526516,0.75216942372583,0.23232323232323232,0.9149171270718232,0.925,40,37,2,1,0.1649264688509634,0.0003047718564959944,2.720959595959596,333396.5098682997,36,24,,
ATE-S,0.3772666961521451,0.8140891702056557,0.23583079900470003,0.9425414364640884,0.975,40,39,4,1,0.1673043684188691,0.0005660048763497039,1.857638888888889,305599.56520293735,36,24,,
ATE-M,0.3786063027075011,0.7613126408689997,0.23687864482088308,0.9425414364640884,0.925,40,37,2,1,0.16615795298849245,0.0005660048763497039,2.077020202020202,333391.35383797763,36,24,,
ATE-N,0.35157318741450067,0.671672819127339,0.22148807813846597,0.8519337016574585,0.825,40,33,1,1,0.1561431886377814,0.00017415534656913968,5.337301587301587,388944.1790731975,36,24,,
ATE-X,0.3802816901408451,0.795958882019781,0.23742786479802144,0.9546961325966851,0.975,40,39,5,2,0.1727623717077248,0.0006530825496342737,1.6145833333333333,305598.0740713592,36,24,,
Best constant †,0.376727596968346,0.8126846892315939,0.23596760681373918,0.9337016574585635,0.95,40,38,4,1,0.16405198805115204,0.0003918495297805643,1.753472222222222,305602.0066542362,36,24,3.5,0.5
Hindsight ceiling †,0.9328743545611016,0.9141267389737426,0.9701670644391408,0.8983425414364641,0.775,40,31,2,0,0.09893785004283719,0.0,1.388888888888889,333380.61331147794,36,24,,
