method,variant,scope,micro_f1,macro_f1,precision,recall,event_recall,n_event_windows,n_caught,false_alarm_runs,false_alarm_runs_quiet,duty_cycle,duty_cycle_quiet,latency_ms,bandwidth_reduction,n_channels,n_channels_with_events
Fixed margin,baseline,all 7 records,0.3711469909834347,0.7751893684311775,0.22975077881619937,0.965103598691385,0.9534883720930233,43,41,5,2,0.17447163402466687,0.0022531347962382446,1.3301282051282053,357175.31170954247,42,26
Fixed margin,baseline,record 677 only,0.08704592186429061,0.2744021938994995,0.04588150289017341,0.8466666666666667,1.0,11,11,4,2,0.27438233802856266,0.018025078369905956,5.520833333333333,166688.7955075409,6,4
Fixed margin,+dead-release only,all 7 records,0.3712248322147651,0.7803175735593826,0.2298104388470527,0.965103598691385,0.9534883720930233,43,41,5,2,0.17338938294241577,0.0022531347962382446,1.3301282051282053,357175.3990111298,42,26
Fixed margin,+dead-release only,record 677 only,0.08704592186429061,0.2744021938994995,0.04588150289017341,0.8466666666666667,1.0,11,11,4,2,0.27438233802856266,0.018025078369905956,5.520833333333333,166688.7955075409,6,4
Fixed margin,+latch-timeout only,all 7 records,0.521047983514866,0.7807623370112873,0.35685483870967744,0.965103598691385,0.9534883720930233,43,41,5,2,0.15493872213173873,0.0022531347962382446,1.3301282051282053,357175.3782701596,42,26
Fixed margin,+latch-timeout only,record 677 only,0.16429495472186287,0.31062648967021234,0.09097421203438395,0.8466666666666667,1.0,11,11,4,2,0.1376519547780659,0.018025078369905956,5.520833333333333,166689.26143186024,6,4
Fixed margin,+both (recommendation 1),all 7 records,0.5212014134275619,0.7858905421394924,0.35699878983461075,0.965103598691385,0.9534883720930233,43,41,5,2,0.15385647104948766,0.0022531347962382446,1.3301282051282053,357175.46557174687,42,26
Fixed margin,+both (recommendation 1),record 677 only,0.16429495472186287,0.31062648967021234,0.09097421203438395,0.8466666666666667,1.0,11,11,4,2,0.1376519547780659,0.018025078369905956,5.520833333333333,166689.26143186024,6,4
ATE-Q,baseline,all 7 records,0.3725795682172268,0.750720493695638,0.23406040268456377,0.9127589967284624,0.9069767441860465,43,39,2,1,0.1564031387143596,0.00022857889237199583,2.4942129629629632,381006.6830617172,42,26
ATE-Q,baseline,record 677 only,0.07266187050359713,0.21882993318794952,0.038403041825095054,0.6733333333333333,0.9090909090909091,11,10,2,1,0.2620018692200332,0.0018286311389759666,10.694444444444445,166831.49302478702,6,4
