family,lr,epochs,beta_h,size,micro_f1,macro_f1,precision,recall,event_recall,duty_cycle,false_alarm_runs_quiet,max_depth,n_estimators,eta
ATE-N,0.02,60.0,1.5,736,0.14335049195282468,0.5538689975004113,0.34876347495244137,0.09021569753137046,0.3475177304964539,0.015503356028112182,16,,,
ATE-N,0.01,80.0,1.5,736,0.14399824926140717,0.5248315055908094,0.2162695152013147,0.10793077995571229,0.34988179669030733,0.023009564801360547,17,,,
ATE-N,0.005,120.0,1.0,736,0.1561065197428834,0.5491420340714684,0.2286392405063291,0.11851062084802756,0.3829787234042553,0.023558653372003933,18,,,
ATE-N,0.005,200.0,1.5,736,0.13914095583787053,0.5368224593768525,0.21118530884808012,0.10374805216107602,0.3640661938534279,0.023840923955605185,19,,,
ATE-N,0.002,200.0,1.5,736,0.11021658962239651,0.49632802654179925,0.15028328611898017,0.08701714098253097,0.3404255319148936,0.025713967997564438,18,,,
ATE-N,0.002,400.0,1.0,736,0.1472591322569891,0.5372605440938829,0.17560199909132213,0.12679406216681702,0.40425531914893614,0.03176883910534369,18,,,
ATE-X,,,0.5,340,0.14118599473790733,0.5137419168109959,0.13938618925831203,0.1430328877224637,0.458628841607565,0.0475476917993668,39,2.0,25.0,0.1
ATE-X,,,0.5,690,0.13693280699520355,0.5082340450248388,0.14191448178778815,0.13228901828918233,0.42789598108747046,0.04394261587029507,32,2.0,50.0,0.1
ATE-X,,,0.0,1390,0.14946766643191517,0.5231328429481831,0.15101289134438306,0.14795374395144756,0.46808510638297873,0.04682960738082738,39,2.0,100.0,0.1
ATE-X,,,1.0,2790,0.14433554180583694,0.5597919801784518,0.2171334431630972,0.10809480849667842,0.375886524822695,0.02411459985228873,23,2.0,200.0,0.1
ATE-X,,,1.0,4188,0.14816898239297968,0.5565150050143676,0.23585243553008595,0.10801279422619536,0.37825059101654845,0.02351528344055847,28,2.0,300.0,0.1
ATE-X,,,0.5,720,0.13957073883231222,0.5114496646054684,0.13810823831700658,0.14106454523087017,0.45390070921985815,0.04717985442768878,38,3.0,25.0,0.1
ATE-X,,,0.0,1446,0.14315122723673793,0.5137576808754344,0.13836381724955996,0.14828180103337982,0.47044917257683216,0.0498562488078644,40,3.0,50.0,0.1
ATE-X,,,0.0,2930,0.16552673858159284,0.5521860456831791,0.18796914095079234,0.1478717296809645,0.46808510638297873,0.04012531459444314,38,3.0,100.0,0.1
ATE-X,,,0.5,5788,0.14668039114770973,0.5754559372593426,0.196904794804477,0.11687033543836628,0.4231678486997636,0.030816120321146348,27,3.0,200.0,0.1
ATE-X,,,0.5,8672,0.15002098195551825,0.5808564438038392,0.20812108863338669,0.1172804067907816,0.425531914893617,0.029496669487067223,27,3.0,300.0,0.1
ATE-X,,,0.5,1510,0.14352268083367387,0.5197626255351077,0.1430316852651299,0.14401705896826048,0.46099290780141844,0.04712286480781444,37,4.0,25.0,0.1
ATE-X,,,0.0,2874,0.1428853989477432,0.5140861229790317,0.13801008711600182,0.14811777249241367,0.46808510638297873,0.04979301550535257,39,4.0,50.0,0.1
ATE-X,,,0.0,5744,0.17027307946706982,0.5760191156656319,0.20082469631115568,0.14778971541048141,0.4657210401891253,0.03750303333921218,34,4.0,100.0,0.1
ATE-X,,,1.5,11286,0.1525853428453511,0.5626200646314026,0.2713926174496644,0.10612646600508488,0.3617021276595745,0.018995969766965985,24,4.0,200.0,0.1
ATE-X,,,0.0,16822,0.16589861751152074,0.5796489624173402,0.18933417481855475,0.1476256868695153,0.4657210401891253,0.038106630084239375,32,4.0,300.0,0.1
ATE-X,,,0.0,2704,0.1473509278676849,0.516116861335758,0.14235474006116208,0.15271057163946528,0.4728132387706856,0.049520129519192865,42,5.0,25.0,0.1
ATE-X,,,0.0,5426,0.15075293038001084,0.5349390578089757,0.1533955857385399,0.14819978676289675,0.46808510638297873,0.046607810307899636,40,5.0,50.0,0.1
ATE-X,,,0.0,10506,0.17117588322000857,0.5785031856613775,0.20366598778004075,0.1476256868695153,0.46335697399527187,0.036917133162663054,36,5.0,100.0,0.1
ATE-X,,,0.0,21178,0.1654501216545012,0.5850513606600151,0.2165892501658925,0.13384728942836052,0.458628841607565,0.03385359047723625,32,5.0,200.0,0.1
ATE-X,,,0.0,31790,0.16550187379722472,0.5883580636103358,0.2163378789884814,0.13401131796932667,0.458628841607565,0.03388286534803214,32,5.0,300.0,0.1
ATE-X,,,0.0,4448,0.1448098102007342,0.5183098723289246,0.13822411093715053,0.15205445747560076,0.4728132387706856,0.050287347173096374,40,6.0,25.0,0.1
ATE-X,,,0.0,9192,0.15095128580388875,0.5394533462176164,0.153983961781266,0.1480357582219306,0.46808510638297873,0.046559666297734635,40,6.0,50.0,0.1
ATE-X,,,0.5,17650,0.1525414688783402,0.5806710729009235,0.2181208053691275,0.1172804067907816,0.4231678486997636,0.027240381539686453,27,6.0,100.0,0.1
ATE-X,,,0.0,37130,0.16466169229988323,0.5907846209440296,0.21603622802344166,0.1330271467235299,0.4562647754137116,0.033569060421434045,31,6.0,200.0,0.1
ATE-X,,,0.0,55616,0.1620541512638625,0.5875017354462897,0.2072843450479233,0.1330271467235299,0.4562647754137116,0.03463042434696912,32,6.0,300.0,0.1
