09-18-2026 22:01:56 RAM 3342/7486MB (lfb 15x4MB) CPU [9%@1497,11%@1497,0%@1497,16%@1497,10%@1497,9%@1497] GR3D_FREQ 17% cpu@46.25C/46.25C soc2@46.093C/46.093C soc0@46.531C/46.531C gpu@46.281C/46.281C tj@46.531C/46.531C soc1@45.312C/45.312C VDD_IN 4592mW/4592mW/4592mW VDD_CPU_GPU_CV 1076mW/1076mW/1076mW VDD_SOC 1315mW/1315mW/1315mW
09-18-2026 22:01:56 RAM 3342/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.312C soc2@46.125C/46.125C soc0@46.406C/46.531C gpu@46.593C/46.593C tj@46.593C/46.593C soc1@45.343C/45.343C VDD_IN 4512mW/4552mW/4592mW VDD_CPU_GPU_CV 998mW/1037mW/1076mW VDD_SOC 1317mW/1316mW/1317mW
09-18-2026 22:01:56 RAM 3342/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,30%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/46.687C soc2@46.093C/46.125C soc0@46.437C/46.531C gpu@46.5C/46.593C tj@46.687C/46.687C soc1@45.406C/45.406C VDD_IN 4472mW/4525mW/4592mW VDD_CPU_GPU_CV 998mW/1024mW/1076mW VDD_SOC 1317mW/1316mW/1317mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,36%@1497,10%@1497,10%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.687C soc2@46C/46.125C soc0@46.437C/46.531C gpu@46.718C/46.718C tj@46.718C/46.718C soc1@45.312C/45.406C VDD_IN 4552mW/4532mW/4592mW VDD_CPU_GPU_CV 1038mW/1028mW/1076mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.687C soc2@46.093C/46.125C soc0@46.562C/46.562C gpu@46.562C/46.718C tj@46.562C/46.718C soc1@45.312C/45.406C VDD_IN 4512mW/4528mW/4592mW VDD_CPU_GPU_CV 998mW/1022mW/1076mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.187C/46.687C soc2@46.062C/46.125C soc0@46.375C/46.562C gpu@46.468C/46.718C tj@46.468C/46.718C soc1@45.343C/45.406C VDD_IN 4432mW/4512mW/4592mW VDD_CPU_GPU_CV 958mW/1011mW/1076mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.687C soc2@46.156C/46.156C soc0@46.375C/46.562C gpu@46.625C/46.718C tj@46.625C/46.718C soc1@45.375C/45.406C VDD_IN 4392mW/4495mW/4592mW VDD_CPU_GPU_CV 918mW/998mW/1076mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.062C/46.687C soc2@46.031C/46.156C soc0@46.375C/46.562C gpu@46.531C/46.718C tj@46.531C/46.718C soc1@45.437C/45.437C VDD_IN 4360mW/4478mW/4592mW VDD_CPU_GPU_CV 918mW/988mW/1076mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.687C soc2@46.031C/46.156C soc0@46.468C/46.562C gpu@46.343C/46.718C tj@46.468C/46.718C soc1@45.281C/45.437C VDD_IN 4320mW/4460mW/4592mW VDD_CPU_GPU_CV 878mW/976mW/1076mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.218C/46.687C soc2@45.968C/46.156C soc0@46.593C/46.593C gpu@46.625C/46.718C tj@46.625C/46.718C soc1@45.343C/45.437C VDD_IN 4280mW/4442mW/4592mW VDD_CPU_GPU_CV 880mW/966mW/1076mW VDD_SOC 1320mW/1317mW/1320mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.25C/46.687C soc2@46.093C/46.156C soc0@46.437C/46.593C gpu@46.5C/46.718C tj@46.5C/46.718C soc1@45.406C/45.437C VDD_IN 4280mW/4428mW/4592mW VDD_CPU_GPU_CV 878mW/958mW/1076mW VDD_SOC 1320mW/1317mW/1320mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.281C/46.687C soc2@46.156C/46.156C soc0@46.312C/46.593C gpu@46.25C/46.718C tj@46.312C/46.718C soc1@45.375C/45.437C VDD_IN 4240mW/4412mW/4592mW VDD_CPU_GPU_CV 838mW/948mW/1076mW VDD_SOC 1320mW/1318mW/1320mW
09-18-2026 22:01:57 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.687C soc2@46.031C/46.156C soc0@46.406C/46.593C gpu@46.625C/46.718C tj@46.625C/46.718C soc1@45.281C/45.437C VDD_IN 4240mW/4399mW/4592mW VDD_CPU_GPU_CV 838mW/940mW/1076mW VDD_SOC 1317mW/1318mW/1320mW
09-18-2026 22:01:58 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.687C soc2@46.031C/46.156C soc0@46.531C/46.593C gpu@46.437C/46.718C tj@46.531C/46.718C soc1@45.25C/45.437C VDD_IN 4240mW/4387mW/4592mW VDD_CPU_GPU_CV 838mW/932mW/1076mW VDD_SOC 1320mW/1318mW/1320mW
09-18-2026 22:01:58 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,40%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.687C soc2@46.031C/46.156C soc0@46.343C/46.593C gpu@46.218C/46.718C tj@46.375C/46.718C soc1@45.343C/45.437C VDD_IN 4280mW/4380mW/4592mW VDD_CPU_GPU_CV 878mW/929mW/1076mW VDD_SOC 1317mW/1318mW/1320mW
09-18-2026 22:01:58 RAM 3343/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/46.687C soc2@46.062C/46.156C soc0@46.375C/46.593C gpu@46.562C/46.718C tj@46.562C/46.718C soc1@45.406C/45.437C VDD_IN 4320mW/4376mW/4592mW VDD_CPU_GPU_CV 918mW/928mW/1076mW VDD_SOC 1317mW/1318mW/1320mW
09-18-2026 22:01:58 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.187C/46.687C soc2@46.031C/46.156C soc0@46.375C/46.593C gpu@46.5C/46.718C tj@46.5C/46.718C soc1@45.281C/45.437C VDD_IN 4353mW/4375mW/4592mW VDD_CPU_GPU_CV 958mW/930mW/1076mW VDD_SOC 1317mW/1318mW/1320mW
09-18-2026 22:01:58 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,40%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.343C/46.687C soc2@46.093C/46.156C soc0@46.562C/46.593C gpu@46.281C/46.718C tj@46.562C/46.718C soc1@45.281C/45.437C VDD_IN 4392mW/4376mW/4592mW VDD_CPU_GPU_CV 998mW/934mW/1076mW VDD_SOC 1317mW/1318mW/1320mW
09-18-2026 22:01:58 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/46.687C soc2@46.125C/46.156C soc0@46.593C/46.593C gpu@46.531C/46.718C tj@46.531C/46.718C soc1@45.343C/45.437C VDD_IN 4392mW/4377mW/4592mW VDD_CPU_GPU_CV 998mW/937mW/1076mW VDD_SOC 1317mW/1318mW/1320mW
09-18-2026 22:01:58 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/46.687C soc2@46.093C/46.156C soc0@46.343C/46.593C gpu@46.5C/46.718C tj@46.5C/46.718C soc1@45.343C/45.437C VDD_IN 4432mW/4380mW/4592mW VDD_CPU_GPU_CV 996mW/940mW/1076mW VDD_SOC 1317mW/1317mW/1320mW
09-18-2026 22:01:58 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.687C soc2@46.062C/46.156C soc0@46.406C/46.593C gpu@46.781C/46.781C tj@46.781C/46.781C soc1@45.437C/45.437C VDD_IN 4432mW/4382mW/4592mW VDD_CPU_GPU_CV 1036mW/944mW/1076mW VDD_SOC 1317mW/1317mW/1320mW
09-18-2026 22:01:58 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.687C soc2@46.062C/46.156C soc0@46.406C/46.593C gpu@46.531C/46.781C tj@46.531C/46.781C soc1@45.281C/45.437C VDD_IN 4432mW/4384mW/4592mW VDD_CPU_GPU_CV 1036mW/949mW/1076mW VDD_SOC 1317mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.687C soc2@46.031C/46.156C soc0@46.5C/46.593C gpu@46.5C/46.781C tj@46.5C/46.781C soc1@45.312C/45.437C VDD_IN 4432mW/4386mW/4592mW VDD_CPU_GPU_CV 1036mW/952mW/1076mW VDD_SOC 1317mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/46.687C soc2@46.125C/46.156C soc0@46.375C/46.593C gpu@46.656C/46.781C tj@46.656C/46.781C soc1@45.281C/45.437C VDD_IN 4472mW/4390mW/4592mW VDD_CPU_GPU_CV 1036mW/956mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3343/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/46.687C soc2@46.156C/46.156C soc0@46.343C/46.593C gpu@46.531C/46.781C tj@46.656C/46.781C soc1@45.343C/45.437C VDD_IN 4472mW/4393mW/4592mW VDD_CPU_GPU_CV 1036mW/959mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3342/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.687C soc2@46.031C/46.156C soc0@46.406C/46.593C gpu@46.5C/46.781C tj@46.5C/46.781C soc1@45.281C/45.437C VDD_IN 4472mW/4396mW/4592mW VDD_CPU_GPU_CV 1036mW/962mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3342/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.343C/46.687C soc2@46.093C/46.156C soc0@46.531C/46.593C gpu@46.625C/46.781C tj@46.625C/46.781C soc1@45.312C/45.437C VDD_IN 4472mW/4399mW/4592mW VDD_CPU_GPU_CV 1036mW/965mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3342/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.687C soc2@46.125C/46.156C soc0@46.468C/46.593C gpu@46.468C/46.781C tj@46.468C/46.781C soc1@45.343C/45.437C VDD_IN 4472mW/4402mW/4592mW VDD_CPU_GPU_CV 1036mW/967mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3342/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.687C soc2@46.062C/46.156C soc0@46.406C/46.593C gpu@46.312C/46.781C tj@46.406C/46.781C soc1@45.375C/45.437C VDD_IN 4472mW/4404mW/4592mW VDD_CPU_GPU_CV 1076mW/971mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3342/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.687C soc2@46C/46.156C soc0@46.406C/46.593C gpu@46.656C/46.781C tj@46.656C/46.781C soc1@45.406C/45.437C VDD_IN 4472mW/4406mW/4592mW VDD_CPU_GPU_CV 1076mW/975mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3342/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,45%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.25C/46.687C soc2@46.093C/46.156C soc0@46.5C/46.593C gpu@46.531C/46.781C tj@46.531C/46.781C soc1@45.312C/45.437C VDD_IN 4472mW/4409mW/4592mW VDD_CPU_GPU_CV 1076mW/978mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-18-2026 22:01:59 RAM 3342/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,44%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.687C soc2@46.093C/46.156C soc0@46.5C/46.593C gpu@46.312C/46.781C tj@46.5C/46.781C soc1@45.343C/45.437C VDD_IN 4472mW/4411mW/4592mW VDD_CPU_GPU_CV 1076mW/981mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-18-2026 22:02:00 RAM 3342/7486MB (lfb 15x4MB) CPU [9%@1497,10%@1497,50%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/46.687C soc2@46.062C/46.156C soc0@46.468C/46.593C gpu@46.531C/46.781C tj@46.531C/46.781C soc1@45.343C/45.437C VDD_IN 4472mW/4412mW/4592mW VDD_CPU_GPU_CV 1076mW/984mW/1076mW VDD_SOC 1315mW/1317mW/1320mW
09-19-2026 11:50:48 RAM 3392/7486MB (lfb 19x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.312C/47.312C soc2@46.875C/46.875C soc0@47.125C/47.125C gpu@47.125C/47.125C tj@47.312C/47.312C soc1@46.093C/46.093C VDD_IN 4592mW/4592mW/4592mW VDD_CPU_GPU_CV 1076mW/1076mW/1076mW VDD_SOC 1315mW/1315mW/1315mW
09-19-2026 11:50:48 RAM 3392/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.312C soc2@46.843C/46.875C soc0@47.218C/47.218C gpu@47.281C/47.281C tj@47.281C/47.312C soc1@46.218C/46.218C VDD_IN 4512mW/4552mW/4592mW VDD_CPU_GPU_CV 996mW/1036mW/1076mW VDD_SOC 1317mW/1316mW/1317mW
09-19-2026 11:50:48 RAM 3396/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,8%@1497,0%@1497,0%@1497,27%@1497] GR3D_FREQ 0% cpu@46.843C/47.312C soc2@46.781C/46.875C soc0@47.343C/47.343C gpu@47.218C/47.281C tj@47.343C/47.343C soc1@46.312C/46.312C VDD_IN 4472mW/4525mW/4592mW VDD_CPU_GPU_CV 998mW/1023mW/1076mW VDD_SOC 1317mW/1316mW/1317mW
09-19-2026 11:50:48 RAM 3394/7486MB (lfb 19x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,45%@1497] GR3D_FREQ 0% cpu@46.968C/47.312C soc2@46.781C/46.875C soc0@47.281C/47.343C gpu@47.093C/47.281C tj@47.281C/47.343C soc1@46.093C/46.312C VDD_IN 4472mW/4512mW/4592mW VDD_CPU_GPU_CV 996mW/1017mW/1076mW VDD_SOC 1317mW/1317mW/1317mW
09-19-2026 11:50:49 RAM 3394/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.312C soc2@46.875C/46.875C soc0@47.281C/47.343C gpu@47.281C/47.281C tj@47.281C/47.343C soc1@46.093C/46.312C VDD_IN 4432mW/4496mW/4592mW VDD_CPU_GPU_CV 958mW/1005mW/1076mW VDD_SOC 1317mW/1317mW/1317mW
09-19-2026 11:50:49 RAM 3394/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@47.156C/47.312C soc2@46.843C/46.875C soc0@47.25C/47.343C gpu@47.218C/47.281C tj@47.25C/47.343C soc1@46.156C/46.312C VDD_IN 4392mW/4479mW/4592mW VDD_CPU_GPU_CV 918mW/990mW/1076mW VDD_SOC 1317mW/1317mW/1317mW
