09-18-2026 22:02:29 RAM 3360/7486MB (lfb 15x4MB) CPU [36%@1497,0%@1497,20%@1497,30%@1497,45%@1497,22%@1497] GR3D_FREQ 0% cpu@46.562C/46.562C soc2@46C/46C soc0@46.406C/46.406C gpu@46.562C/46.562C tj@46.562C/46.562C soc1@45.281C/45.281C VDD_IN 4784mW/4784mW/4784mW VDD_CPU_GPU_CV 1236mW/1236mW/1236mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:02:29 RAM 3360/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,9%@1497,9%@1497] GR3D_FREQ 0% cpu@46.093C/46.562C soc2@45.968C/46C soc0@46.25C/46.406C gpu@46.375C/46.562C tj@46.375C/46.562C soc1@45.218C/45.281C VDD_IN 4712mW/4748mW/4784mW VDD_CPU_GPU_CV 1196mW/1216mW/1236mW VDD_SOC 1315mW/1335mW/1355mW
09-18-2026 22:02:29 RAM 3360/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,18%@1497,18%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.562C soc2@46.062C/46.062C soc0@46.25C/46.406C gpu@46.312C/46.562C tj@46.406C/46.562C soc1@45.343C/45.343C VDD_IN 4632mW/4709mW/4784mW VDD_CPU_GPU_CV 1116mW/1183mW/1236mW VDD_SOC 1315mW/1328mW/1355mW
09-18-2026 22:02:29 RAM 3360/7486MB (lfb 15x4MB) CPU [9%@1497,9%@1497,0%@1497,9%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@46.093C/46.562C soc2@46.031C/46.062C soc0@46.437C/46.437C gpu@46.25C/46.562C tj@46.437C/46.562C soc1@45.187C/45.343C VDD_IN 4632mW/4690mW/4784mW VDD_CPU_GPU_CV 1076mW/1156mW/1236mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 22:02:29 RAM 3360/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.062C/46.562C soc2@46.031C/46.062C soc0@46.406C/46.437C gpu@46.375C/46.562C tj@46.406C/46.562C soc1@45.25C/45.343C VDD_IN 4552mW/4662mW/4784mW VDD_CPU_GPU_CV 1036mW/1132mW/1236mW VDD_SOC 1317mW/1323mW/1355mW
09-18-2026 22:02:30 RAM 3360/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.562C soc2@46C/46.062C soc0@46.25C/46.437C gpu@46.375C/46.562C tj@46.375C/46.562C soc1@45.187C/45.343C VDD_IN 4472mW/4631mW/4784mW VDD_CPU_GPU_CV 998mW/1110mW/1236mW VDD_SOC 1317mW/1322mW/1355mW
09-18-2026 22:02:30 RAM 3360/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.562C soc2@46.031C/46.062C soc0@46.312C/46.437C gpu@46.468C/46.562C tj@46.468C/46.562C soc1@45.281C/45.343C VDD_IN 4392mW/4597mW/4784mW VDD_CPU_GPU_CV 958mW/1088mW/1236mW VDD_SOC 1317mW/1322mW/1355mW
09-18-2026 22:02:30 RAM 3360/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.187C/46.562C soc2@46.031C/46.062C soc0@46.187C/46.437C gpu@46.468C/46.562C tj@46.468C/46.562C soc1@45.312C/45.343C VDD_IN 4360mW/4567mW/4784mW VDD_CPU_GPU_CV 918mW/1067mW/1236mW VDD_SOC 1317mW/1321mW/1355mW
09-18-2026 22:02:30 RAM 3359/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@46.093C/46.562C soc2@45.906C/46.062C soc0@46.343C/46.437C gpu@46.312C/46.562C tj@46.343C/46.562C soc1@45.218C/45.343C VDD_IN 4320mW/4540mW/4784mW VDD_CPU_GPU_CV 918mW/1050mW/1236mW VDD_SOC 1317mW/1321mW/1355mW
09-18-2026 22:02:30 RAM 3359/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/46.562C soc2@45.937C/46.062C soc0@46.406C/46.437C gpu@46.468C/46.562C tj@46.468C/46.562C soc1@45.281C/45.343C VDD_IN 4320mW/4518mW/4784mW VDD_CPU_GPU_CV 878mW/1033mW/1236mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:02:30 RAM 3359/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.062C/46.562C soc2@45.937C/46.062C soc0@46.281C/46.437C gpu@46.343C/46.562C tj@46.343C/46.562C soc1@45.187C/45.343C VDD_IN 4280mW/4496mW/4784mW VDD_CPU_GPU_CV 878mW/1019mW/1236mW VDD_SOC 1317mW/1320mW/1355mW
