09-18-2026 22:01:50 RAM 3334/7486MB (lfb 15x4MB) CPU [9%@1497,18%@1497,0%@1497,18%@1497,45%@1497,33%@1497] GR3D_FREQ 0% cpu@46.25C/46.25C soc2@46.156C/46.156C soc0@46.437C/46.437C gpu@46.343C/46.343C tj@46.437C/46.437C soc1@45.281C/45.281C VDD_IN 4744mW/4744mW/4744mW VDD_CPU_GPU_CV 1196mW/1196mW/1196mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:01:50 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.218C/46.25C soc2@46.093C/46.156C soc0@46.562C/46.562C gpu@46.656C/46.656C tj@46.656C/46.656C soc1@45.312C/45.312C VDD_IN 4672mW/4708mW/4744mW VDD_CPU_GPU_CV 1116mW/1156mW/1196mW VDD_SOC 1315mW/1335mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,10%@1497,0%@1497,11%@1497,0%@1497] GR3D_FREQ 0% cpu@46.281C/46.281C soc2@46.093C/46.156C soc0@46.343C/46.562C gpu@46.625C/46.656C tj@46.625C/46.656C soc1@45.375C/45.375C VDD_IN 4592mW/4669mW/4744mW VDD_CPU_GPU_CV 1076mW/1129mW/1196mW VDD_SOC 1315mW/1328mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,8%@1497,9%@1497] GR3D_FREQ 0% cpu@46.281C/46.281C soc2@46.125C/46.156C soc0@46.437C/46.562C gpu@46.312C/46.656C tj@46.437C/46.656C soc1@45.437C/45.437C VDD_IN 4592mW/4650mW/4744mW VDD_CPU_GPU_CV 1036mW/1106mW/1196mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/46.281C soc2@46.062C/46.156C soc0@46.406C/46.562C gpu@46.625C/46.656C tj@46.625C/46.656C soc1@45.343C/45.437C VDD_IN 4512mW/4622mW/4744mW VDD_CPU_GPU_CV 996mW/1084mW/1196mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.281C soc2@46.031C/46.156C soc0@46.437C/46.562C gpu@46.468C/46.656C tj@46.5C/46.656C soc1@45.281C/45.437C VDD_IN 4432mW/4591mW/4744mW VDD_CPU_GPU_CV 958mW/1063mW/1196mW VDD_SOC 1317mW/1322mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.281C soc2@46.062C/46.156C soc0@46.312C/46.562C gpu@46.718C/46.718C tj@46.718C/46.718C soc1@45.312C/45.437C VDD_IN 4432mW/4568mW/4744mW VDD_CPU_GPU_CV 958mW/1048mW/1196mW VDD_SOC 1317mW/1321mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.187C/46.281C soc2@46.062C/46.156C soc0@46.343C/46.562C gpu@46.593C/46.718C tj@46.593C/46.718C soc1@45.406C/45.437C VDD_IN 4392mW/4546mW/4744mW VDD_CPU_GPU_CV 918mW/1032mW/1196mW VDD_SOC 1317mW/1321mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.062C/46.281C soc2@46.125C/46.156C soc0@46.437C/46.562C gpu@46.343C/46.718C tj@46.468C/46.718C soc1@45.5C/45.5C VDD_IN 4353mW/4525mW/4744mW VDD_CPU_GPU_CV 878mW/1015mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.281C soc2@46.031C/46.156C soc0@46.375C/46.562C gpu@46.687C/46.718C tj@46.687C/46.718C soc1@45.343C/45.5C VDD_IN 4313mW/4503mW/4744mW VDD_CPU_GPU_CV 878mW/1001mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.281C soc2@46.093C/46.156C soc0@46.562C/46.562C gpu@46.5C/46.718C tj@46.562C/46.718C soc1@45.218C/45.5C VDD_IN 4280mW/4483mW/4744mW VDD_CPU_GPU_CV 878mW/990mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:01:51 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.187C/46.281C soc2@46C/46.156C soc0@46.312C/46.562C gpu@46.312C/46.718C tj@46.312C/46.718C soc1@45.343C/45.5C VDD_IN 4280mW/4466mW/4744mW VDD_CPU_GPU_CV 878mW/981mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:01:52 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.062C/46.281C soc2@46.062C/46.156C soc0@46.375C/46.562C gpu@46.656C/46.718C tj@46.656C/46.718C soc1@45.5C/45.5C VDD_IN 4240mW/4449mW/4744mW VDD_CPU_GPU_CV 838mW/970mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
09-18-2026 22:01:52 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/46.281C soc2@46.093C/46.156C soc0@46.437C/46.562C gpu@46.468C/46.718C tj@46.468C/46.718C soc1@45.281C/45.5C VDD_IN 4240mW/4434mW/4744mW VDD_CPU_GPU_CV 838mW/960mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
09-18-2026 22:01:52 RAM 3334/7486MB (lfb 15x4MB) CPU [9%@1497,9%@1497,33%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.312C soc2@45.968C/46.156C soc0@46.468C/46.562C gpu@46.281C/46.718C tj@46.468C/46.718C soc1@45.25C/45.5C VDD_IN 4280mW/4424mW/4744mW VDD_CPU_GPU_CV 878mW/955mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
09-18-2026 22:01:52 RAM 3334/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,54%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.312C soc2@46.093C/46.156C soc0@46.312C/46.562C gpu@46.656C/46.718C tj@46.656C/46.718C soc1@45.312C/45.5C VDD_IN 4313mW/4417mW/4744mW VDD_CPU_GPU_CV 918mW/952mW/1196mW VDD_SOC 1317mW/1319mW/1355mW
09-19-2026 11:50:42 RAM 3389/7486MB (lfb 19x4MB) CPU [10%@1497,9%@1497,27%@1497,8%@1497,9%@1497,40%@1497] GR3D_FREQ 0% cpu@47.218C/47.218C soc2@46.968C/46.968C soc0@47.156C/47.156C gpu@47.281C/47.281C tj@47.281C/47.281C soc1@46.125C/46.125C VDD_IN 4744mW/4744mW/4744mW VDD_CPU_GPU_CV 1196mW/1196mW/1196mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 11:50:42 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.156C/47.218C soc2@46.937C/46.968C soc0@47.25C/47.25C gpu@47.531C/47.531C tj@47.531C/47.531C soc1@46.218C/46.218C VDD_IN 4632mW/4688mW/4744mW VDD_CPU_GPU_CV 1116mW/1156mW/1196mW VDD_SOC 1315mW/1335mW/1355mW
09-19-2026 11:50:42 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,18%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.218C soc2@46.75C/46.968C soc0@47.343C/47.343C gpu@47.375C/47.531C tj@47.375C/47.531C soc1@46.093C/46.218C VDD_IN 4552mW/4643mW/4744mW VDD_CPU_GPU_CV 1076mW/1129mW/1196mW VDD_SOC 1315mW/1328mW/1355mW
09-19-2026 11:50:43 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.218C soc2@46.843C/46.968C soc0@47.281C/47.343C gpu@47.281C/47.531C tj@47.281C/47.531C soc1@46.125C/46.218C VDD_IN 4472mW/4600mW/4744mW VDD_CPU_GPU_CV 996mW/1096mW/1196mW VDD_SOC 1315mW/1325mW/1355mW
09-19-2026 11:50:43 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.125C/47.218C soc2@46.906C/46.968C soc0@47.25C/47.343C gpu@47.531C/47.531C tj@47.531C/47.531C soc1@46.125C/46.218C VDD_IN 4432mW/4566mW/4744mW VDD_CPU_GPU_CV 958mW/1068mW/1196mW VDD_SOC 1317mW/1323mW/1355mW
09-19-2026 11:50:43 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@47.218C/47.218C soc2@46.781C/46.968C soc0@47.156C/47.343C gpu@47.343C/47.531C tj@47.343C/47.531C soc1@46.218C/46.218C VDD_IN 4392mW/4537mW/4744mW VDD_CPU_GPU_CV 958mW/1050mW/1196mW VDD_SOC 1317mW/1322mW/1355mW
09-19-2026 11:50:43 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.218C soc2@46.906C/46.968C soc0@47.187C/47.343C gpu@47.062C/47.531C tj@47.187C/47.531C soc1@46.312C/46.312C VDD_IN 4353mW/4511mW/4744mW VDD_CPU_GPU_CV 918mW/1031mW/1196mW VDD_SOC 1317mW/1322mW/1355mW
09-19-2026 11:50:43 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47.218C soc2@46.812C/46.968C soc0@47.218C/47.343C gpu@47.375C/47.531C tj@47.375C/47.531C soc1@46.062C/46.312C VDD_IN 4313mW/4486mW/4744mW VDD_CPU_GPU_CV 918mW/1017mW/1196mW VDD_SOC 1317mW/1321mW/1355mW
09-19-2026 11:50:43 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.031C/47.218C soc2@46.843C/46.968C soc0@47.281C/47.343C gpu@47.375C/47.531C tj@47.406C/47.531C soc1@46.125C/46.312C VDD_IN 4313mW/4467mW/4744mW VDD_CPU_GPU_CV 878mW/1002mW/1196mW VDD_SOC 1317mW/1321mW/1355mW
09-19-2026 11:50:43 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.218C soc2@47C/47C soc0@47.187C/47.343C gpu@47.156C/47.531C tj@47.187C/47.531C soc1@46.187C/46.312C VDD_IN 4280mW/4448mW/4744mW VDD_CPU_GPU_CV 878mW/989mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-19-2026 11:50:43 RAM 3389/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.093C/47.218C soc2@46.906C/47C soc0@47.156C/47.343C gpu@47.406C/47.531C tj@47.406C/47.531C soc1@46.156C/46.312C VDD_IN 4280mW/4433mW/4744mW VDD_CPU_GPU_CV 878mW/979mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
