09-18-2026 22:03:46 RAM 3377/7486MB (lfb 15x4MB) CPU [0%@1497,33%@1497,0%@1497,0%@1497,40%@1497,33%@1497] GR3D_FREQ 0% cpu@46.187C/46.187C soc2@45.968C/45.968C soc0@46.375C/46.375C gpu@46.187C/46.187C tj@46.375C/46.375C soc1@45.093C/45.093C VDD_IN 4824mW/4824mW/4824mW VDD_CPU_GPU_CV 1275mW/1275mW/1275mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:03:46 RAM 3377/7486MB (lfb 15x4MB) CPU [0%@1497,16%@1497,0%@1497,0%@1497,8%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/46.187C soc2@45.843C/45.968C soc0@46.156C/46.375C gpu@46.156C/46.187C tj@46.156C/46.375C soc1@45.218C/45.218C VDD_IN 4752mW/4788mW/4824mW VDD_CPU_GPU_CV 1196mW/1236mW/1275mW VDD_SOC 1315mW/1335mW/1355mW
09-18-2026 22:03:47 RAM 3377/7486MB (lfb 15x4MB) CPU [0%@1497,30%@1497,0%@1497,20%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/46.187C soc2@45.843C/45.968C soc0@46.125C/46.375C gpu@46.031C/46.187C tj@46.156C/46.375C soc1@45.25C/45.25C VDD_IN 4672mW/4749mW/4824mW VDD_CPU_GPU_CV 1156mW/1209mW/1275mW VDD_SOC 1315mW/1328mW/1355mW
09-18-2026 22:03:47 RAM 3377/7486MB (lfb 15x4MB) CPU [9%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46C/46.187C soc2@45.812C/45.968C soc0@46.312C/46.375C gpu@46.25C/46.25C tj@46.312C/46.375C soc1@45.156C/45.25C VDD_IN 4632mW/4720mW/4824mW VDD_CPU_GPU_CV 1116mW/1186mW/1275mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 22:03:47 RAM 3377/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46C/46.187C soc2@45.843C/45.968C soc0@46.312C/46.375C gpu@46.093C/46.25C tj@46.312C/46.375C soc1@45.187C/45.25C VDD_IN 4552mW/4686mW/4824mW VDD_CPU_GPU_CV 1036mW/1156mW/1275mW VDD_SOC 1315mW/1323mW/1355mW
09-18-2026 22:03:47 RAM 3376/7486MB (lfb 15x4MB) CPU [8%@1497,0%@1497,9%@1497,0%@1497,8%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.187C soc2@45.875C/45.968C soc0@46.125C/46.375C gpu@46.031C/46.25C tj@46.125C/46.375C soc1@45.156C/45.25C VDD_IN 4472mW/4651mW/4824mW VDD_CPU_GPU_CV 998mW/1130mW/1275mW VDD_SOC 1317mW/1322mW/1355mW
09-18-2026 22:03:47 RAM 3376/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.156C/46.187C soc2@45.968C/45.968C soc0@46.125C/46.375C gpu@46.218C/46.25C tj@46.218C/46.375C soc1@45.281C/45.281C VDD_IN 4432mW/4619mW/4824mW VDD_CPU_GPU_CV 958mW/1105mW/1275mW VDD_SOC 1317mW/1321mW/1355mW
09-18-2026 22:03:47 RAM 3376/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,10%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.906C/46.187C soc2@45.781C/45.968C soc0@46.218C/46.375C gpu@46.125C/46.25C tj@46.218C/46.375C soc1@45.125C/45.281C VDD_IN 4392mW/4591mW/4824mW VDD_CPU_GPU_CV 958mW/1087mW/1275mW VDD_SOC 1317mW/1321mW/1355mW
09-18-2026 22:03:47 RAM 3376/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.968C/46.187C soc2@45.75C/45.968C soc0@46.25C/46.375C gpu@46C/46.25C tj@46.25C/46.375C soc1@45.125C/45.281C VDD_IN 4353mW/4565mW/4824mW VDD_CPU_GPU_CV 918mW/1068mW/1275mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:03:47 RAM 3376/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/46.187C soc2@45.875C/45.968C soc0@46.187C/46.375C gpu@46C/46.25C tj@46.187C/46.375C soc1@45.25C/45.281C VDD_IN 4320mW/4540mW/4824mW VDD_CPU_GPU_CV 878mW/1049mW/1275mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:03:47 RAM 3376/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.187C soc2@45.875C/45.968C soc0@46.156C/46.375C gpu@46.093C/46.25C tj@46.156C/46.375C soc1@45.187C/45.281C VDD_IN 4280mW/4516mW/4824mW VDD_CPU_GPU_CV 878mW/1033mW/1275mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:03:48 RAM 3376/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.937C/46.187C soc2@45.875C/45.968C soc0@46.156C/46.375C gpu@46.156C/46.25C tj@46.156C/46.375C soc1@45.281C/45.281C VDD_IN 4280mW/4497mW/4824mW VDD_CPU_GPU_CV 878mW/1020mW/1275mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 22:03:48 RAM 3376/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.937C/46.187C soc2@45.843C/45.968C soc0@46.312C/46.375C gpu@46.031C/46.25C tj@46.312C/46.375C soc1@45.093C/45.281C VDD_IN 4240mW/4477mW/4824mW VDD_CPU_GPU_CV 878mW/1009mW/1275mW VDD_SOC 1317mW/1319mW/1355mW
