report,t_s,F0.Va.rms,F0.Va.ang_rad,F0.Va.freq_hz,F0.Va.event,F0.Vb.rms,F0.Vb.ang_rad,F0.Vb.freq_hz,F0.Vb.event,F0.Vc.rms,F0.Vc.ang_rad,F0.Vc.freq_hz,F0.Vc.event,F0.Ia.rms,F0.Ia.ang_rad,F0.Ia.freq_hz,F0.Ia.event,F0.Ib.rms,F0.Ib.ang_rad,F0.Ib.freq_hz,F0.Ib.event,F0.Ic.rms,F0.Ic.ang_rad,F0.Ic.freq_hz,F0.Ic.event,F0.mode
0,0.008320,7920.76,-1.195807,60.00000,0,7972.26,0.893711,60.00000,0,7955.34,2.993036,60.00000,0,176.497,-1.185753,60.00000,0,151.505,1.023076,60.00000,0,179.471,2.993097,60.00000,0,PMU
1,0.016640,7917.01,-1.190392,60.00000,0,7976.79,0.897556,60.00000,0,7965.98,2.998590,60.00000,0,175.831,-1.180321,60.00000,0,151.182,1.024480,60.00000,0,179.888,2.997370,60.00000,0,PMU
2,0.025024,7922.08,-1.185265,60.09500,0,7977.77,0.902805,60.09848,0,7968.55,3.003334,60.09119,0,176.016,-1.174889,60.10079,0,150.972,1.030645,60.11585,0,179.673,2.999750,60.04634,0,PMU
3,0.033344,7922.63,-1.179528,60.10975,0,7981.34,0.908359,60.10625,0,7971.14,3.009437,60.11676,0,176.21,-1.170129,60.09107,0,151.373,1.035342,60.08986,0,179.253,3.004798,60.09658,0,PMU
4,0.041664,7918.63,-1.174401,60.09807,0,7978.08,0.914155,60.11088,0,7962.96,3.014930,60.10508,0,175.275,-1.164635,60.10508,0,151.073,1.042422,60.13544,0,178.571,3.014808,60.19148,0,PMU
5,0.049984,7911.87,-1.170434,60.07589,0,7977.85,0.918855,60.08990,0,7954.79,3.019996,60.09690,0,174.872,-1.158656,60.11438,0,150.895,1.046817,60.08407,0,178.32,3.022804,60.15295,0,PMU
6,0.058304,7921.15,-1.164880,60.10625,0,7977.1,0.924531,60.10859,0,7958.91,3.024451,60.08523,0,175.969,-1.153651,60.09574,0,151.289,1.053408,60.12609,0,179.342,3.026710,60.07472,0,PMU
7,0.066688,7921.89,-1.159266,60.10654,0,7976.21,0.929231,60.08920,0,7964.75,3.029395,60.09384,0,176.347,-1.149318,60.08226,0,151.223,1.056338,60.05561,0,179.763,3.028480,60.03360,0,PMU
8,0.075008,7922.56,-1.153895,60.10275,0,7973.09,0.934663,60.10391,0,7962.9,3.034459,60.09687,0,176.059,-1.144252,60.09691,0,151.117,1.065188,60.16930,0,179.059,3.033240,60.09107,0,PMU
9,0.083328,7912.69,-1.149013,60.09341,0,7976.15,0.939485,60.09224,0,7958.96,3.040685,60.11909,0,175.069,-1.139430,60.09223,0,151.616,1.066758,60.03002,0,179.106,3.042516,60.17743,0,PMU
10,0.091648,7917.2,-1.144435,60.08757,0,7974.12,0.944777,60.10125,0,7956.75,3.044896,60.08056,0,175.641,-1.131862,60.14478,0,151.31,1.073654,60.13194,0,179.371,3.047032,60.08640,0,PMU
11,0.099968,7918.5,-1.138759,60.10858,0,7976.26,0.949538,60.09107,0,7964.68,3.050267,60.10274,0,176.724,-1.126020,60.11176,0,151.429,1.076889,60.06188,0,179.994,3.049107,60.03970,0,PMU
12,0.108352,7924.7,-1.133083,60.10774,0,7974.39,0.955214,60.10774,0,7966.44,3.055028,60.09037,0,176.719,-1.123517,60.04750,0,151.495,1.083725,60.12975,0,179.722,3.052159,60.05792,0,PMU
13,0.116672,7927.51,-1.127424,60.10826,0,7979.89,0.960158,60.09457,0,7974.48,3.060582,60.10625,0,176.502,-1.120221,60.06305,0,151.663,1.085556,60.03503,0,180.198,3.055272,60.05955,0,PMU
14,0.124992,7930.19,-1.121869,60.10625,0,7983.21,0.965773,60.10742,0,7977.59,3.066191,60.10731,0,176.513,-1.115339,60.09341,0,151.605,1.090256,60.08990,0,180.284,3.058812,60.06772,0,PMU
15,0.133312,7926.56,-1.115888,60.11442,0,7981.21,0.971022,60.10041,0,7980.02,3.072112,60.11325,0,176.017,-1.108686,60.12726,0,150.986,1.094772,60.08640,0,179.676,3.064732,60.11326,0,PMU
16,0.141696,7919.96,-1.111372,60.08573,0,7979.27,0.975903,60.09264,0,7973.33,3.077300,60.09848,0,175.4,-1.098798,60.18768,0,150.511,1.102766,60.15173,0,179.452,3.073271,60.16208,0,PMU
17,0.150016,7921.45,-1.106794,60.08757,0,7976.29,0.981396,60.10508,0,7965.83,3.081999,60.08990,0,175.864,-1.094650,60.07935,0,151.111,1.109846,60.13544,0,178.89,3.080534,60.13894,0,PMU
18,0.158336,7922.54,-1.101850,60.09457,0,7978.02,0.987011,60.10742,0,7962.85,3.087248,60.10041,0,175.585,-1.091537,60.05955,0,151.387,1.115278,60.10391,0,178.922,3.088163,60.14595,0,PMU
19,0.166656,7920.98,-1.096359,60.10504,0,7974.95,0.991710,60.08990,0,7966.78,3.092131,60.09341,0,175.69,-1.084335,60.13777,0,150.57,1.120221,60.09457,0,179.521,3.092436,60.08173,0,PMU
20,0.174976,7922.99,-1.090805,60.10625,0,7970.59,0.997387,60.10858,0,7964.48,3.097011,60.09336,0,175.597,-1.079819,60.08640,0,150.623,1.127546,60.14011,0,179.162,3.095547,60.05951,0,PMU
21,0.183360,7914.42,-1.086411,60.08341,0,7966.46,1.000499,60.05909,0,7483.48,3.121425,60.46341,0,181.167,-1.056094,60.45034,0,159.351,1.129787,60.04254,0,251.079,3.953066,76.27690,1,PMU
22,0.191680,7898.14,-1.083115,60.06305,0,7946.59,1.005132,60.08863,0,6008.68,2.982966,57.35132,1,174.134,-1.116681,58.84098,1,181.629,0.998363,57.48591,1,866.626,2.727072,36.54713,1,POW
23,0.200000,7887.62,-1.083237,59.99766,0,7961.08,1.003368,59.96625,1,7046,2.955441,59.47347,1,177.345,-1.274211,56.98650,1,195.027,1.099409,61.93297,1,804.085,1.911914,44.40629,1,POW
24,0.208320,7904.61,-1.075119,60.15528,0,7974.34,1.010626,60.13883,1,7825.13,3.080595,62.39415,1,171.499,-1.260357,60.26504,1,183.564,1.155971,61.08201,1,397.197,2.546150,72.13272,1,POW
25,0.216640,7901.33,-1.066269,60.16930,0,7969.51,1.021917,60.21600,1,7885.45,3.116359,60.68415,1,189.68,-1.073593,63.57272,1,167.118,1.143764,59.76649,1,289.165,2.772706,64.33396,1,POW
26,0.225024,7913.91,-1.061099,60.09814,0,7960.14,1.028997,60.13439,1,7881.07,3.129586,60.25107,1,204.01,-1.048953,60.46771,1,156.078,1.121503,59.57746,1,175.859,2.675393,58.15286,1,POW
27,0.233344,7920.74,-1.053469,60.14595,0,7964.17,1.034246,60.10041,0,7905.57,3.135751,60.11793,0,180.335,-1.111494,58.80362,0,151.064,1.142421,60.40015,0,202.705,2.882891,63.96936,1,POW
28,0.241664,7915.88,-1.048526,60.09457,0,7963.79,1.038333,60.07819,0,7933.08,3.135446,59.99416,0,166.152,-1.137538,59.50178,0,155.538,1.161401,60.36307,0,151.208,2.939528,61.08346,0,POW
29,0.249984,7915.08,-1.043338,60.09924,0,7972.49,1.043460,60.09808,0,7961.99,3.143284,60.14994,0,168.536,-1.089706,60.91501,0,153.13,1.176720,60.29306,0,199.023,3.076750,62.62501,0,PMU
30,0.258304,7926.24,-1.038821,60.08640,0,7972.58,1.049441,60.11442,0,7968.5,3.149510,60.11909,0,182.226,-1.036563,61.01662,0,152.73,1.170678,59.88441,0,140.561,3.063023,59.73740,0,PMU
31,0.266688,7932.1,-1.031926,60.13087,0,7977.37,1.055728,60.11932,0,7970.51,3.159319,60.18619,0,176.9,-1.046817,59.80537,0,146.903,1.182763,60.22938,0,171.026,3.101162,60.72392,0,PMU
32,0.275008,7930.61,-1.026922,60.09574,0,7975.43,1.060671,60.09457,0,7967.68,3.162248,60.05604,0,172.853,-1.049258,59.95330,0,150.31,1.189782,60.13427,0,126.694,3.101101,59.99883,0,PMU
33,0.283328,7924.87,-1.021184,60.10975,0,7974.53,1.066330,60.10825,0,7968.2,3.168840,60.12610,0,168.754,-1.051150,59.96381,0,150.26,1.208685,60.36161,0,171.246,3.155979,61.04981,0,PMU
34,0.291648,7924.87,-1.017645,60.06771,0,7971.57,1.070664,60.08290,0,7968.38,3.171221,60.04554,0,175.466,-1.025640,60.48800,0,153.614,1.204412,59.91827,0,134.448,3.171587,60.29857,0,PMU
35,0.300032,7921.82,-1.011541,60.11585,0,7973.91,1.075852,60.09847,0,7974.44,3.179216,60.15176,0,175.96,-1.024358,60.02433,0,151.002,1.214971,60.20042,0,170.753,3.182878,60.21432,0,PMU
36,0.308352,7923.56,-1.007574,60.07589,0,7971.9,1.080612,60.09107,0,7969.65,3.182329,60.05955,0,178.127,-1.012579,60.22534,0,153.735,1.216253,60.02452,0,133.41,3.193435,60.20195,0,PMU
37,0.316672,7921.23,-1.001781,60.11081,0,7974.25,1.086411,60.11092,0,7968.31,3.189895,60.14474,0,174.873,-1.016851,59.91827,0,151.879,1.230045,60.26383,0,166.829,3.198257,60.09224,0,PMU
38,0.324992,7924.91,-0.997020,60.09107,0,7971.98,1.091476,60.09691,0,7968.5,3.193008,60.05955,0,177.113,-1.003673,60.25209,0,153.677,1.227725,59.95563,0,133.752,3.212966,60.28138,0,PMU
39,0.333312,7925.3,-0.990795,60.11909,0,7975.1,1.096847,60.10275,0,7975.67,3.200027,60.13427,0,174.889,-1.003246,60.00817,0,150.851,1.240970,60.25336,0,165.802,3.212905,59.99883,0,PMU
40,0.341696,7925.68,-0.985485,60.10079,0,7967.13,1.102766,60.11234,0,7968.98,3.203505,60.06603,0,176.087,-0.990062,60.25024,0,152.974,1.245425,60.08457,0,134.988,3.234749,60.41464,0,PMU
