09-18-2026 22:01:12 RAM 3339/7486MB (lfb 15x4MB) CPU [41%@1497,36%@1497,0%@1497,11%@1497,16%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.406C soc2@46.187C/46.187C soc0@46.531C/46.531C gpu@46.406C/46.406C tj@46.531C/46.531C soc1@45.343C/45.343C VDD_IN 4744mW/4744mW/4744mW VDD_CPU_GPU_CV 1196mW/1196mW/1196mW VDD_SOC 1315mW/1315mW/1315mW
09-18-2026 22:01:12 RAM 3339/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.281C/46.406C soc2@46.218C/46.218C soc0@46.468C/46.531C gpu@46.531C/46.531C tj@46.468C/46.531C soc1@45.375C/45.375C VDD_IN 4632mW/4688mW/4744mW VDD_CPU_GPU_CV 1116mW/1156mW/1196mW VDD_SOC 1315mW/1315mW/1315mW
09-18-2026 22:01:12 RAM 3338/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,10%@1497,18%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.562C/46.562C soc2@46.156C/46.218C soc0@46.437C/46.531C gpu@46.406C/46.531C tj@46.562C/46.562C soc1@45.468C/45.468C VDD_IN 4592mW/4656mW/4744mW VDD_CPU_GPU_CV 1076mW/1129mW/1196mW VDD_SOC 1315mW/1315mW/1315mW
09-18-2026 22:01:12 RAM 3338/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.156C/46.562C soc2@46.062C/46.218C soc0@46.406C/46.531C gpu@46.406C/46.531C tj@46.406C/46.562C soc1@45.343C/45.468C VDD_IN 4552mW/4630mW/4744mW VDD_CPU_GPU_CV 1036mW/1106mW/1196mW VDD_SOC 1315mW/1315mW/1315mW
09-18-2026 22:01:12 RAM 3338/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.218C/46.562C soc2@46.093C/46.218C soc0@46.593C/46.593C gpu@46.375C/46.531C tj@46.593C/46.593C soc1@45.375C/45.468C VDD_IN 4472mW/4598mW/4744mW VDD_CPU_GPU_CV 996mW/1084mW/1196mW VDD_SOC 1317mW/1315mW/1317mW
09-18-2026 22:01:12 RAM 3338/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@46.25C/46.562C soc2@46.093C/46.218C soc0@46.343C/46.593C gpu@46.406C/46.531C tj@46.406C/46.593C soc1@45.375C/45.468C VDD_IN 4432mW/4571mW/4744mW VDD_CPU_GPU_CV 958mW/1063mW/1196mW VDD_SOC 1317mW/1316mW/1317mW
09-18-2026 22:01:12 RAM 3338/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.343C/46.562C soc2@46.093C/46.218C soc0@46.437C/46.593C gpu@46.375C/46.531C tj@46.437C/46.593C soc1@45.343C/45.468C VDD_IN 4392mW/4545mW/4744mW VDD_CPU_GPU_CV 918mW/1042mW/1196mW VDD_SOC 1317mW/1316mW/1317mW
09-18-2026 22:01:12 RAM 3338/7486MB (lfb 15x4MB) CPU [8%@1497,0%@1497,8%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.562C soc2@45.937C/46.218C soc0@46.406C/46.593C gpu@46.531C/46.531C tj@46.531C/46.593C soc1@45.437C/45.468C VDD_IN 4353mW/4521mW/4744mW VDD_CPU_GPU_CV 918mW/1027mW/1196mW VDD_SOC 1317mW/1316mW/1317mW
09-18-2026 22:01:13 RAM 3338/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.562C soc2@46.093C/46.218C soc0@46.531C/46.593C gpu@46.406C/46.531C tj@46.531C/46.593C soc1@45.312C/45.468C VDD_IN 4320mW/4499mW/4744mW VDD_CPU_GPU_CV 878mW/1010mW/1196mW VDD_SOC 1317mW/1316mW/1317mW
09-18-2026 22:01:13 RAM 3338/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@46.187C/46.562C soc2@46.031C/46.218C soc0@46.5C/46.593C gpu@46.406C/46.531C tj@46.5C/46.593C soc1@45.343C/45.468C VDD_IN 4280mW/4477mW/4744mW VDD_CPU_GPU_CV 878mW/997mW/1196mW VDD_SOC 1317mW/1316mW/1317mW
09-18-2026 22:01:13 RAM 3338/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.218C/46.562C soc2@46.125C/46.218C soc0@46.375C/46.593C gpu@46.468C/46.531C tj@46.468C/46.593C soc1@45.343C/45.468C VDD_IN 4280mW/4459mW/4744mW VDD_CPU_GPU_CV 878mW/986mW/1196mW VDD_SOC 1317mW/1316mW/1317mW
