tp,fp,fn,precision,recall,f1,n_event_windows,n_caught,event_recall,false_alarm_runs,latency_reports,latency_ms,duty_cycle,bandwidth_reduction,n_reports,has_events,rid,ch,method
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Va,ATE-X
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.21052631578947367,4.75,19,True,7,Vb,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Vc,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Ia,ATE-X
6,0,3,1.0,0.6666666666666666,0.8,2,1,0.5,0,0.0,0.0,0.3157894736842105,3.166666666666667,19,True,7,Ib,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,19,False,7,Ic,ATE-X
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Va,ATE-X
3,1,0,0.75,1.0,0.8571428571428571,1,1,1.0,0,0.0,0.0,0.017094017094017096,58.49999999999999,234,True,45,Vb,ATE-X
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Vc,ATE-X
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Ia,ATE-X
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.021367521367521368,46.8,234,True,45,Ib,ATE-X
6,1,0,0.8571428571428571,1.0,0.923076923076923,1,1,1.0,0,0.0,0.0,0.029914529914529916,33.42857142857143,234,True,45,Ic,ATE-X
155,25,1,0.8611111111111112,0.9935897435897436,0.9226190476190477,2,2,1.0,0,0.0,0.0,0.7692307692307693,1.2999999999999998,234,True,55,Va,ATE-X
71,19,1,0.7888888888888889,0.9861111111111112,0.8765432098765433,2,2,1.0,0,0.5,4.166666666666667,0.38461538461538464,2.5999999999999996,234,True,55,Vb,ATE-X
42,19,4,0.6885245901639344,0.9130434782608695,0.7850467289719626,3,3,1.0,0,0.0,0.0,0.2606837606837607,3.8360655737704916,234,True,55,Vc,ATE-X
147,33,0,0.8166666666666667,1.0,0.8990825688073394,2,2,1.0,0,0.0,0.0,0.7758620689655172,1.288888888888889,232,True,55,Ia,ATE-X
176,0,0,1.0,1.0,1.0,2,2,1.0,0,0.0,0.0,0.7553648068669528,1.3238636363636362,233,True,55,Ib,ATE-X
70,109,0,0.39106145251396646,1.0,0.5622489959839357,2,2,1.0,0,0.0,0.0,0.8443396226415094,1.1843575418994414,212,True,55,Ic,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Va,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Vb,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Vc,ATE-X
20,0,6,1.0,0.7692307692307693,0.8695652173913044,3,2,0.6666666666666666,0,0.5,4.166666666666667,0.01394700139470014,71.7,1434,True,901,Ia,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Ib,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1434,False,901,Ic,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Va,ATE-X
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.0041876046901172526,238.8,1194,True,907,Vb,ATE-X
5,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.0041876046901172526,238.8,1194,True,907,Vc,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,1194,False,907,Ia,ATE-X
6,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.005025125628140704,199.0,1194,True,907,Ib,ATE-X
6,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.005025125628140704,199.0,1194,True,907,Ic,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Va,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Vb,ATE-X
0,0,0,0.0,0.0,0.0,0,0,,0,,,0.0,inf,23,False,971,Vc,ATE-X
4,2,0,0.6666666666666666,1.0,0.8,1,1,1.0,0,0.0,0.0,0.2608695652173913,3.8333333333333335,23,True,971,Ia,ATE-X
2,3,1,0.4,0.6666666666666666,0.5,1,1,1.0,0,1.0,8.333333333333334,0.22727272727272727,4.4,22,True,971,Ib,ATE-X
4,0,0,1.0,1.0,1.0,1,1,1.0,0,0.0,0.0,0.17391304347826086,5.75,23,True,971,Ic,ATE-X
