report,t_s,F0.Va.rms,F0.Va.ang_rad,F0.Va.freq_hz,F0.Va.event,F0.Vb.rms,F0.Vb.ang_rad,F0.Vb.freq_hz,F0.Vb.event,F0.Vc.rms,F0.Vc.ang_rad,F0.Vc.freq_hz,F0.Vc.event,F0.Ia.rms,F0.Ia.ang_rad,F0.Ia.freq_hz,F0.Ia.event,F0.Ib.rms,F0.Ib.ang_rad,F0.Ib.freq_hz,F0.Ib.event,F0.Ic.rms,F0.Ic.ang_rad,F0.Ic.freq_hz,F0.Ic.event,F0.mode
0,0.008333,14831.3,4.482371,60.00000,0,14888.2,2.386176,60.00000,0,14852,0.287432,60.00000,0,53.2788,4.517327,60.00000,0,55.664,2.386481,60.00000,0,67.2886,0.220436,60.00000,0,PMU
1,0.016667,14829,4.476758,60.00000,0,14817.1,2.390919,60.00000,0,14947,0.291277,60.00000,0,53.3533,4.515801,60.00000,0,55.6516,2.387519,60.00000,0,67.3814,0.220314,60.00000,0,PMU
2,0.025000,14831.7,4.483897,60.13401,0,14895.9,2.388661,59.95804,0,14867.6,0.289019,59.95804,0,53.2562,4.518364,60.04663,0,55.7665,2.388661,60.02182,0,67.5076,0.222877,60.05129,0,PMU
3,0.033333,14830,4.478772,59.90212,0,14817.9,2.392872,60.08043,0,14948.6,0.293230,60.08043,0,53.0097,4.516228,59.95920,0,55.7377,2.389576,60.01749,0,67.5556,0.223121,60.00466,0,PMU
4,0.041667,14832.3,4.485972,60.13751,0,14895.7,2.390736,59.95920,0,14869.1,0.291094,59.95920,0,52.6844,4.519280,60.05828,0,55.8117,2.390553,60.01865,0,67.6422,0.224769,60.03147,0,PMU
5,0.050000,14830.6,4.480906,59.90325,0,14817,2.394886,60.07927,0,14948.4,0.295303,60.08039,0,52.597,4.518669,59.98834,0,55.831,2.391407,60.01632,0,67.5753,0.224708,59.99883,0,PMU
6,0.058333,14831.2,4.488047,60.13638,0,14895.6,2.392750,59.95920,0,14867.7,0.293108,59.95808,0,52.6461,4.521355,60.05129,0,55.8926,2.391896,60.00933,0,67.6262,0.226295,60.03031,0,PMU
7,0.066667,14828.7,4.482554,59.89509,0,14815,2.396717,60.07577,0,14947,0.297134,60.07689,0,52.8928,4.521721,60.00699,0,55.8047,2.393177,60.02448,0,67.5904,0.226905,60.01166,0,PMU
8,0.075000,14832.3,4.489817,60.13872,0,14896.2,2.394459,59.95687,0,14866.4,0.294815,59.95570,0,52.8365,4.523674,60.03730,0,55.7679,2.392933,59.99534,0,67.6923,0.228675,60.03380,0,PMU
9,0.083333,14828.1,4.484568,59.89975,0,14816.1,2.398670,60.08043,0,14947.6,0.298965,60.07927,0,52.7888,4.523918,60.00466,0,55.7333,2.394886,60.03730,0,67.7008,0.229469,60.01515,0,PMU
10,0.091667,14830.5,4.491648,60.13522,0,14894,2.396473,59.95804,0,14866.5,0.296768,59.95804,0,52.7282,4.524956,60.01982,0,55.6929,2.394764,59.99767,0,67.6379,0.230018,60.01049,0,PMU
