feeder,report,offset_bytes,n_ch,n_samples
0,249,0,6,128
0,250,3072,6,128
0,251,6144,6,128
0,252,9216,6,128
0,421,12288,6,128
0,422,15360,6,128
0,423,18432,6,128
0,424,21504,6,128
0,456,24576,6,128
0,457,27648,6,128
0,458,30720,6,128
0,459,33792,6,128
0,460,36864,6,128
0,461,39936,6,128
0,462,43008,6,128
0,463,46080,6,128
0,464,49152,6,128
0,465,52224,6,128
0,466,55296,6,128
0,467,58368,6,128
0,468,61440,6,128
0,469,64512,6,128
0,470,67584,6,128
0,471,70656,6,128
0,472,73728,6,128
0,473,76800,6,128
0,474,79872,6,128
0,475,82944,6,128
0,476,86016,6,128
0,477,89088,6,128
0,478,92160,6,128
0,479,95232,6,128
0,480,98304,6,128
0,481,101376,6,128
0,482,104448,6,128
0,483,107520,6,128
0,1439,110592,6,128
