09-18-2026 22:00:21 RAM 3349/7486MB (lfb 15x4MB) CPU [0%@1497,70%@1497,18%@1497,16%@1497,0%@1497,20%@1497] GR3D_FREQ 0% cpu@46.625C/46.625C soc2@46.281C/46.281C soc0@46.593C/46.593C gpu@46.843C/46.843C tj@46.843C/46.843C soc1@45.562C/45.562C VDD_IN 4944mW/4944mW/4944mW VDD_CPU_GPU_CV 1273mW/1273mW/1273mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:00:22 RAM 3349/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.343C/46.625C soc2@46.25C/46.281C soc0@46.656C/46.656C gpu@46.75C/46.843C tj@46.75C/46.843C soc1@45.406C/45.562C VDD_IN 4824mW/4884mW/4944mW VDD_CPU_GPU_CV 1196mW/1235mW/1273mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:00:22 RAM 3349/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,30%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/46.75C soc2@46.343C/46.343C soc0@46.687C/46.687C gpu@46.562C/46.843C tj@46.75C/46.843C soc1@45.531C/45.562C VDD_IN 4744mW/4837mW/4944mW VDD_CPU_GPU_CV 1156mW/1208mW/1273mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:00:22 RAM 3356/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,100%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/46.937C soc2@46.312C/46.343C soc0@46.593C/46.687C gpu@46.812C/46.843C tj@46.937C/46.937C soc1@45.593C/45.593C VDD_IN 4784mW/4824mW/4944mW VDD_CPU_GPU_CV 1196mW/1205mW/1273mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:00:22 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,10%@1497,90%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.062C soc2@46.375C/46.375C soc0@46.593C/46.687C gpu@46.625C/46.843C tj@47.062C/47.062C soc1@45.625C/45.625C VDD_IN 4864mW/4832mW/4944mW VDD_CPU_GPU_CV 1236mW/1211mW/1273mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:00:22 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,18%@1497,0%@1497,10%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.281C/47.062C soc2@46.281C/46.375C soc0@46.75C/46.75C gpu@46.625C/46.843C tj@46.75C/47.062C soc1@45.656C/45.656C VDD_IN 4784mW/4824mW/4944mW VDD_CPU_GPU_CV 1156mW/1202mW/1273mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:00:22 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,8%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/47.062C soc2@46.25C/46.375C soc0@46.625C/46.75C gpu@46.843C/46.843C tj@46.843C/47.062C soc1@45.5C/45.656C VDD_IN 4672mW/4802mW/4944mW VDD_CPU_GPU_CV 1076mW/1184mW/1273mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:00:22 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/47.062C soc2@46.312C/46.375C soc0@46.437C/46.75C gpu@46.687C/46.843C tj@46.687C/47.062C soc1@45.5C/45.656C VDD_IN 4552mW/4771mW/4944mW VDD_CPU_GPU_CV 1036mW/1166mW/1273mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:00:22 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/47.062C soc2@46.312C/46.375C soc0@46.625C/46.75C gpu@46.843C/46.843C tj@46.843C/47.062C soc1@45.531C/45.656C VDD_IN 4472mW/4738mW/4944mW VDD_CPU_GPU_CV 996mW/1147mW/1273mW VDD_SOC 1317mW/1351mW/1355mW
09-18-2026 22:00:22 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/47.062C soc2@46.312C/46.375C soc0@46.5C/46.75C gpu@46.656C/46.843C tj@46.656C/47.062C soc1@45.687C/45.687C VDD_IN 4432mW/4707mW/4944mW VDD_CPU_GPU_CV 958mW/1128mW/1273mW VDD_SOC 1317mW/1347mW/1355mW
09-18-2026 22:00:23 RAM 3348/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/47.062C soc2@46.218C/46.375C soc0@46.656C/46.75C gpu@46.625C/46.843C tj@46.656C/47.062C soc1@45.468C/45.687C VDD_IN 4392mW/4679mW/4944mW VDD_CPU_GPU_CV 918mW/1109mW/1273mW VDD_SOC 1317mW/1345mW/1355mW
