report,t_s,F0.Va.rms,F0.Va.ang_rad,F0.Va.freq_hz,F0.Va.event,F0.Vb.rms,F0.Vb.ang_rad,F0.Vb.freq_hz,F0.Vb.event,F0.Vc.rms,F0.Vc.ang_rad,F0.Vc.freq_hz,F0.Vc.event,F0.Ia.rms,F0.Ia.ang_rad,F0.Ia.freq_hz,F0.Ia.event,F0.Ib.rms,F0.Ib.ang_rad,F0.Ib.freq_hz,F0.Ib.event,F0.Ic.rms,F0.Ic.ang_rad,F0.Ic.freq_hz,F0.Ic.event,F0.mode
0,0.008320,7464.49,-1.535004,60.00000,0,7519.53,2.570136,60.00000,0,7042.28,0.488292,60.00000,0,2135.62,-1.535798,60.00000,0,2409.1,2.547431,60.00000,0,2160.25,0.435150,60.00000,0,PMU
1,0.016641,8317.07,4.710820,60.00000,0,8179.74,2.600831,60.00000,0,8224.12,0.508477,60.00000,0,2378.36,4.712040,60.00000,0,2616.26,2.575990,60.00000,0,2522.65,0.458692,60.00000,0,PMU
2,0.024961,8332.62,-1.563001,60.00000,0,7979.98,2.609312,60.00000,0,8244.01,0.510186,60.00000,0,2394.06,-1.567884,60.00000,0,2729.43,2.528879,60.00000,0,2517.79,0.455946,60.00000,0,PMU
3,0.033281,8370.85,-1.543488,60.00000,0,7227.18,2.610960,60.00000,0,8288.44,0.502391,60.00000,0,2469.12,4.702763,60.00000,0,3135.7,2.293089,60.00000,0,2488.51,0.428925,60.00000,0,PMU
4,0.041602,8388.37,-1.518832,60.46228,0,6406.06,2.579469,59.40345,0,8360.22,0.488353,59.73615,0,2540.58,4.677024,59.51466,0,3633.27,2.083790,56.07812,0,2507.64,0.401522,59.48751,0,PMU
5,0.050052,8359.03,-1.498813,60.37704,0,6064.79,2.536691,59.19433,0,8423.2,0.478710,59.81837,0,2540.55,4.659143,59.66323,0,3929.32,2.046393,59.29566,0,2605.47,0.390414,59.79079,0,PMU
6,0.058372,8324.56,-1.486367,60.23806,0,5932.06,2.513743,59.56102,0,8468.02,0.475109,59.93112,0,2538.62,4.653467,59.89142,0,4162.57,2.044320,59.96035,0,2680.34,0.384555,59.88792,0,PMU
7,0.066693,8318.49,-1.479470,60.13193,0,5815.52,2.504971,59.83221,0,8496.09,0.476756,60.03152,0,2564.58,4.657556,60.07822,0,4301.72,2.029305,59.71279,0,2694.59,0.383090,59.97198,0,PMU
8,0.075013,8326.5,-1.474344,60.09807,0,5720.97,2.507412,60.04670,0,8501.4,0.481273,60.08640,0,2590.29,4.660913,60.06421,0,4375.2,2.011684,59.66292,0,2677.16,0.383273,60.00350,0,PMU
9,0.083333,8335.08,-1.468423,60.11325,0,5649.3,2.516123,60.16662,0,8497.53,0.485545,60.08172,0,2594.41,4.660730,59.99650,0,4387.84,1.996608,59.71163,0,2662.15,0.385959,60.05137,0,PMU
10,0.091654,8337.6,-1.461773,60.12722,0,5598.86,2.526438,60.19731,0,8495.1,0.488902,60.06421,0,2585.5,4.658777,59.96264,0,4381.09,1.987270,59.82137,0,2659.73,0.389987,60.07705,0,PMU
11,0.099974,8337.77,-1.455669,60.11675,0,5563.09,2.535532,60.17395,0,8496.96,0.492259,60.06421,0,2578.43,4.658960,60.00350,0,4371.22,1.982265,59.90426,0,2662.13,0.395114,60.09807,0,PMU
12,0.108294,8338.93,-1.450359,60.10157,0,5536.22,2.542490,60.13310,0,8499.21,0.496226,60.07589,0,2578.25,4.661951,60.05721,0,4372.66,1.981352,59.98253,0,2662.38,0.400302,60.09923,0,PMU
13,0.116615,8341.25,-1.445538,60.09223,0,5513.29,2.547187,60.08986,0,8501.69,0.500621,60.08406,0,2582.37,4.667258,60.10153,0,4383.74,1.982570,60.02331,0,2661.22,0.405245,60.09457,0,PMU
14,0.124935,8344.11,-1.440472,60.09690,0,5492.22,2.550422,60.06188,0,8504.19,0.505120,60.08606,0,2586.64,4.672507,60.10041,0,4403.26,1.985073,60.04787,0,2659.77,0.409335,60.07822,0,PMU
15,0.133385,8347.55,-1.434735,60.10806,0,5470.42,2.553169,60.05173,0,8508.03,0.509820,60.08851,0,2587.56,4.677817,60.10001,0,4426.23,1.987636,60.04828,0,2658.45,0.413422,60.07698,0,PMU
16,0.141706,8349.32,-1.428771,60.11408,0,5447.49,2.555732,60.04904,0,8512.93,0.514458,60.08873,0,2585.56,4.682517,60.08989,0,4450.15,1.990200,60.04903,0,2657.37,0.417389,60.07589,0,PMU
17,0.150026,8336.25,-1.425231,60.06772,0,5562.98,2.555488,59.99533,0,8513.9,0.521904,60.14243,0,2571.46,4.689048,60.12492,0,4359.77,2.002712,60.23933,0,2654.25,0.426789,60.17980,0,PMU
18,0.158346,8295.51,-1.429137,59.92528,0,6088.51,2.561957,60.12375,0,8491.99,0.537466,60.29767,0,2513.32,4.707585,60.35459,0,3937.98,2.096180,61.78790,0,2660.65,0.452284,60.48768,0,PMU
19,0.166667,8266.28,-1.438214,59.82637,0,6745.03,2.588197,60.50192,0,8450.77,0.558218,60.39695,0,2451.51,-1.540924,60.66330,0,3557.47,2.262574,63.18286,0,2650.67,0.481212,60.55335,0,PMU
20,0.174987,8276.69,-1.443890,59.89142,0,7059.4,2.617857,60.56736,0,8419.78,0.576278,60.34547,0,2445.93,-1.511691,60.55919,0,3414.61,2.341228,61.50452,0,2584.24,0.499522,60.35025,0,PMU
21,0.183307,8298.32,-1.443768,60.00233,0,7141.5,2.634092,60.31055,0,8402.6,0.589217,60.24751,0,2454.21,-1.495578,60.30822,0,3321.55,2.359504,60.34959,0,2516.35,0.512505,60.24835,0,PMU
22,0.191628,8308.9,-1.439434,60.08289,0,7197.64,2.641582,60.14327,0,8395.78,0.597274,60.15411,0,2440.23,-1.485391,60.19486,0,3281.26,2.381171,60.41446,0,2493.45,0.523308,60.20664,0,PMU
23,0.199948,8312,-1.433270,60.11792,0,7249.05,2.646404,60.09223,0,8400.04,0.602216,60.09453,0,2415.62,-1.476663,60.16695,0,3258.07,2.403858,60.43397,0,2500.21,0.534050,60.20548,0,PMU
24,0.208268,8312.48,-1.427611,60.10824,0,7297.22,2.650432,60.07706,0,8408.32,0.606671,60.08523,0,2399.05,-1.467569,60.17396,0,3249.2,2.426256,60.42843,0,2513.82,0.543875,60.18793,0,PMU
25,0.216719,8313.91,-1.423644,60.07472,0,7342.21,2.655498,60.09541,0,8414.8,0.611920,60.09886,0,2394.73,-1.457989,60.18044,0,3235.5,2.444383,60.34141,0,2519.62,0.552847,60.16898,0,PMU
26,0.225039,6565.64,-1.523043,58.09864,0,6571.17,2.746662,61.74382,0,8341.2,0.517083,58.18591,0,1898.71,-1.555145,58.14154,0,2721.9,2.534982,61.73303,0,2516.69,0.470594,58.42664,0,PMU
