09-18-2026 21:59:54 RAM 3329/7486MB (lfb 15x4MB) CPU [18%@1497,40%@1497,22%@1497,10%@1497,9%@1497,9%@1497] GR3D_FREQ 0% cpu@46.687C/46.687C soc2@46.437C/46.437C soc0@46.75C/46.75C gpu@46.625C/46.625C tj@46.75C/46.75C soc1@45.562C/45.562C VDD_IN 4744mW/4744mW/4744mW VDD_CPU_GPU_CV 1196mW/1196mW/1196mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/46.687C soc2@46.343C/46.437C soc0@46.812C/46.812C gpu@46.5C/46.625C tj@46.812C/46.812C soc1@45.593C/45.593C VDD_IN 4632mW/4688mW/4744mW VDD_CPU_GPU_CV 1116mW/1156mW/1196mW VDD_SOC 1315mW/1335mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,18%@1497,18%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/46.843C soc2@46.406C/46.437C soc0@46.718C/46.812C gpu@46.843C/46.843C tj@46.843C/46.843C soc1@45.718C/45.718C VDD_IN 4592mW/4656mW/4744mW VDD_CPU_GPU_CV 1076mW/1129mW/1196mW VDD_SOC 1315mW/1328mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@46.312C/46.843C soc2@46.406C/46.437C soc0@46.687C/46.812C gpu@46.593C/46.843C tj@46.687C/46.843C soc1@45.687C/45.718C VDD_IN 4592mW/4640mW/4744mW VDD_CPU_GPU_CV 1036mW/1106mW/1196mW VDD_SOC 1315mW/1325mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/46.843C soc2@46.343C/46.437C soc0@46.656C/46.812C gpu@46.468C/46.843C tj@46.656C/46.843C soc1@45.562C/45.718C VDD_IN 4512mW/4614mW/4744mW VDD_CPU_GPU_CV 996mW/1084mW/1196mW VDD_SOC 1317mW/1323mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.406C/46.843C soc2@46.343C/46.437C soc0@46.781C/46.812C gpu@46.906C/46.906C tj@46.906C/46.906C soc1@45.562C/45.718C VDD_IN 4432mW/4584mW/4744mW VDD_CPU_GPU_CV 956mW/1063mW/1196mW VDD_SOC 1317mW/1322mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/46.843C soc2@46.375C/46.437C soc0@46.656C/46.812C gpu@46.562C/46.906C tj@46.656C/46.906C soc1@45.656C/45.718C VDD_IN 4392mW/4557mW/4744mW VDD_CPU_GPU_CV 918mW/1042mW/1196mW VDD_SOC 1317mW/1322mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/46.843C soc2@46.437C/46.437C soc0@46.593C/46.812C gpu@46.531C/46.906C tj@46.75C/46.906C soc1@45.718C/45.718C VDD_IN 4353mW/4531mW/4744mW VDD_CPU_GPU_CV 918mW/1027mW/1196mW VDD_SOC 1317mW/1321mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.25C/46.843C soc2@46.281C/46.437C soc0@46.718C/46.812C gpu@46.562C/46.906C tj@46.718C/46.906C soc1@45.468C/45.718C VDD_IN 4313mW/4507mW/4744mW VDD_CPU_GPU_CV 878mW/1010mW/1196mW VDD_SOC 1317mW/1321mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/46.843C soc2@46.406C/46.437C soc0@46.656C/46.812C gpu@46.5C/46.906C tj@46.656C/46.906C soc1@45.593C/45.718C VDD_IN 4273mW/4484mW/4744mW VDD_CPU_GPU_CV 878mW/997mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
09-18-2026 21:59:55 RAM 3329/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/46.843C soc2@46.343C/46.437C soc0@46.625C/46.812C gpu@47.031C/47.031C tj@47.031C/47.031C soc1@45.593C/45.718C VDD_IN 4280mW/4465mW/4744mW VDD_CPU_GPU_CV 878mW/986mW/1196mW VDD_SOC 1317mW/1320mW/1355mW
