feeder,report,offset_bytes,n_ch,n_samples
1,18,0,6,128
1,19,3072,6,128
1,20,6144,6,128
1,21,9216,6,128
1,22,12288,6,128
1,259,15360,6,128
1,260,18432,6,128
1,261,21504,6,128
1,262,24576,6,128
1,263,27648,6,128
1,264,30720,6,128
1,265,33792,6,128
2,726,36864,6,128
2,727,39936,6,128
2,728,43008,6,128
2,729,46080,6,128
2,730,49152,6,128
0,763,52224,6,128
0,764,55296,6,128
0,765,58368,6,128
0,766,61440,6,128
0,767,64512,6,128
2,967,67584,6,128
2,968,70656,6,128
2,969,73728,6,128
2,970,76800,6,128
2,971,79872,6,128
2,972,82944,6,128
2,973,86016,6,128
0,1004,89088,6,128
0,1005,92160,6,128
0,1006,95232,6,128
0,1007,98304,6,128
0,1008,101376,6,128
0,1009,104448,6,128
0,1010,107520,6,128
0,1199,110592,6,128
1,1199,113664,6,128
2,1199,116736,6,128
