09-18-2026 22:04:08 RAM 3396/7486MB (lfb 15x4MB) CPU [11%@1497,22%@1497,0%@1497,25%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.343C/46.343C soc2@46.281C/46.281C soc0@46.281C/46.281C gpu@46.312C/46.312C tj@46.343C/46.343C soc1@45.343C/45.343C VDD_IN 5652mW/5652mW/5652mW VDD_CPU_GPU_CV 1947mW/1947mW/1947mW VDD_SOC 1353mW/1353mW/1353mW
09-18-2026 22:04:08 RAM 3396/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.343C soc2@46.093C/46.281C soc0@46.281C/46.281C gpu@46.281C/46.312C tj@46.281C/46.343C soc1@45.281C/45.343C VDD_IN 5342mW/5497mW/5652mW VDD_CPU_GPU_CV 1711mW/1829mW/1947mW VDD_SOC 1353mW/1353mW/1353mW
09-18-2026 22:04:08 RAM 3397/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,0%@1497,8%@1497,0%@1497,27%@1497] GR3D_FREQ 0% cpu@46.281C/46.343C soc2@46.031C/46.281C soc0@46.343C/46.343C gpu@46.562C/46.562C tj@46.562C/46.562C soc1@45.281C/45.343C VDD_IN 5103mW/5366mW/5652mW VDD_CPU_GPU_CV 1552mW/1737mW/1947mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 22:04:08 RAM 3458/7486MB (lfb 15x4MB) CPU [90%@1497,81%@1497,81%@1497,88%@1497,81%@1497,90%@1497] GR3D_FREQ 0% cpu@47C/47C soc2@46.187C/46.281C soc0@46.25C/46.343C gpu@46.531C/46.562C tj@47C/47C soc1@45.406C/45.406C VDD_IN 5582mW/5420mW/5652mW VDD_CPU_GPU_CV 1831mW/1760mW/1947mW VDD_SOC 1393mW/1364mW/1393mW
09-18-2026 22:04:08 RAM 3458/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,8%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 13% cpu@46.406C/47C soc2@46.031C/46.281C soc0@46.187C/46.343C gpu@46.375C/46.562C tj@46.406C/47C soc1@45.343C/45.406C VDD_IN 5302mW/5396mW/5652mW VDD_CPU_GPU_CV 1632mW/1735mW/1947mW VDD_SOC 1395mW/1370mW/1395mW
09-18-2026 22:04:08 RAM 3458/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/47C soc2@46.031C/46.281C soc0@46.187C/46.343C gpu@46.343C/46.562C tj@46.343C/47C soc1@45.406C/45.406C VDD_IN 5063mW/5341mW/5652mW VDD_CPU_GPU_CV 1435mW/1685mW/1947mW VDD_SOC 1395mW/1374mW/1395mW
09-18-2026 22:04:08 RAM 3458/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46C/47C soc2@46C/46.281C soc0@46.312C/46.343C gpu@46.25C/46.562C tj@46.312C/47C soc1@45.218C/45.406C VDD_IN 4872mW/5274mW/5652mW VDD_CPU_GPU_CV 1315mW/1632mW/1947mW VDD_SOC 1357mW/1372mW/1395mW
09-18-2026 22:04:08 RAM 3458/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/47C soc2@45.968C/46.281C soc0@46.437C/46.437C gpu@46.281C/46.562C tj@46.437C/47C soc1@45.218C/45.406C VDD_IN 4712mW/5204mW/5652mW VDD_CPU_GPU_CV 1198mW/1578mW/1947mW VDD_SOC 1357mW/1370mW/1395mW
09-18-2026 22:04:08 RAM 3458/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.218C/47C soc2@46C/46.281C soc0@46.187C/46.437C gpu@46.25C/46.562C tj@46.25C/47C soc1@45.281C/45.406C VDD_IN 4600mW/5136mW/5652mW VDD_CPU_GPU_CV 1118mW/1527mW/1947mW VDD_SOC 1357mW/1368mW/1395mW
09-18-2026 22:04:09 RAM 3458/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.968C/47C soc2@46C/46.281C soc0@46.312C/46.437C gpu@46.343C/46.562C tj@46.343C/47C soc1@45.25C/45.406C VDD_IN 4520mW/5075mW/5652mW VDD_CPU_GPU_CV 1038mW/1478mW/1947mW VDD_SOC 1357mW/1367mW/1395mW
09-18-2026 22:04:09 RAM 3458/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@46.031C/47C soc2@45.906C/46.281C soc0@46.312C/46.437C gpu@46.343C/46.562C tj@46.343C/47C soc1@45.187C/45.406C VDD_IN 4480mW/5021mW/5652mW VDD_CPU_GPU_CV 1038mW/1438mW/1947mW VDD_SOC 1317mW/1363mW/1395mW
09-18-2026 22:04:09 RAM 3458/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/47C soc2@45.875C/46.281C soc0@46.25C/46.437C gpu@46.25C/46.562C tj@46.25C/47C soc1@45.25C/45.406C VDD_IN 4400mW/4969mW/5652mW VDD_CPU_GPU_CV 958mW/1398mW/1947mW VDD_SOC 1317mW/1359mW/1395mW
09-18-2026 22:04:09 RAM 3458/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/47C soc2@45.937C/46.281C soc0@46.281C/46.437C gpu@46.281C/46.562C tj@46.375C/47C soc1@45.25C/45.406C VDD_IN 4360mW/4922mW/5652mW VDD_CPU_GPU_CV 958mW/1364mW/1947mW VDD_SOC 1317mW/1356mW/1395mW
09-18-2026 22:04:09 RAM 3458/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/47C soc2@45.937C/46.281C soc0@46.218C/46.437C gpu@46.125C/46.562C tj@46.25C/47C soc1@45.281C/45.406C VDD_IN 4320mW/4879mW/5652mW VDD_CPU_GPU_CV 918mW/1332mW/1947mW VDD_SOC 1317mW/1353mW/1395mW
09-18-2026 22:04:09 RAM 3458/7486MB (lfb 15x4MB) CPU [58%@1497,54%@1497,60%@1497,58%@1497,54%@1497,50%@1497] GR3D_FREQ 0% cpu@46.75C/47C soc2@46.031C/46.281C soc0@46.343C/46.437C gpu@46.375C/46.562C tj@46.75C/47C soc1@45.187C/45.406C VDD_IN 4672mW/4865mW/5652mW VDD_CPU_GPU_CV 1238mW/1326mW/1947mW VDD_SOC 1317mW/1350mW/1395mW
09-18-2026 22:04:09 RAM 3458/7486MB (lfb 15x4MB) CPU [66%@1497,66%@1497,66%@1497,66%@1497,54%@1497,60%@1497] GR3D_FREQ 0% cpu@46.625C/47C soc2@46.093C/46.281C soc0@46.281C/46.437C gpu@46.281C/46.562C tj@46.625C/47C soc1@45.187C/45.406C VDD_IN 5031mW/4876mW/5652mW VDD_CPU_GPU_CV 1555mW/1340mW/1947mW VDD_SOC 1355mW/1351mW/1395mW
09-18-2026 22:04:09 RAM 3458/7486MB (lfb 15x4MB) CPU [72%@1497,66%@1497,58%@1497,63%@1497,63%@1497,54%@1497] GR3D_FREQ 0% cpu@46.968C/47C soc2@46.187C/46.281C soc0@46.156C/46.437C gpu@46.406C/46.562C tj@46.968C/47C soc1@45.312C/45.406C VDD_IN 5263mW/4898mW/5652mW VDD_CPU_GPU_CV 1794mW/1367mW/1947mW VDD_SOC 1355mW/1351mW/1395mW
09-18-2026 22:04:09 RAM 3458/7486MB (lfb 15x4MB) CPU [63%@1497,63%@1497,70%@1497,63%@1497,54%@1497,54%@1497] GR3D_FREQ 0% cpu@46.75C/47C soc2@46.125C/46.281C soc0@46.187C/46.437C gpu@46.375C/46.562C tj@46.968C/47C soc1@45.25C/45.406C VDD_IN 5502mW/4932mW/5652mW VDD_CPU_GPU_CV 1950mW/1399mW/1950mW VDD_SOC 1355mW/1351mW/1395mW
09-18-2026 22:04:10 RAM 3458/7486MB (lfb 15x4MB) CPU [60%@1497,60%@1497,63%@1497,66%@1497,54%@1497,55%@1497] GR3D_FREQ 0% cpu@46.875C/47C soc2@46.343C/46.343C soc0@46.187C/46.437C gpu@46.312C/46.562C tj@46.875C/47C soc1@45.312C/45.406C VDD_IN 5661mW/4970mW/5661mW VDD_CPU_GPU_CV 2070mW/1435mW/2070mW VDD_SOC 1353mW/1351mW/1395mW
