09-18-2026 22:04:29 RAM 3408/7486MB (lfb 15x4MB) CPU [18%@1497,18%@1497,10%@1497,9%@1497,18%@1497,18%@1497] GR3D_FREQ 0% cpu@46.718C/46.718C soc2@46.562C/46.562C soc0@46.718C/46.718C gpu@46.812C/46.812C tj@46.812C/46.812C soc1@45.656C/45.656C VDD_IN 6011mW/6011mW/6011mW VDD_CPU_GPU_CV 2265mW/2265mW/2265mW VDD_SOC 1391mW/1391mW/1391mW
09-18-2026 22:04:29 RAM 3408/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/46.718C soc2@46.562C/46.562C soc0@46.843C/46.843C gpu@46.937C/46.937C tj@46.937C/46.937C soc1@45.656C/45.656C VDD_IN 5612mW/5812mW/6011mW VDD_CPU_GPU_CV 1950mW/2108mW/2265mW VDD_SOC 1393mW/1392mW/1393mW
09-18-2026 22:04:30 RAM 3410/7486MB (lfb 15x4MB) CPU [9%@1497,27%@1497,0%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/46.718C soc2@46.5C/46.562C soc0@46.656C/46.843C gpu@46.843C/46.937C tj@46.843C/46.937C soc1@45.687C/45.687C VDD_IN 5342mW/5655mW/6011mW VDD_CPU_GPU_CV 1711mW/1975mW/2265mW VDD_SOC 1353mW/1379mW/1393mW
09-18-2026 22:04:30 RAM 3488/7486MB (lfb 15x4MB) CPU [81%@1497,100%@1497,90%@1497,80%@1497,72%@1497,81%@1497] GR3D_FREQ 0% cpu@47.406C/47.406C soc2@46.593C/46.593C soc0@46.687C/46.843C gpu@46.718C/46.937C tj@47.406C/47.406C soc1@45.562C/45.687C VDD_IN 5732mW/5674mW/6011mW VDD_CPU_GPU_CV 1950mW/1969mW/2265mW VDD_SOC 1433mW/1393mW/1433mW
09-18-2026 22:04:30 RAM 3488/7486MB (lfb 15x4MB) CPU [18%@1497,0%@1497,9%@1497,10%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/47.406C soc2@46.562C/46.593C soc0@46.812C/46.843C gpu@46.781C/46.937C tj@46.812C/47.406C soc1@45.625C/45.687C VDD_IN 5462mW/5632mW/6011mW VDD_CPU_GPU_CV 1751mW/1925mW/2265mW VDD_SOC 1393mW/1393mW/1433mW
09-18-2026 22:04:30 RAM 3488/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/47.406C soc2@46.531C/46.593C soc0@46.625C/46.843C gpu@46.593C/46.937C tj@46.781C/47.406C soc1@45.656C/45.687C VDD_IN 5183mW/5557mW/6011mW VDD_CPU_GPU_CV 1552mW/1863mW/2265mW VDD_SOC 1395mW/1393mW/1433mW
09-18-2026 22:04:30 RAM 3488/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.437C/47.406C soc2@46.5C/46.593C soc0@46.625C/46.843C gpu@47.031C/47.031C tj@47.031C/47.406C soc1@45.781C/45.781C VDD_IN 4952mW/5471mW/6011mW VDD_CPU_GPU_CV 1395mW/1796mW/2265mW VDD_SOC 1355mW/1388mW/1433mW
09-18-2026 22:04:30 RAM 3488/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.375C/47.406C soc2@46.468C/46.593C soc0@46.687C/46.843C gpu@46.718C/47.031C tj@46.718C/47.406C soc1@45.593C/45.781C VDD_IN 4792mW/5386mW/6011mW VDD_CPU_GPU_CV 1275mW/1731mW/2265mW VDD_SOC 1355mW/1384mW/1433mW
09-18-2026 22:04:30 RAM 3488/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/47.406C soc2@46.468C/46.593C soc0@46.75C/46.843C gpu@47.093C/47.093C tj@47.093C/47.406C soc1@45.625C/45.781C VDD_IN 4712mW/5311mW/6011mW VDD_CPU_GPU_CV 1156mW/1667mW/2265mW VDD_SOC 1355mW/1380mW/1433mW
09-18-2026 22:04:30 RAM 3488/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/47.406C soc2@46.468C/46.593C soc0@46.593C/46.843C gpu@46.625C/47.093C tj@46.812C/47.406C soc1@45.718C/45.781C VDD_IN 4592mW/5239mW/6011mW VDD_CPU_GPU_CV 1116mW/1612mW/2265mW VDD_SOC 1357mW/1378mW/1433mW
09-18-2026 22:04:30 RAM 3488/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/47.406C soc2@46.437C/46.593C soc0@46.687C/46.843C gpu@46.562C/47.093C tj@46.687C/47.406C soc1@45.656C/45.781C VDD_IN 4512mW/5173mW/6011mW VDD_CPU_GPU_CV 1038mW/1560mW/2265mW VDD_SOC 1357mW/1376mW/1433mW
