09-18-2026 22:04:00 RAM 3387/7486MB (lfb 15x4MB) CPU [10%@1497,18%@1497,0%@1497,9%@1497,18%@1497,44%@1497] GR3D_FREQ 0% cpu@46.093C/46.093C soc2@46.031C/46.031C soc0@46.281C/46.281C gpu@46.031C/46.031C tj@46.281C/46.281C soc1@45.125C/45.125C VDD_IN 4992mW/4992mW/4992mW VDD_CPU_GPU_CV 1435mW/1435mW/1435mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:04:00 RAM 3387/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.093C soc2@45.968C/46.031C soc0@46.406C/46.406C gpu@46.468C/46.468C tj@46.468C/46.468C soc1@45.125C/45.125C VDD_IN 4832mW/4912mW/4992mW VDD_CPU_GPU_CV 1315mW/1375mW/1435mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:04:01 RAM 3391/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,36%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.125C soc2@45.875C/46.031C soc0@46.125C/46.406C gpu@46.093C/46.468C tj@46.125C/46.468C soc1@45.312C/45.312C VDD_IN 4752mW/4859mW/4992mW VDD_CPU_GPU_CV 1236mW/1329mW/1435mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 22:04:01 RAM 3388/7486MB (lfb 15x4MB) CPU [27%@1497,20%@1497,30%@1497,27%@1497,20%@1497,0%@1497] GR3D_FREQ 0% cpu@45.906C/46.125C soc2@45.968C/46.031C soc0@46.281C/46.406C gpu@46.125C/46.468C tj@46.281C/46.468C soc1@45.125C/45.312C VDD_IN 4752mW/4832mW/4992mW VDD_CPU_GPU_CV 1236mW/1306mW/1435mW VDD_SOC 1355mW/1356mW/1357mW
09-18-2026 22:04:01 RAM 3388/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.875C/46.125C soc2@45.843C/46.031C soc0@46.343C/46.406C gpu@46.375C/46.468C tj@46.375C/46.468C soc1@45.031C/45.312C VDD_IN 4632mW/4792mW/4992mW VDD_CPU_GPU_CV 1158mW/1276mW/1435mW VDD_SOC 1357mW/1356mW/1357mW
09-18-2026 22:04:01 RAM 3388/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.125C soc2@45.906C/46.031C soc0@46.281C/46.406C gpu@46.062C/46.468C tj@46.281C/46.468C soc1@45.093C/45.312C VDD_IN 4552mW/4752mW/4992mW VDD_CPU_GPU_CV 1078mW/1243mW/1435mW VDD_SOC 1317mW/1349mW/1357mW
09-18-2026 22:04:01 RAM 3388/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.125C/46.125C soc2@45.906C/46.031C soc0@46.218C/46.406C gpu@46.093C/46.468C tj@46.218C/46.468C soc1@45.218C/45.312C VDD_IN 4472mW/4712mW/4992mW VDD_CPU_GPU_CV 1038mW/1214mW/1435mW VDD_SOC 1317mW/1345mW/1357mW
09-18-2026 22:04:01 RAM 3388/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.906C/46.125C soc2@45.906C/46.031C soc0@46.187C/46.406C gpu@46.375C/46.468C tj@46.375C/46.468C soc1@45.312C/45.312C VDD_IN 4400mW/4673mW/4992mW VDD_CPU_GPU_CV 958mW/1182mW/1435mW VDD_SOC 1317mW/1341mW/1357mW
09-18-2026 22:04:01 RAM 3388/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.812C/46.125C soc2@45.781C/46.031C soc0@46.156C/46.406C gpu@46.093C/46.468C tj@46.156C/46.468C soc1@45.062C/45.312C VDD_IN 4360mW/4638mW/4992mW VDD_CPU_GPU_CV 958mW/1157mW/1435mW VDD_SOC 1317mW/1339mW/1357mW
09-18-2026 22:04:01 RAM 3388/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.843C/46.125C soc2@45.843C/46.031C soc0@46.312C/46.406C gpu@46.468C/46.468C tj@46.468C/46.468C soc1@45.156C/45.312C VDD_IN 4320mW/4606mW/4992mW VDD_CPU_GPU_CV 918mW/1133mW/1435mW VDD_SOC 1317mW/1336mW/1357mW
09-18-2026 22:04:01 RAM 3388/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.093C/46.125C soc2@45.812C/46.031C soc0@46.125C/46.406C gpu@46.125C/46.468C tj@46.125C/46.468C soc1@45.218C/45.312C VDD_IN 4280mW/4577mW/4992mW VDD_CPU_GPU_CV 878mW/1110mW/1435mW VDD_SOC 1317mW/1335mW/1357mW
