09-18-2026 22:03:55 RAM 3395/7486MB (lfb 15x4MB) CPU [9%@1497,8%@1497,10%@1497,25%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.25C/46.25C soc2@45.843C/45.843C soc0@46.312C/46.312C gpu@46.125C/46.125C tj@46.312C/46.312C soc1@45.156C/45.156C VDD_IN 4952mW/4952mW/4952mW VDD_CPU_GPU_CV 1395mW/1395mW/1395mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:03:55 RAM 3395/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.156C/46.25C soc2@45.968C/45.968C soc0@46.156C/46.312C gpu@46.062C/46.125C tj@46.156C/46.312C soc1@45.25C/45.25C VDD_IN 4832mW/4892mW/4952mW VDD_CPU_GPU_CV 1275mW/1335mW/1395mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:03:55 RAM 3397/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,20%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/46.25C soc2@45.968C/45.968C soc0@46.25C/46.312C gpu@46.25C/46.25C tj@46.25C/46.312C soc1@45.25C/45.25C VDD_IN 4712mW/4832mW/4952mW VDD_CPU_GPU_CV 1196mW/1289mW/1395mW VDD_SOC 1315mW/1342mW/1355mW
09-18-2026 22:03:55 RAM 3410/7486MB (lfb 15x4MB) CPU [22%@1497,45%@1497,30%@1497,20%@1497,30%@1497,20%@1497] GR3D_FREQ 0% cpu@46.25C/46.25C soc2@45.843C/45.968C soc0@46.25C/46.312C gpu@46.093C/46.25C tj@46.25C/46.312C soc1@45.093C/45.25C VDD_IN 4792mW/4822mW/4952mW VDD_CPU_GPU_CV 1236mW/1276mW/1395mW VDD_SOC 1355mW/1345mW/1355mW
09-18-2026 22:03:55 RAM 3409/7486MB (lfb 15x4MB) CPU [0%@1497,10%@1497,10%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@46.031C/46.25C soc2@45.937C/45.968C soc0@46.125C/46.312C gpu@46.125C/46.25C tj@46.125C/46.312C soc1@45.093C/45.25C VDD_IN 4752mW/4808mW/4952mW VDD_CPU_GPU_CV 1196mW/1260mW/1395mW VDD_SOC 1355mW/1347mW/1355mW
09-18-2026 22:03:55 RAM 3409/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.968C/46.25C soc2@45.906C/45.968C soc0@46.156C/46.312C gpu@46.468C/46.468C tj@46.468C/46.468C soc1@45.218C/45.25C VDD_IN 4592mW/4772mW/4952mW VDD_CPU_GPU_CV 1118mW/1236mW/1395mW VDD_SOC 1357mW/1349mW/1357mW
09-18-2026 22:03:56 RAM 3409/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.781C/46.25C soc2@45.812C/45.968C soc0@46.156C/46.312C gpu@46.031C/46.468C tj@46.375C/46.468C soc1@45C/45.25C VDD_IN 4512mW/4735mW/4952mW VDD_CPU_GPU_CV 1038mW/1208mW/1395mW VDD_SOC 1317mW/1344mW/1357mW
09-18-2026 22:03:56 RAM 3409/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.875C/46.25C soc2@45.843C/45.968C soc0@46.25C/46.312C gpu@46.093C/46.468C tj@46.25C/46.468C soc1@45.125C/45.25C VDD_IN 4432mW/4697mW/4952mW VDD_CPU_GPU_CV 998mW/1182mW/1395mW VDD_SOC 1317mW/1341mW/1357mW
09-18-2026 22:03:56 RAM 3409/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.968C/46.25C soc2@45.906C/45.968C soc0@46.125C/46.312C gpu@46.312C/46.468C tj@46.312C/46.468C soc1@45.156C/45.25C VDD_IN 4400mW/4664mW/4952mW VDD_CPU_GPU_CV 958mW/1157mW/1395mW VDD_SOC 1317mW/1338mW/1357mW
09-18-2026 22:03:56 RAM 3409/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 18% cpu@45.968C/46.25C soc2@45.812C/45.968C soc0@46.156C/46.312C gpu@46.062C/46.468C tj@46.156C/46.468C soc1@45.062C/45.25C VDD_IN 4360mW/4634mW/4952mW VDD_CPU_GPU_CV 918mW/1133mW/1395mW VDD_SOC 1317mW/1336mW/1357mW
09-18-2026 22:03:56 RAM 3409/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@45.875C/46.25C soc2@45.875C/45.968C soc0@46.187C/46.312C gpu@46C/46.468C tj@46.187C/46.468C soc1@45.281C/45.281C VDD_IN 4320mW/4605mW/4952mW VDD_CPU_GPU_CV 918mW/1113mW/1395mW VDD_SOC 1317mW/1334mW/1357mW
