09-18-2026 22:08:01 RAM 3382/7486MB (lfb 15x4MB) CPU [9%@1497,18%@1497,0%@1497,9%@1497,10%@1497,0%@1497] GR3D_FREQ 0% cpu@48.343C/48.343C soc2@48.281C/48.281C soc0@48.562C/48.562C gpu@48.656C/48.656C tj@48.656C/48.656C soc1@47.312C/47.312C VDD_IN 5143mW/5143mW/5143mW VDD_CPU_GPU_CV 1552mW/1552mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:01 RAM 3382/7486MB (lfb 15x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.437C/48.437C soc2@48.25C/48.281C soc0@48.531C/48.562C gpu@48.906C/48.906C tj@48.906C/48.906C soc1@47.343C/47.343C VDD_IN 4944mW/5044mW/5143mW VDD_CPU_GPU_CV 1395mW/1474mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:01 RAM 3384/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,0%@1497,0%@1497,20%@1497,0%@1497] GR3D_FREQ 0% cpu@48.593C/48.593C soc2@48.187C/48.281C soc0@48.531C/48.562C gpu@48.75C/48.906C tj@48.75C/48.906C soc1@47.406C/47.406C VDD_IN 4824mW/4970mW/5143mW VDD_CPU_GPU_CV 1275mW/1407mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:01 RAM 3393/7486MB (lfb 15x4MB) CPU [41%@1497,20%@1497,20%@1497,27%@1497,30%@1497,20%@1497] GR3D_FREQ 0% cpu@48.5C/48.593C soc2@48.281C/48.281C soc0@48.437C/48.562C gpu@48.593C/48.906C tj@48.593C/48.906C soc1@47.437C/47.437C VDD_IN 4904mW/4954mW/5143mW VDD_CPU_GPU_CV 1315mW/1384mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:01 RAM 3393/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.156C/48.593C soc2@48.218C/48.281C soc0@48.531C/48.562C gpu@48.781C/48.906C tj@48.781C/48.906C soc1@47.343C/47.437C VDD_IN 4752mW/4913mW/5143mW VDD_CPU_GPU_CV 1196mW/1347mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:01 RAM 3393/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.218C/48.593C soc2@48.281C/48.281C soc0@48.593C/48.593C gpu@48.656C/48.906C tj@48.656C/48.906C soc1@47.406C/47.437C VDD_IN 4632mW/4867mW/5143mW VDD_CPU_GPU_CV 1116mW/1308mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:01 RAM 3393/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.375C/48.593C soc2@48.218C/48.281C soc0@48.375C/48.593C gpu@48.531C/48.906C tj@48.531C/48.906C soc1@47.406C/47.437C VDD_IN 4552mW/4822mW/5143mW VDD_CPU_GPU_CV 1076mW/1275mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:01 RAM 3393/7486MB (lfb 15x4MB) CPU [20%@1497,9%@1497,20%@1497,10%@1497,8%@1497,0%@1497] GR3D_FREQ 0% cpu@48.656C/48.656C soc2@48.312C/48.312C soc0@48.437C/48.593C gpu@48.781C/48.906C tj@48.656C/48.906C soc1@47.468C/47.468C VDD_IN 4552mW/4788mW/5143mW VDD_CPU_GPU_CV 1076mW/1250mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:01 RAM 3393/7486MB (lfb 15x4MB) CPU [9%@1497,9%@1497,0%@1497,16%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.5C/48.656C soc2@48.187C/48.312C soc0@48.406C/48.593C gpu@48.562C/48.906C tj@48.562C/48.906C soc1@47.625C/47.625C VDD_IN 4512mW/4757mW/5143mW VDD_CPU_GPU_CV 1036mW/1226mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:01 RAM 3393/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,20%@1497,81%@1497,20%@1497,0%@1497] GR3D_FREQ 0% cpu@48.468C/48.656C soc2@48.187C/48.312C soc0@48.437C/48.593C gpu@48.5C/48.906C tj@48.5C/48.906C soc1@47.343C/47.625C VDD_IN 4632mW/4745mW/5143mW VDD_CPU_GPU_CV 1156mW/1219mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:02 RAM 3393/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,30%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.281C/48.656C soc2@48.281C/48.312C soc0@48.375C/48.593C gpu@48.5C/48.906C tj@48.5C/48.906C soc1@47.406C/47.625C VDD_IN 4592mW/4731mW/5143mW VDD_CPU_GPU_CV 1116mW/1210mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:02 RAM 3393/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.468C/48.656C soc2@48.25C/48.312C soc0@48.437C/48.593C gpu@48.656C/48.906C tj@48.656C/48.906C soc1@47.406C/47.625C VDD_IN 4512mW/4713mW/5143mW VDD_CPU_GPU_CV 1036mW/1195mW/1552mW VDD_SOC 1355mW/1355mW/1355mW
09-18-2026 22:08:02 RAM 3393/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.406C/48.656C soc2@48.218C/48.312C soc0@48.406C/48.593C gpu@48.562C/48.906C tj@48.562C/48.906C soc1@47.5C/47.625C VDD_IN 4432mW/4691mW/5143mW VDD_CPU_GPU_CV 996mW/1180mW/1552mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 22:08:02 RAM 3393/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.281C/48.656C soc2@48.218C/48.312C soc0@48.406C/48.593C gpu@48.437C/48.906C tj@48.437C/48.906C soc1@47.281C/47.625C VDD_IN 4392mW/4670mW/5143mW VDD_CPU_GPU_CV 958mW/1164mW/1552mW VDD_SOC 1357mW/1355mW/1357mW
09-18-2026 22:08:02 RAM 3394/7486MB (lfb 15x4MB) CPU [60%@1497,60%@1497,60%@1497,63%@1497,58%@1497,58%@1497] GR3D_FREQ 0% cpu@49.062C/49.062C soc2@48.218C/48.312C soc0@48.343C/48.593C gpu@48.312C/48.906C tj@49.062C/49.062C soc1@47.406C/47.625C VDD_IN 4752mW/4675mW/5143mW VDD_CPU_GPU_CV 1275mW/1172mW/1552mW VDD_SOC 1355mW/1355mW/1357mW
09-18-2026 22:08:02 RAM 3394/7486MB (lfb 15x4MB) CPU [75%@1497,75%@1497,72%@1497,75%@1497,60%@1497,63%@1497] GR3D_FREQ 0% cpu@48.968C/49.062C soc2@48.375C/48.375C soc0@48.406C/48.593C gpu@48.437C/48.906C tj@48.968C/49.062C soc1@47.281C/47.625C VDD_IN 5143mW/4704mW/5143mW VDD_CPU_GPU_CV 1632mW/1200mW/1632mW VDD_SOC 1355mW/1355mW/1357mW
09-19-2026 11:56:54 RAM 3543/7486MB (lfb 19x4MB) CPU [0%@1497,10%@1497,0%@1497,0%@1497,8%@1497,0%@1497] GR3D_FREQ 0% cpu@49.312C/49.312C soc2@49.125C/49.125C soc0@49.25C/49.25C gpu@49.312C/49.312C tj@49.312C/49.312C soc1@48.187C/48.187C VDD_IN 5143mW/5143mW/5143mW VDD_CPU_GPU_CV 1512mW/1512mW/1512mW VDD_SOC 1353mW/1353mW/1353mW
09-19-2026 11:56:54 RAM 3543/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.187C/49.312C soc2@49.156C/49.156C soc0@49.437C/49.437C gpu@49.375C/49.375C tj@49.437C/49.437C soc1@48.218C/48.218C VDD_IN 4944mW/5044mW/5143mW VDD_CPU_GPU_CV 1353mW/1433mW/1512mW VDD_SOC 1355mW/1354mW/1355mW
09-19-2026 11:56:54 RAM 3545/7486MB (lfb 19x4MB) CPU [9%@1497,9%@1497,0%@1497,9%@1497,9%@1497,27%@1497] GR3D_FREQ 0% cpu@49.281C/49.312C soc2@49.093C/49.156C soc0@49.187C/49.437C gpu@49.406C/49.406C tj@49.406C/49.437C soc1@48.25C/48.25C VDD_IN 4824mW/4970mW/5143mW VDD_CPU_GPU_CV 1275mW/1380mW/1512mW VDD_SOC 1355mW/1354mW/1355mW
09-19-2026 11:56:54 RAM 3579/7486MB (lfb 19x4MB) CPU [27%@1497,20%@1497,27%@1497,41%@1497,25%@1497,27%@1497] GR3D_FREQ 0% cpu@49.437C/49.437C soc2@49.093C/49.156C soc0@49.156C/49.437C gpu@49.375C/49.406C tj@49.437C/49.437C soc1@48.343C/48.343C VDD_IN 4904mW/4954mW/5143mW VDD_CPU_GPU_CV 1315mW/1364mW/1512mW VDD_SOC 1355mW/1355mW/1355mW
09-19-2026 11:56:54 RAM 3579/7486MB (lfb 19x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.437C/49.437C soc2@49.125C/49.156C soc0@49.281C/49.437C gpu@49.437C/49.437C tj@49.437C/49.437C soc1@48.312C/48.343C VDD_IN 4744mW/4912mW/5143mW VDD_CPU_GPU_CV 1196mW/1330mW/1512mW VDD_SOC 1355mW/1355mW/1355mW
