09-18-2026 22:08:06 RAM 3373/7486MB (lfb 15x4MB) CPU [40%@1497,10%@1497,9%@1497,20%@1497,8%@1497,20%@1497] GR3D_FREQ 0% cpu@48.406C/48.406C soc2@48.156C/48.156C soc0@48.281C/48.281C gpu@48.562C/48.562C tj@48.562C/48.562C soc1@47.343C/47.343C VDD_IN 5263mW/5263mW/5263mW VDD_CPU_GPU_CV 1592mW/1592mW/1592mW VDD_SOC 1353mW/1353mW/1353mW
09-18-2026 22:08:06 RAM 3373/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.093C/48.406C soc2@48.218C/48.218C soc0@48.406C/48.406C gpu@48.312C/48.562C tj@48.406C/48.562C soc1@47.468C/47.468C VDD_IN 5063mW/5163mW/5263mW VDD_CPU_GPU_CV 1433mW/1513mW/1592mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 22:08:06 RAM 3376/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,27%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.468C/48.468C soc2@48.093C/48.218C soc0@48.437C/48.437C gpu@48.625C/48.625C tj@48.625C/48.625C soc1@47.343C/47.468C VDD_IN 4904mW/5077mW/5263mW VDD_CPU_GPU_CV 1315mW/1447mW/1592mW VDD_SOC 1355mW/1354mW/1355mW
09-18-2026 22:08:06 RAM 3413/7486MB (lfb 15x4MB) CPU [45%@1497,50%@1497,60%@1497,44%@1497,40%@1497,27%@1497] GR3D_FREQ 0% cpu@48.437C/48.468C soc2@48.187C/48.218C soc0@48.468C/48.468C gpu@48.562C/48.625C tj@48.562C/48.625C soc1@47.281C/47.468C VDD_IN 5103mW/5083mW/5263mW VDD_CPU_GPU_CV 1472mW/1453mW/1592mW VDD_SOC 1395mW/1365mW/1395mW
09-18-2026 22:08:06 RAM 3413/7486MB (lfb 15x4MB) CPU [9%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.218C/48.468C soc2@48.187C/48.218C soc0@48.437C/48.468C gpu@48.312C/48.625C tj@48.312C/48.625C soc1@47.312C/47.468C VDD_IN 4904mW/5047mW/5263mW VDD_CPU_GPU_CV 1315mW/1425mW/1592mW VDD_SOC 1355mW/1363mW/1395mW
09-18-2026 22:08:06 RAM 3413/7486MB (lfb 15x4MB) CPU [0%@1497,9%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.218C/48.468C soc2@48.218C/48.218C soc0@48.343C/48.468C gpu@48.656C/48.656C tj@48.656C/48.656C soc1@47.312C/47.468C VDD_IN 4752mW/4998mW/5263mW VDD_CPU_GPU_CV 1236mW/1394mW/1592mW VDD_SOC 1355mW/1361mW/1395mW
09-18-2026 22:08:07 RAM 3413/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.062C/48.468C soc2@48.125C/48.218C soc0@48.437C/48.468C gpu@48.562C/48.656C tj@48.562C/48.656C soc1@47.406C/47.468C VDD_IN 4632mW/4946mW/5263mW VDD_CPU_GPU_CV 1116mW/1354mW/1592mW VDD_SOC 1355mW/1360mW/1395mW
09-18-2026 22:08:07 RAM 3413/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.062C/48.468C soc2@48.031C/48.218C soc0@48.468C/48.468C gpu@48.312C/48.656C tj@48.5C/48.656C soc1@47.281C/47.468C VDD_IN 4552mW/4897mW/5263mW VDD_CPU_GPU_CV 1076mW/1319mW/1592mW VDD_SOC 1355mW/1360mW/1395mW
09-18-2026 22:08:07 RAM 3413/7486MB (lfb 15x4MB) CPU [0%@1497,8%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.093C/48.468C soc2@48.125C/48.218C soc0@48.375C/48.468C gpu@48.593C/48.656C tj@48.593C/48.656C soc1@47.343C/47.468C VDD_IN 4472mW/4849mW/5263mW VDD_CPU_GPU_CV 996mW/1283mW/1592mW VDD_SOC 1357mW/1359mW/1395mW
09-18-2026 22:08:07 RAM 3413/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.093C/48.468C soc2@48.125C/48.218C soc0@48.343C/48.468C gpu@48.406C/48.656C tj@48.406C/48.656C soc1@47.312C/47.468C VDD_IN 4432mW/4808mW/5263mW VDD_CPU_GPU_CV 958mW/1251mW/1592mW VDD_SOC 1357mW/1359mW/1395mW
09-18-2026 22:08:07 RAM 3413/7486MB (lfb 15x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@48.031C/48.468C soc2@48.187C/48.218C soc0@48.343C/48.468C gpu@48.75C/48.75C tj@48.75C/48.75C soc1@47.406C/47.468C VDD_IN 4392mW/4770mW/5263mW VDD_CPU_GPU_CV 958mW/1224mW/1592mW VDD_SOC 1317mW/1355mW/1395mW
